seed,model,final_signal_quality,irreversible_recall_final_phase,false_alarm_rate_final_phase,irreversible_core_violation_rate_final_phase,net_vigilance_value_final_phase,long_term_trajectory_value,state_complexity_count
16016,simple_quality_schedule,0.92,0.8740157480314961,0.04344391785150079,0.2755905511811024,0.8675001928076527,0.7228657187993682,0
16016,simple_online_calibration,0.7403582427476365,0.8571428571428571,0.1287519747235387,0.29285714285714287,0.8124461986102949,0.7044802527646127,1
16017,tdc_feedback_development,0.911898235719232,0.8098591549295775,0.03317535545023697,0.3591549295774648,0.8227552980706544,0.7648041074249613,4
16017,simple_static_threshold,0.58,0.6727272727272727,0.2037914691943128,0.39090909090909093,0.670787160706592,0.6698583464981559,0
16017,simple_quality_schedule,0.92,0.8863636363636364,0.04344391785150079,0.2727272727272727,0.8736293982478817,0.7247335439705113,0
16017,simple_online_calibration,0.7029448239483128,0.7364341085271318,0.12480252764612954,0.40310077519379844,0.7312564118614706,0.7007166929963139,1
16018,tdc_feedback_development,0.9129422978748678,0.8307692307692308,0.03317535545023697,0.33076923076923076,0.8379985812834906,0.7681327014218021,4
16018,simple_static_threshold,0.58,0.6917293233082706,0.21169036334913113,0.43609022556390975,0.6687220777061137,0.6476882569773551,0
16018,simple_quality_schedule,0.92,0.8776978417266187,0.04344391785150079,0.20863309352517986,0.8825486265016422,0.7451353343865196,0
16018,simple_online_calibration,0.7561274928800481,0.7946428571428571,0.10426540284360189,0.33035714285714285,0.784083900506144,0.7082280147446021,1
16019,tdc_feedback_development,0.9135806929261272,0.8869565217391304,0.04344391785150079,0.2608695652173913,0.8753048421077494,0.7915434439178523,4
16019,simple_static_threshold,0.58,0.6106870229007634,0.19510268562401265,0.5343511450381679,0.6159183941729074,0.6531853607161653,0
16019,simple_quality_schedule,0.92,0.8913043478260869,0.05134281200631911,0.2536231884057971,0.878093756439316,0.7581800947867304,0
16019,simple_online_calibration,0.7015597265659785,0.75,0.16429699842022116,0.390625,0.7317495593008525,0.7002532912058973,1
16020,tdc_feedback_development,0.9142021211593292,0.8732394366197183,0.035545023696682464,0.2746478873239437,0.8680494824486473,0.7884618220115859,4
16020,simple_static_threshold,0.58,0.7218045112781954,0.18246445497630331,0.40601503759398494,0.6941161315611303,0.6737003686150597,0
16020,simple_quality_schedule,0.92,0.8373983739837398,0.05292259083728278,0.3008130081300813,0.8440821484992101,0.7456640337019488,0
16020,simple_online_calibration,0.694975544872809,0.717741935483871,0.13033175355450238,0.3951612903225806,0.7221315939232468,0.67826224328594,1
16021,tdc_feedback_development,0.9142171158007543,0.8778625954198473,0.05055292259083728,0.2748091603053435,0.8670983187298084,0.7758704581358623,4
16021,simple_static_threshold,0.58,0.6564885496183206,0.19036334913112166,0.4580152671755725,0.6527441240669054,0.6615602948920479,0
16021,simple_quality_schedule,0.92,0.8787878787878788,0.04660347551342812,0.24242424242424243,0.8756490018670113,0.74783570300158,0
16021,simple_online_calibration,0.7407026855853326,0.8467153284671532,0.1334913112164297,0.2846715328467153,0.8084947318353898,0.711017904160084,1
16022,tdc_feedback_development,0.9135947722876425,0.8636363636363636,0.036334913112164295,0.3106060606060606,0.8562873847358652,0.7722195892575052,4
16022,simple_static_threshold,0.58,0.6124031007751938,0.1769352290679305,0.5116279069767442,0.6248687681399022,0.6212469720905728,0
16022,simple_quality_schedule,0.92,0.8846153846153846,0.04897314375987362,0.25384615384615383,0.8755130635557177,0.7338551869404949,0
16022,simple_online_calibration,0.7200109160080383,0.7272727272727273,0.12006319115323855,0.40559440559440557,0.7301428453244041,0.7154117956819375,1
16023,tdc_feedback_development,0.9142190906932923,0.8709677419354839,0.04660347551342812,0.2661290322580645,0.8665218459206632,0.7955471300684576,4
16023,simple_static_threshold,0.58,0.7050359712230215,0.18246445497630331,0.3669064748201439,0.6943920010910702,0.6585002632964708,0
16023,simple_quality_schedule,0.92,0.84375,0.038704581358609796,0.296875,0.850571583728278,0.7408193786203272,0
16023,simple_online_calibration,0.6951157404778069,0.7480916030534351,0.14928909952606634,0.3816793893129771,0.7347148846779082,0.6558472880463395,1
16024,tdc_feedback_development,0.9129429749208624,0.8382352941176471,0.037914691943127965,0.33088235294117646,0.8403879196142097,0.7811727224855199,4
