seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,composite
19012,PTVM,0.9473684210526315,0.23684210526315788,0.1725067385444744,0.7402891666666637,0.94,0.8255709439577711
19012,FULL,0.8771929824561403,0.2719298245614035,0.11859838274932614,0.6988591666666634,0.94,0.7961705537132918
19012,simple_two_signal_learner,0.7982456140350878,0.34210526315789475,0.20035938903863432,0.6451349999999969,0.8594810381037084,0.7251592406133249
19013,PTVM,0.9117647058823529,0.29411764705882354,0.1559383499546691,0.7222299999999967,0.94,0.7993698300090653
19013,FULL,0.8529411764705882,0.3431372549019608,0.11604714415231188,0.7020508333333301,0.94,0.7724013187185564
19013,simple_two_signal_learner,0.7647058823529411,0.4215686274509804,0.20398912058023572,0.6410791666666633,0.8765520854289433,0.6934915753937558
19014,PTVM,0.9421487603305785,0.2975206611570248,0.1591304347826087,0.7211699999999972,0.94,0.8067308758533949
19014,FULL,0.8760330578512396,0.33884297520661155,0.11478260869565217,0.6926316666666638,0.94,0.7783005684812545
19014,simple_two_signal_learner,0.8264462809917356,0.38016528925619836,0.14,0.6772558333333303,0.8768607284096569,0.7442065203168036
19015,PTVM,0.941747572815534,0.2815533980582524,0.16295636687444345,0.7437358333333298,0.94,0.8154786072885408
19015,FULL,0.883495145631068,0.33980582524271846,0.10952804986642921,0.7143008333333297,0.94,0.7867666857386874
19015,simple_two_signal_learner,0.8349514563106796,0.3786407766990291,0.18788958147818344,0.6766383333333292,0.8651344830747164,0.7374069097561422
19016,PTVM,0.9583333333333334,0.1875,0.17040358744394618,0.7649383333333303,0.94,0.8477788658445433
19016,FULL,0.90625,0.22916666666666666,0.11928251121076233,0.7318958333333302,0.94,0.8237007894245134
19016,simple_two_signal_learner,0.8229166666666666,0.3125,0.2295964125560538,0.6561458333333298,0.8712832523141194,0.7368671758221217
19017,PTVM,0.9444444444444444,0.25925925925925924,0.1520361990950226,0.7220383333333297,0.94,0.8186208620328465
19017,FULL,0.9074074074074074,0.2962962962962963,0.10316742081447963,0.7021974999999961,0.94,0.8030640389852512
19017,simple_two_signal_learner,0.8425925925925926,0.35185185185185186,0.18642533936651584,0.660331666666663,0.88005228509378,0.7426126636081775
19018,PTVM,0.9065420560747663,0.2336448598130841,0.15102389078498293,0.7408158333333302,0.94,0.8185505820454949
19018,FULL,0.8785046728971962,0.2523364485981308,0.10580204778156997,0.7207149999999969,0.94,0.8094856301633113
19018,simple_two_signal_learner,0.8037383177570093,0.3177570093457944,0.19112627986348124,0.6754141666666633,0.9111502052982154,0.7423105286846237
19019,PTVM,0.9259259259259259,0.2777777777777778,0.14868309260832624,0.7321083333333303,0.94,0.8116237981450007
19019,FULL,0.9074074074074074,0.2962962962962963,0.102803738317757,0.7184541666666638,0.94,0.8072009421512627
19019,simple_two_signal_learner,0.7592592592592593,0.4166666666666667,0.20135938827527614,0.6603924999999969,0.8943895212290822,0.6984373584560551
19020,PTVM,0.9739130434782609,0.20869565217391303,0.17223198594024605,0.7248241666666627,0.94,0.8367596444786165
19020,FULL,0.9217391304347826,0.2608695652173913,0.11599297012302284,0.7101749999999962,0.94,0.8156495038014815
19020,simple_two_signal_learner,0.7913043478260869,0.3565217391304348,0.22231985940246046,0.6672958333333299,0.9060454564079112,0.7206208560180578
19021,PTVM,0.8979591836734694,0.2653061224489796,0.15159574468085107,0.7399149999999968,0.94,0.8077208255536249
19021,FULL,0.8673469387755102,0.29591836734693877,0.10815602836879433,0.7121249999999967,0.94,0.7926245341221587
19021,simple_two_signal_learner,0.8163265306122449,0.336734693877551,0.18085106382978725,0.67245333333333,0.90989617900559,0.7426574062816607
19022,PTVM,0.9487179487179487,0.28205128205128205,0.17091836734693877,0.7366166666666633,0.94,0.8140730572998423
19022,FULL,0.8803418803418803,0.3162393162393162,0.11139455782312925,0.7172583333333306,0.94,0.7920784068114418
19022,simple_two_signal_learner,0.8034188034188035,0.38461538461538464,0.1836734693877551,0.6670833333333303,0.8912069918059085,0.7249079343275765
19023,PTVM,0.9550561797752809,0.21348314606741572,0.15551694178974804,0.7510991666666638,0.94,0.8398174707244466
