seed,model,trap_capture_rate,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
17028,simple_anticapture,0.20458265139116202,0.7415730337078652,0.13444444444444445,0.42696629213483145,0.7165422222222196,0.7543410778997611,0.79
17028,simple_frozen_core,0.14827201783723523,0.782608695652174,0.09444444444444444,0.34782608695652173,0.7243251851851829,0.7990579537966058,0.8
17028,tdc_evidence_validated,0.14810810810810812,0.8504672897196262,0.06888888888888889,0.27102803738317754,0.7345903703703682,0.8474278631966075,0.9108801041315803
17029,simple_time_schedule,0.23349699945444627,0.8426966292134831,0.06111111111111111,0.3146067415730337,0.7093311111111077,0.8237407435080125,0.92
17029,simple_anticapture,0.21188772702256467,0.6788990825688074,0.11777777777777777,0.4954128440366973,0.6309414814814771,0.7206542120623901,0.79
17029,simple_frozen_core,0.15292841648590022,0.6721311475409836,0.09444444444444444,0.48360655737704916,0.6816392592592562,0.7380888261612844,0.8
17029,tdc_evidence_validated,0.13481894150417828,0.8085106382978723,0.052222222222222225,0.2978723404255319,0.7357103703703681,0.8354821963238633,0.9107399725964445
17030,simple_time_schedule,0.2448866777224986,0.8981481481481481,0.04666666666666667,0.2777777777777778,0.6865103703703669,0.8462695760088446,0.92
17030,simple_anticapture,0.20452039691289967,0.7613636363636364,0.10555555555555556,0.3977272727272727,0.697348148148145,0.7699805075377071,0.79
17030,simple_frozen_core,0.1649025069637883,0.7319587628865979,0.09111111111111111,0.4020618556701031,0.6719340740740708,0.7693483850637242,0.8
17030,tdc_evidence_validated,0.15584415584415584,0.87,0.05555555555555555,0.26,0.7406644444444422,0.8566791147715356,0.9122619685547313
17031,simple_time_schedule,0.2482422931314224,0.8584905660377359,0.06555555555555556,0.29245283018867924,0.6768348148148109,0.8278097662925432,0.92
17031,simple_anticapture,0.21159103335155824,0.7037037037037037,0.12,0.37962962962962965,0.6701133333333297,0.7523622124415282,0.79
17031,simple_frozen_core,0.15350877192982457,0.7241379310344828,0.07555555555555556,0.3793103448275862,0.6823155555555527,0.7768509259931438,0.8
17031,tdc_evidence_validated,0.156353591160221,0.8969072164948454,0.06,0.28865979381443296,0.73533185185185,0.8572235125650306,0.9108929087800404
17032,simple_time_schedule,0.24830316742081449,0.7747747747747747,0.058888888888888886,0.3153153153153153,0.6925437037037004,0.8017725522717286,0.92
17032,simple_anticapture,0.21032399780340472,0.8041237113402062,0.11,0.29896907216494845,0.74191259259259,0.8022046147233528,0.79
17032,simple_frozen_core,0.16767788196359626,0.7058823529411765,0.08444444444444445,0.3235294117647059,0.7046066666666638,0.780143048689746,0.8
17032,tdc_evidence_validated,0.16081229418221735,0.7657657657657657,0.06111111111111111,0.4144144144144144,0.7328340740740716,0.7941574627003376,0.9089274316782152
17033,simple_time_schedule,0.2627537026878771,0.8469387755102041,0.06333333333333334,0.29591836734693877,0.6568888888888844,0.8209630356878533,0.92
17033,simple_anticapture,0.20309168443496803,0.6981132075471698,0.12444444444444444,0.44339622641509435,0.689775555555552,0.7395865610983715,0.79
17033,simple_frozen_core,0.14269725797425853,0.7340425531914894,0.09777777777777778,0.3723404255319149,0.702590370370368,0.7797617870298712,0.8
17033,tdc_evidence_validated,0.14936847885777046,0.8514851485148515,0.06111111111111111,0.297029702970297,0.7505333333333312,0.8445807641249798,0.9117894135682196
17034,simple_time_schedule,0.24378109452736318,0.7727272727272727,0.05444444444444444,0.38636363636363635,0.6725644444444411,0.787514156188753,0.92
17034,simple_anticapture,0.19689406544647808,0.8737864077669902,0.10777777777777778,0.2621359223300971,0.682878518518515,0.8286738851632272,0.79
17034,simple_frozen_core,0.1528555431131019,0.7340425531914894,0.06666666666666667,0.425531914893617,0.6918548148148123,0.772561385757538,0.8
17034,tdc_evidence_validated,0.15537190082644628,0.7983193277310925,0.06666666666666667,0.37815126050420167,0.6914288888888862,0.8083016475306566,0.9086318444322257
17035,simple_time_schedule,0.24126455906821964,0.8829787234042553,0.06333333333333334,0.3191489361702128,0.6662511111111067,0.8303144814237892,0.92
17035,simple_anticapture,0.21540965816603364,0.7307692307692307,0.12333333333333334,0.33653846153846156,0.6938074074074038,0.7685325173714971,0.79
17035,simple_frozen_core,0.16120218579234974,0.7966101694915254,0.08444444444444445,0.3305084745762712,0.7074096296296273,0.8053272842970782,0.8
17035,tdc_evidence_validated,0.14183617372182517,0.8717948717948718,0.052222222222222225,0.3076923076923077,0.7181822222222203,0.8491666196454354,0.9098399220714235
17036,simple_time_schedule,0.24794745484400657,0.8529411764705882,0.06777777777777778,0.3137254901960784,0.6297022222222183,0.819291949708619,0.92
17036,simple_anticapture,0.20754716981132076,0.7916666666666666,0.09888888888888889,0.3416666666666667,0.6968081481481452,0.7903661935709294,0.79
17036,simple_frozen_core,0.14755896873285793,0.7524752475247525,0.07555555555555556,0.32673267326732675,0.6788814814814786,0.796081173730282,0.8
17036,tdc_evidence_validated,0.14812775330396477,0.8545454545454545,0.03666666666666667,0.24545454545454545,0.73428222222222,0.8594780439079917,0.9110319392962094
17037,simple_time_schedule,0.23812154696132598,0.797979797979798,0.06555555555555556,0.3434343434343434,0.6933437037037001,0.8031152124188475,0.92
17037,simple_anticapture,0.19823302043070126,0.717391304347826,0.12777777777777777,0.43478260869565216,0.7080103703703673,0.7477962787278671,0.79
17037,simple_frozen_core,0.16840373011519474,0.7171717171717171,0.07222222222222222,0.43434343434343436,0.6809177777777748,0.7620406860098516,0.8
17037,tdc_evidence_validated,0.162534435261708,0.8404255319148937,0.05555555555555555,0.30851063829787234,0.7006911111111084,0.8354308014513802,0.909809178263778
17038,simple_time_schedule,0.24245748765770708,0.8363636363636363,0.04888888888888889,0.3090909090909091,0.6759970370370333,0.8221702901902549,0.92
17038,simple_anticapture,0.2068004459308807,0.7526881720430108,0.11222222222222222,0.3978494623655914,0.7079918518518485,0.7664943169425763,0.79
