seed,model,stage,A_TF,I,C_T,R_C,H_self,latent_integration_score,ethical_sensitivity,target_reliability,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
10763,static_reliability,5,0.6504055941896145,0.6620554029149321,0.6797035632132645,0.7035797051144965,0.5661799331922167,0.7783971957795551,0.8114354834836217,0.62,0.629,0.635814889336016,0.22949999999999704,0.6266666666666667,0.75
10763,linear_internal_map,5,0.6504055941896145,0.6620554029149321,0.6797035632132645,0.7035797051144965,0.5661799331922167,0.7783971957795551,0.8114354834836217,0.8347107941852088,0.786,0.7977272727272727,0.570299999999997,0.8275862068965517,0.754
10763,emergent_nonlinear,5,0.6504055941896145,0.6620554029149321,0.6797035632132645,0.7035797051144965,0.5661799331922167,0.7783971957795551,0.8114354834836217,0.7476108297603968,0.718,0.7272727272727273,0.4462999999999942,0.7214854111405835,0.754
10764,static_reliability,1,0.10341028284942605,0.3088377351425637,0.3227576356624529,0.27708708116656666,0.7068541067921316,0.2697840314526872,0.6549004311883279,0.62,0.622,0.5866666666666667,0.25,0.6052202283849919,0.0
10764,linear_internal_map,1,0.10341028284942605,0.3088377351425637,0.3227576356624529,0.27708708116656666,0.7068541067921316,0.2697840314526872,0.6549004311883279,0.6160071335246555,0.602,0.5894039735099338,0.23,0.6,0.0
10764,emergent_nonlinear,1,0.10341028284942605,0.3088377351425637,0.3227576356624529,0.27708708116656666,0.7068541067921316,0.2697840314526872,0.6549004311883279,0.5431654450324299,0.622,0.6601731601731602,0.308,0.5408163265306123,0.0
10764,static_reliability,2,0.272241854049382,0.29657762117539976,0.33517584487386654,0.3016103258098286,0.6433681868769731,0.33688683395482333,0.6803145025546429,0.62,0.597,0.5995525727069351,0.239,0.61875,0.0
10764,linear_internal_map,2,0.272241854049382,0.29657762117539976,0.33517584487386654,0.3016103258098286,0.6433681868769731,0.33688683395482333,0.6803145025546429,0.644861338600574,0.625,0.6068181818181818,0.279,0.6466876971608833,0.0
10764,emergent_nonlinear,2,0.272241854049382,0.29657762117539976,0.33517584487386654,0.3016103258098286,0.6433681868769731,0.33688683395482333,0.6803145025546429,0.5539018934327717,0.6,0.6134831460674157,0.256,0.5632911392405063,0.0
10764,static_reliability,3,0.321928006450275,0.27209219642311794,0.3661282119999866,0.3344896649788019,0.8182556362514232,0.32947814969351263,0.7248528219039124,0.62,0.594,0.5957943925233645,0.248,0.6090775988286969,0.0
10764,linear_internal_map,3,0.321928006450275,0.27209219642311794,0.3661282119999866,0.3344896649788019,0.8182556362514232,0.32947814969351263,0.7248528219039124,0.6416756043682104,0.623,0.6247030878859857,0.307,0.6299093655589124,0.0
