seed,model,is_tdc,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,gross_trajectory,avg_information_cost,net_trajectory_after_info_cost,final_quality
17426,tdc_evidence_validated,True,0.821917808219178,0.06571428571428571,0.2465753424657534,0.17271835132482827,0.8272816486751717,0.7534246575342466,0.7387219047619008,0.014298323979223078,0.7244235807826778,0.9087085902766412
17427,simple_q076_a008,False,0.6666666666666666,0.1357142857142857,0.4827586206896552,0.24075924075924077,0.7592407592407593,0.5172413793103448,0.6435485714285669,0.017820000000000367,0.6257285714285665,0.76
17427,simple_q084_a008,False,0.7215189873417721,0.09571428571428571,0.31645569620253167,0.17395727365208546,0.8260427263479145,0.6835443037974683,0.6881380952380912,0.03718000000000356,0.6509580952380877,0.84
17427,simple_q090_a008,False,0.8095238095238095,0.06857142857142857,0.38095238095238093,0.14216634429400388,0.8578336557059961,0.6190476190476191,0.7490333333333297,0.05631999999999951,0.6927133333333302,0.9
17427,simple_q090_a016,False,0.8051948051948052,0.047142857142857146,0.38961038961038963,0.11273080660835763,0.8872691933916423,0.6103896103896104,0.7408533333333301,0.05631999999999951,0.6845333333333307,0.9
17427,tdc_evidence_validated,True,0.8765432098765432,0.06857142857142857,0.30864197530864196,0.16650625601539942,0.8334937439846006,0.691358024691358,0.7301114285714252,0.014443137018090057,0.7156682915533351,0.9098809960902747
17428,simple_q076_a008,False,0.8055555555555556,0.10857142857142857,0.3333333333333333,0.23955147808358818,0.7604485219164119,0.6666666666666667,0.7002142857142817,0.017820000000000367,0.6823942857142813,0.76
17428,simple_q084_a008,False,0.8260869565217391,0.09285714285714286,0.34782608695652173,0.1710654936461388,0.8289345063538612,0.6521739130434783,0.7565095238095201,0.03718000000000356,0.7193295238095165,0.84
17428,simple_q090_a008,False,0.7752808988764045,0.05857142857142857,0.3146067415730337,0.12955465587044535,0.8704453441295547,0.6853932584269663,0.7528933333333302,0.05631999999999951,0.6965733333333307,0.9
17428,simple_q090_a016,False,0.8902439024390244,0.055714285714285716,0.3048780487804878,0.12303149606299213,0.8769685039370079,0.6951219512195121,0.7259066666666631,0.05631999999999951,0.6695866666666637,0.9
17428,tdc_evidence_validated,True,0.8767123287671232,0.04428571428571428,0.2602739726027397,0.16748285994123407,0.8325171400587659,0.7397260273972603,0.7250885714285681,0.013932376661439769,0.7111561947671283,0.9069617767961657
17429,simple_q076_a008,False,0.7325581395348837,0.12142857142857143,0.43023255813953487,0.23414634146341465,0.7658536585365854,0.5697674418604651,0.6680504761904716,0.017820000000000367,0.6502304761904713,0.76
17429,simple_q084_a008,False,0.7432432432432432,0.09428571428571429,0.35135135135135137,0.16683119447186576,0.8331688055281342,0.6486486486486487,0.7155695238095203,0.03718000000000356,0.6783895238095168,0.84
17429,simple_q090_a008,False,0.8289473684210527,0.07428571428571429,0.2631578947368421,0.14442231075697212,0.8555776892430279,0.736842105263158,0.7357333333333297,0.05631999999999951,0.6794133333333302,0.9
17429,simple_q090_a016,False,0.8191489361702128,0.06571428571428571,0.3191489361702128,0.11594202898550725,0.8840579710144928,0.6808510638297872,0.7466495238095208,0.05631999999999951,0.6903295238095213,0.9
17429,tdc_evidence_validated,True,0.8620689655172413,0.05714285714285714,0.367816091954023,0.18507462686567164,0.8149253731343283,0.632183908045977,0.7034914285714247,0.01489179864898297,0.6885996299224417,0.9084902855640965
17430,simple_q076_a008,False,0.7702702702702703,0.11857142857142858,0.2972972972972973,0.2344213649851632,0.7655786350148368,0.7027027027027026,0.6690476190476154,0.017820000000000367,0.6512276190476151,0.76
17430,simple_q084_a008,False,0.8648648648648649,0.08,0.22972972972972974,0.2082514734774067,0.7917485265225933,0.7702702702702703,0.7310809523809481,0.03718000000000356,0.6939009523809445,0.84
17430,simple_q090_a008,False,0.7802197802197802,0.055714285714285716,0.3626373626373626,0.152,0.848,0.6373626373626373,0.7413295238095206,0.05631999999999951,0.6850095238095211,0.9
17430,simple_q090_a016,False,0.8170731707317073,0.05285714285714286,0.34146341463414637,0.12884615384615383,0.8711538461538462,0.6585365853658536,0.7155009523809492,0.05631999999999951,0.6591809523809498,0.9
17430,tdc_evidence_validated,True,0.8452380952380952,0.055714285714285716,0.2857142857142857,0.184645286686103,0.815354713313897,0.7142857142857143,0.735479047619044,0.013578677561948818,0.7219003700570952,0.9074708084431221
17431,simple_q076_a008,False,0.7317073170731707,0.12714285714285714,0.3902439024390244,0.2034412955465587,0.7965587044534412,0.6097560975609756,0.675176190476186,0.017820000000000367,0.6573561904761857,0.76
17431,simple_q084_a008,False,0.7910447761194029,0.09714285714285714,0.373134328358209,0.16096579476861167,0.8390342052313884,0.6268656716417911,0.7589161904761866,0.03718000000000356,0.7217361904761831,0.84
17431,simple_q090_a008,False,0.8333333333333334,0.06285714285714286,0.3333333333333333,0.14505283381364073,0.8549471661863592,0.6666666666666667,0.752551428571425,0.05631999999999951,0.6962314285714255,0.9
17431,simple_q090_a016,False,0.8548387096774194,0.07428571428571429,0.24193548387096775,0.13056379821958458,0.8694362017804154,0.7580645161290323,0.7769666666666635,0.05631999999999951,0.720646666666664,0.9
17431,tdc_evidence_validated,True,0.8488372093023255,0.06714285714285714,0.2558139534883721,0.16650049850448653,0.8334995014955134,0.7441860465116279,0.7101523809523773,0.013891745983330225,0.6962606349690471,0.9090571813567521
17432,simple_q076_a008,False,0.8076923076923077,0.12428571428571429,0.3333333333333333,0.23285024154589373,0.7671497584541063,0.6666666666666667,0.690283809523805,0.017820000000000367,0.6724638095238046,0.76
17432,simple_q084_a008,False,0.8656716417910447,0.09428571428571429,0.2835820895522388,0.20760233918128654,0.7923976608187134,0.7164179104477613,0.726516190476187,0.03718000000000356,0.6893361904761834,0.84
17432,simple_q090_a008,False,0.8636363636363636,0.045714285714285714,0.29545454545454547,0.108,0.892,0.7045454545454546,0.7472857142857109,0.05631999999999951,0.6909657142857114,0.9
17432,simple_q090_a016,False,0.7872340425531915,0.06,0.32978723404255317,0.09788092835519677,0.9021190716448032,0.6702127659574468,0.7562895238095209,0.05631999999999951,0.6999695238095214,0.9
17432,tdc_evidence_validated,True,0.8214285714285714,0.06571428571428571,0.34523809523809523,0.19395711500974658,0.8060428849902534,0.6547619047619048,0.7175228571428535,0.01320316318127793,0.7043196939615756,0.9042643632378679
17433,simple_q076_a008,False,0.7948717948717948,0.12285714285714286,0.3717948717948718,0.24554455445544554,0.7544554455445545,0.6282051282051282,0.6970676190476147,0.017820000000000367,0.6792476190476143,0.76
17433,simple_q084_a008,False,0.821917808219178,0.09,0.3287671232876712,0.17471042471042472,0.8252895752895753,0.6712328767123288,0.7567552380952335,0.03718000000000356,0.7195752380952299,0.84
17433,simple_q090_a008,False,0.8289473684210527,0.06428571428571428,0.2894736842105263,0.15835777126099707,0.841642228739003,0.7105263157894737,0.7844523809523781,0.05631999999999951,0.7281323809523786,0.9
17433,simple_q090_a016,False,0.875,0.06142857142857143,0.35,0.11874386653581943,0.8812561334641805,0.65,0.7199619047619018,0.05631999999999951,0.6636419047619023,0.9
17433,tdc_evidence_validated,True,0.8764044943820225,0.06571428571428571,0.25842696629213485,0.1678115799803729,0.8321884200196271,0.7415730337078652,0.7195409523809485,0.014715603457231437,0.7048253489237171,0.9096520676145408
17434,simple_q076_a008,False,0.7051282051282052,0.11142857142857143,0.3974358974358974,0.22466539196940727,0.7753346080305927,0.6025641025641026,0.7343904761904717,0.017820000000000367,0.7165704761904713,0.76
17434,simple_q084_a008,False,0.8472222222222222,0.1,0.25,0.15860735009671179,0.8413926499032882,0.75,0.7096771428571391,0.03718000000000356,0.6724971428571356,0.84
17434,simple_q090_a008,False,0.84,0.06,0.26666666666666666,0.1360078277886497,0.8639921722113503,0.7333333333333334,0.7966133333333302,0.05631999999999951,0.7402933333333307,0.9
17434,simple_q090_a016,False,0.7536231884057971,0.07142857142857142,0.42028985507246375,0.09378084896347483,0.9062191510365252,0.5797101449275363,0.739204761904759,0.05631999999999951,0.6828847619047596,0.9
17434,tdc_evidence_validated,True,0.8021978021978022,0.03857142857142857,0.3956043956043956,0.1671612265084075,0.8328387734915925,0.6043956043956045,0.681061904761901,0.014141033786308127,0.6669208709755928,0.904740916086104
17435,simple_q076_a008,False,0.7638888888888888,0.12,0.2638888888888889,0.23023715415019763,0.7697628458498024,0.7361111111111112,0.7317123809523765,0.017820000000000367,0.7138923809523761,0.76
17435,simple_q084_a008,False,0.9069767441860465,0.07857142857142857,0.27906976744186046,0.1926514399205561,0.8073485600794439,0.7209302325581395,0.7506923809523774,0.03718000000000356,0.7135123809523739,0.84
17435,simple_q090_a008,False,0.8522727272727273,0.054285714285714284,0.2159090909090909,0.1595744680851064,0.8404255319148937,0.7840909090909091,0.7557790476190442,0.05631999999999951,0.6994590476190448,0.9
17435,simple_q090_a016,False,0.8395061728395061,0.06142857142857143,0.2962962962962963,0.12199807877041306,0.878001921229587,0.7037037037037037,0.7154971428571395,0.05631999999999951,0.65917714285714,0.9
17435,tdc_evidence_validated,True,0.8589743589743589,0.06142857142857143,0.2564102564102564,0.1981891348088531,0.8018108651911469,0.7435897435897436,0.7271352380952346,0.01348032637224493,0.7136549117229897,0.9074440135782516
