quality,seed,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value
0.6,15464,0.6368159203980099,0.5858085808580858,0.3509477311889719,0.2173076923076923,0.10538461538461538,0.43781094527363185,0.6097335822842319,0.6104473076923036
0.6,15465,0.6675531914893617,0.5523809523809524,0.3304825901038485,0.21076923076923076,0.10096153846153846,0.40691489361702127,0.6190564528023651,0.6488378846153802
0.6,15466,0.6691176470588235,0.562624254473161,0.33055885850178357,0.21653846153846154,0.10596153846153847,0.41421568627450983,0.6196101118561818,0.6368224999999965
0.6,15467,0.6498740554156172,0.5257548845470693,0.3301549463647199,0.21615384615384614,0.09769230769230769,0.47103274559193953,0.5992887247451953,0.5900399999999971
0.6,15468,0.6773333333333333,0.5652173913043478,0.33292231812577067,0.20807692307692308,0.09769230769230769,0.4053333333333333,0.6262146763770728,0.6575753846153808
0.6,15469,0.6490765171503958,0.5609318996415771,0.3337313432835821,0.21461538461538462,0.0998076923076923,0.39050131926121373,0.6147734708941746,0.645918269230765
0.6,15470,0.6682577565632458,0.5290697674418605,0.3333333333333333,0.21269230769230768,0.10384615384615385,0.3914081145584726,0.6175171134669108,0.6314757692307659
0.6,15471,0.6370370370370371,0.5605786618444847,0.35018495684340323,0.2026923076923077,0.0975,0.4839506172839506,0.6020807305654446,0.5945032692307656
0.6,15472,0.6791044776119403,0.5780346820809249,0.3404634581105169,0.21346153846153845,0.10019230769230769,0.417910447761194,0.6278673678263996,0.63734865384615
0.6,15473,0.625748502994012,0.5236363636363637,0.30565805658056583,0.21711538461538463,0.10230769230769231,0.45209580838323354,0.5872868203545945,0.6364876923076883
0.6,15474,0.6036269430051814,0.5283018867924528,0.31166464155528556,0.21788461538461537,0.0975,0.48186528497409326,0.5762223720313558,0.6038617307692278
0.6,15475,0.6503856041131105,0.5927342256214149,0.3462484624846248,0.20442307692307693,0.09596153846153846,0.4267352185089974,0.6190659883537005,0.640800192307688
0.6,15476,0.6265664160401002,0.564638783269962,0.3191365227537923,0.22442307692307692,0.10019230769230769,0.45363408521303256,0.5952892768661568,0.6191498076923043
0.6,15477,0.6253229974160207,0.5441441441441441,0.32929782082324455,0.21307692307692308,0.09865384615384615,0.46770025839793283,0.5924494628083709,0.6027013461538425
0.6,15478,0.6225961538461539,0.5459770114942529,0.33497536945812806,0.2076923076923077,0.10461538461538461,0.4807692307692308,0.5910047966401414,0.5947046153846113
0.6,15479,0.601063829787234,0.5783365570599613,0.31324582338902146,0.22134615384615386,0.10173076923076924,0.4654255319148936,0.5847455475464464,0.6285982692307656
0.6,15480,0.6605263157894737,0.5772058823529411,0.3321575543797766,0.21846153846153846,0.10596153846153847,0.4473684210526316,0.6143879947410563,0.6255405769230734
0.6,15481,0.6462765957446809,0.5131578947368421,0.3132969034608379,0.2175,0.10288461538461538,0.44148936170212766,0.5965011995278457,0.6250321153846111
0.6,15482,0.6486486486486487,0.5461538461538461,0.32088181261481935,0.21326923076923077,0.09807692307692308,0.4297297297297297,0.6059613955540165,0.6410361538461502
0.6,15483,0.6507936507936508,0.575591985428051,0.33117265763111375,0.21826923076923077,0.10692307692307693,0.42328042328042326,0.6127562645842188,0.6347965384615333
0.6,15484,0.6153846153846154,0.5252707581227437,0.3251684017146356,0.21192307692307694,0.10153846153846154,0.46153846153846156,0.5853592052319957,0.6012957692307654
0.6,15485,0.5873417721518988,0.5508637236084453,0.3153098420413123,0.21673076923076923,0.09942307692307692,0.47848101265822784,0.5739089349094836,0.6130444230769206
0.6,15486,0.5685279187817259,0.5449438202247191,0.31005418422636966,0.22038461538461537,0.11326923076923077,0.49746192893401014,0.5608502760592751,0.5960040384615339
0.6,15487,0.6597402597402597,0.5535390199637024,0.3183371298405467,0.2301923076923077,0.1025,0.43636363636363634,0.6086914833299107,0.6175944230769194
0.6,15488,0.6426735218508998,0.5616197183098591,0.3294730746960046,0.2226923076923077,0.09884615384615385,0.4473007712082262,0.6040321720194088,0.6132638461538421
