seed,model,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,probe_rate,review_trigger_rate,irreversible_core_violation_rate,reversible_miss_rate,net_vigilance_value,long_term_trajectory_value,final_threshold_irreversible,final_threshold_reversible
15244,hierarchical_boundary_probe,0.862934362934363,0.6027027027027027,0.41095260009203866,0.18823529411764706,0.06441176470588235,0.3195588235294118,0.2528957528957529,0.4864864864864865,0.7433625032361423,0.7136217647058842,0.28,0.6159999999999999
15244,hierarchical_recall_guard_probe,0.866913123844732,0.6070901033973413,0.4007285974499089,0.1935294117647059,0.3111764705882353,0.32294117647058823,0.24214417744916822,0.4505169867060561,0.7302591014956843,0.7257582352941202,0.28,0.74
15244,global_probe,0.8609022556390977,0.60431654676259,0.4053554939981533,0.18941176470588236,0.2388235294117647,0.3185294117647059,0.2387218045112782,0.460431654676259,0.7331021592335294,0.7266876470588254,0.28,0.74
15245,hierarchical_no_probe,0.8349146110056926,0.6,0.38489371325192223,0.2,0.0,0.3251470588235294,0.2504743833017078,0.4759124087591241,0.730492330481455,0.7239185294117665,0.28,0.6179999999999999
15245,hierarchical_boundary_probe,0.8895833333333333,0.6075036075036075,0.41065375302663437,0.17897058823529413,0.06941176470588235,0.30367647058823527,0.22916666666666666,0.4862914862914863,0.7587553379184236,0.7422191176470627,0.28,0.704
15245,hierarchical_recall_guard_probe,0.878727634194831,0.603988603988604,0.40129749768303985,0.19,0.30691176470588233,0.3173529411764706,0.2147117296222664,0.47150997150997154,0.7387053192386064,0.7377666176470624,0.28,0.5300000000000002
15245,global_probe,0.872865275142315,0.606694560669456,0.4170549860205033,0.1839705882352941,0.24088235294117646,0.31558823529411767,0.2504743833017078,0.497907949790795,0.7391553173135508,0.7102950000000002,0.28,0.74
15246,hierarchical_no_probe,0.8735408560311284,0.5997267759562842,0.4105409153952843,0.1875,0.0,0.31808823529411767,0.23929961089494164,0.48770491803278687,0.7528532185340264,0.7235173529411788,0.28,0.4399999999999997
15246,hierarchical_boundary_probe,0.8475991649269311,0.606951871657754,0.4217753800882786,0.17338235294117646,0.05911764705882353,0.2998529411764706,0.27139874739039666,0.4692513368983957,0.738699358142416,0.7210594117647079,0.28,0.5620000000000003
15246,hierarchical_recall_guard_probe,0.8857715430861723,0.6035242290748899,0.4148832684824903,0.17691176470588235,0.3129411764705882,0.3023529411764706,0.21442885771543085,0.4801762114537445,0.7444724723510481,0.7427376470588308,0.28,0.74
15246,global_probe,0.8740157480314961,0.611185086551265,0.4417808219178082,0.16779411764705882,0.23691176470588235,0.30058823529411766,0.2283464566929134,0.4766977363515313,0.7483298506397155,0.7276042647058832,0.28,0.6580000000000004
15247,hierarchical_no_probe,0.8552875695732839,0.6022099447513812,0.4109024278515804,0.18911764705882353,0.0,0.3210294117647059,0.2597402597402597,0.48204419889502764,0.743020114405508,0.7109761764705892,0.28,0.74
15247,hierarchical_boundary_probe,0.8571428571428571,0.6039603960396039,0.4095849802371542,0.17573529411764705,0.06602941176470588,0.29764705882352943,0.2515991471215352,0.4809052333804809,0.7422483688273069,0.7349175000000018,0.28,0.74
15247,hierarchical_recall_guard_probe,0.8847736625514403,0.6027972027972028,0.4115678776290631,0.18102941176470588,0.3054411764705882,0.3076470588235294,0.22839506172839505,0.4937062937062937,0.7418351744151128,0.7293216176470656,0.28,0.6780000000000004
15247,global_probe,0.8828996282527881,0.608876560332871,0.41189725101397023,0.19191176470588237,0.2513235294117647,0.3263235294117647,0.23048327137546468,0.4576976421636616,0.7439751278610364,0.7248836764705932,0.28,0.5280000000000002
15248,hierarchical_no_probe,0.8608695652173913,0.6022408963585434,0.38117212736502076,0.19720588235294118,0.0,0.3186764705882353,0.2565217391304348,0.46218487394957986,0.7407846617088278,0.7355091176470607,0.28,0.74
15248,hierarchical_boundary_probe,0.8536121673003803,0.6135057471264368,0.42216867469879515,0.1763235294117647,0.06602941176470588,0.30514705882352944,0.26996197718631176,0.46264367816091956,0.7417920893548047,0.7198713235294119,0.28,0.74
15248,hierarchical_recall_guard_probe,0.8740458015267175,0.6005547850208044,0.43956586087814503,0.16705882352941176,0.30161764705882355,0.29808823529411765,0.22900763358778625,0.4826629680998613,0.7424433655604854,0.7261686764705929,0.28,0.5639999999999998
15248,global_probe,0.8604206500956023,0.6106442577030813,0.43774703557312256,0.1673529411764706,0.24661764705882352,0.29764705882352943,0.26003824091778205,0.4635854341736695,0.7376273974015728,0.7193733823529427,0.28,0.74
15249,hierarchical_no_probe,0.8402255639097744,0.6115819209039548,0.4064665127020785,0.1889705882352941,0.0,0.31838235294117645,0.2650375939849624,0.4548022598870056,0.736951585863304,0.7196897058823534,0.28,0.74
15249,hierarchical_boundary_probe,0.8467432950191571,0.6014084507042253,0.4420142421159715,0.1613235294117647,0.06470588235294118,0.28911764705882353,0.2624521072796935,0.46901408450704224,0.7422305711610419,0.7236582352941173,0.28,0.74
15249,hierarchical_recall_guard_probe,0.8857677902621723,0.6040540540540541,0.40636042402826855,0.1976470588235294,0.3079411764705882,0.33294117647058824,0.21161048689138576,0.47162162162162163,0.7419271450251642,0.7252285294117689,0.28,0.74
15249,global_probe,0.8740601503759399,0.6027586206896551,0.4044843049327354,0.1952941176470588,0.24058823529411766,0.32794117647058824,0.2518796992481203,0.4827586206896552,0.7359841753666951,0.7085705882352946,0.28,0.74
