seed,model,phase,TF,R,I,Align,H
12412,success_fed_thirdfactor,1,0.95,0.8230000000000098,0.32,0.4,0.64
12412,success_fed_thirdfactor,2,0.95,0.9335000000000002,0.32,0.4,0.64
12412,success_fed_thirdfactor,3,0.95,0.9375,0.32,0.4,0.64
12412,success_fed_thirdfactor,4,0.95,0.9385000000000001,0.32,0.4,0.64
12412,success_fed_thirdfactor,5,0.95,0.94,0.32,0.4,0.64
12412,success_fed_thirdfactor,6,0.95,0.94,0.32,0.4,0.64
12412,ethicalsense_fed_thirdfactor,1,0.95,0.50006,0.32,0.4,0.64
12412,ethicalsense_fed_thirdfactor,2,0.95,0.5,0.32,0.4,0.64
12412,ethicalsense_fed_thirdfactor,3,0.95,0.5,0.32,0.4,0.64
12412,ethicalsense_fed_thirdfactor,4,0.95,0.5,0.32,0.4,0.64
12412,ethicalsense_fed_thirdfactor,5,0.95,0.5,0.32,0.4,0.64
12412,ethicalsense_fed_thirdfactor,6,0.95,0.5016999999999996,0.32,0.4,0.64
12412,ethicalsense_plus_idealgap,1,0.45171379982869375,0.5940252769815337,0.764980259140311,0.8004822332262786,0.38364581613654863
12412,ethicalsense_plus_idealgap,2,0.4742540129741241,0.578546400393723,0.8137139670021237,0.8443425703019103,0.3552660089743599
12412,ethicalsense_plus_idealgap,3,0.48432086096577726,0.5953443070846633,0.8374006681589549,0.8656606013430581,0.34105398828026146
12412,ethicalsense_plus_idealgap,4,0.48432086096577726,0.5735279015189197,0.8374006681589549,0.8656606013430581,0.34105398828026146
12412,ethicalsense_plus_idealgap,5,0.48432086096577726,0.5572603039710834,0.8374006681589549,0.8656606013430581,0.34105398828026146
12412,ethicalsense_plus_idealgap,6,0.48432086096577726,0.5685903224590609,0.8374006681589549,0.8656606013430581,0.34105398828026146
