seed,model,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,candidate_acceptance_rate
12417,ethicalsense_fed_thirdfactor,0.95,0.5077399999999996,0.32,0.4,0.64,0.49547619047619046,0.5015690376569037,0.005319047619047198,0.3227401129943503,0.0
12417,ethicalsense_plus_idealgap,0.499752917366922,0.938869604967824,0.8923433302689044,0.9151089972420144,0.3043620027810749,0.5661904761904762,0.5588853838065194,0.13310476190476533,0.29829545454545453,0.6523929471032746
12418,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5311904761904762,0.5400714650331802,0.0666976190476205,0.3454281567489115,0.0
12418,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.59,0.5865979381443299,0.17514285714286118,0.28214548126377664,0.0
12418,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.49785714285714283,0.4890282131661442,-0.004814285714285938,0.3614545454545455,0.0
12418,ethicalsense_plus_idealgap,0.4686779688492351,0.5048824913053183,0.8153357776384018,0.8458021998745615,0.3513445397006831,0.4980952380952381,0.49733759318423854,0.012680952380951821,0.37774524158125916,0.6488095238095238
12419,static_baseline,0.24,0.56,0.32,0.4,0.64,0.508095238095238,0.4986931521170936,0.01493095238095262,0.33915574963609896,0.0
12419,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.5823809523809523,0.5943255350920856,0.16053095238095702,0.26759530791788855,0.0
12419,ethicalsense_fed_thirdfactor,0.95,0.5015199999999997,0.32,0.4,0.64,0.5083333333333333,0.49747474747474746,-0.003309523809524229,0.34177215189873417,0.0
12419,ethicalsense_plus_idealgap,0.47338514959589545,0.5025253242365888,0.8417747455296367,0.8695972709766729,0.33240850926847665,0.5211904761904762,0.5273937532002048,0.04574047619047715,0.3333333333333333,0.6477272727272727
12420,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5245238095238095,0.5280205655526993,0.0516309523809529,0.3379360465116279,0.0
12420,success_fed_thirdfactor,0.95,0.9375,0.32,0.4,0.64,0.6071428571428571,0.6042094455852156,0.2077285714285764,0.26906474820143883,0.0
12420,ethicalsense_fed_thirdfactor,0.95,0.5065199999999996,0.32,0.4,0.64,0.5057142857142857,0.504601226993865,0.0072428571428568116,0.3640988372093023,0.0
12420,ethicalsense_plus_idealgap,0.49508136542729897,0.9398404194300793,0.8936129533862641,0.9162516580476379,0.30114792690383557,0.5630952380952381,0.5689922480620155,0.13227380952381276,0.2934306569343066,0.6325
12421,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5126190476190476,0.519916142557652,0.04099047619047655,0.3459343794579173,0.0
12421,success_fed_thirdfactor,0.95,0.935,0.32,0.4,0.64,0.6123809523809524,0.6153846153846154,0.22085952380953006,0.2565406976744186,0.0
12421,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.49523809523809526,0.48759894459102904,-0.0037976190476196386,0.3595667870036101,0.0
12421,ethicalsense_plus_idealgap,0.483823578681461,0.6224186358127809,0.8454082931128842,0.8728674638015959,0.3344138731244978,0.535,0.5326913329954385,0.05990714285714323,0.3112062812276945,0.6927710843373494
12422,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5152380952380953,0.5209914011127972,0.027616666666667178,0.3416058394160584,0.0
12422,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.6080952380952381,0.6054490413723511,0.20293809523810027,0.266767143933685,0.0
12422,ethicalsense_fed_thirdfactor,0.95,0.5018199999999995,0.32,0.4,0.64,0.4938095238095238,0.5067148760330579,0.0024809523809519772,0.330945558739255,0.0
12422,ethicalsense_plus_idealgap,0.5031914539262123,0.9142180200397771,0.8893734799408165,0.9124361319467341,0.3083560178949749,0.5369047619047619,0.5464025026068822,0.08820476190476317,0.30923407301360056,0.6763925729442971
12423,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5009523809523809,0.5047619047619047,0.019452380952380558,0.3509649749821301,0.0
12423,success_fed_thirdfactor,0.95,0.9375,0.32,0.4,0.64,0.5880952380952381,0.5857367593078133,0.17947380952381417,0.29398663697104677,0.0
12423,ethicalsense_fed_thirdfactor,0.95,0.5038399999999998,0.32,0.4,0.64,0.5219047619047619,0.5247368421052632,0.05683333333333391,0.32685385169186465,0.0
12423,ethicalsense_plus_idealgap,0.47754433302009225,0.5124944935208806,0.816371918076084,0.8467347262684762,0.3546880340191752,0.49714285714285716,0.49558441558441557,-0.0021071428571430694,0.3500357909806729,0.6260869565217392
12424,static_baseline,0.24,0.56,0.32,0.4,0.64,0.4957142857142857,0.4964574898785425,-0.015900000000000206,0.3706189410887398,0.0
12424,success_fed_thirdfactor,0.95,0.94,0.32,0.4,0.64,0.615,0.6189505858380031,0.22697857142857766,0.2846820809248555,0.0
12424,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.5042857142857143,0.5042016806722689,0.01868571428571463,0.35441278665740095,0.0
12424,ethicalsense_plus_idealgap,0.5079779229656552,0.94,0.8926756817584396,0.9154081135825956,0.30796671245943963,0.5714285714285714,0.5638676844783715,0.12889285714285958,0.32046864231564437,0.6425233644859814
12425,static_baseline,0.24,0.56,0.32,0.4,0.64,0.5135714285714286,0.5195974576271186,0.046585714285714584,0.34615384615384615,0.0
12425,success_fed_thirdfactor,0.95,0.9375,0.32,0.4,0.64,0.6073809523809524,0.6054421768707483,0.2167309523809575,0.2746331236897275,0.0
12425,ethicalsense_fed_thirdfactor,0.95,0.5,0.32,0.4,0.64,0.4888095238095238,0.49133537206931704,-0.024204761904761965,0.3429811866859624,0.0
