seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,capture_resistance,core_protection,trajectory_value,final_quality,is_tdc
17264,simple_q068_a000,0.7,0.17833333333333334,0.37142857142857144,0.2819332566168009,0.7180667433831991,0.6285714285714286,0.6352055555555526,0.68,False
17264,simple_q076_a000,0.7288135593220338,0.14666666666666667,0.4406779661016949,0.2140391254315305,0.7859608745684695,0.5593220338983051,0.6997999999999969,0.76,False
17264,simple_q084_a000,0.8235294117647058,0.095,0.36764705882352944,0.18181818181818182,0.8181818181818181,0.6323529411764706,0.7118266666666635,0.84,False
17264,simple_q076_a008,0.7910447761194029,0.13,0.31343283582089554,0.21274175199089876,0.7872582480091013,0.6865671641791045,0.6980711111111078,0.76,False
17264,simple_q076_a016,0.7272727272727273,0.11833333333333333,0.4155844155844156,0.15826494724501758,0.8417350527549824,0.5844155844155844,0.719864444444441,0.76,False
17264,simple_q084_a008,0.7741935483870968,0.07333333333333333,0.3225806451612903,0.19661016949152543,0.8033898305084746,0.6774193548387097,0.7382511111111077,0.84,False
17264,simple_q084_a016,0.8225806451612904,0.09,0.3387096774193548,0.13048368953880765,0.8695163104611924,0.6612903225806452,0.740686666666663,0.84,False
17264,simple_q090_a008,0.9459459459459459,0.065,0.21621621621621623,0.1343784994400896,0.8656215005599104,0.7837837837837838,0.7503366666666637,0.9,False
17264,simple_q090_a016,0.8142857142857143,0.06166666666666667,0.44285714285714284,0.12416107382550336,0.8758389261744967,0.5571428571428572,0.7180766666666639,0.9,False
17264,tdc_evidence_validated,0.9027777777777778,0.058333333333333334,0.2361111111111111,0.20564971751412428,0.7943502824858757,0.7638888888888888,0.6977755555555533,0.9056262093687235,True
17265,simple_q060_a000,0.6197183098591549,0.20833333333333334,0.4788732394366197,0.34152046783625734,0.6584795321637427,0.5211267605633803,0.5860388888888859,0.6,False
17265,simple_q068_a000,0.7323943661971831,0.185,0.4647887323943662,0.28055878928987193,0.719441210710128,0.5352112676056338,0.6063411111111077,0.68,False
17265,simple_q076_a000,0.7611940298507462,0.13166666666666665,0.34328358208955223,0.232502965599051,0.767497034400949,0.6567164179104478,0.6950044444444413,0.76,False
17265,simple_q084_a000,0.7551020408163265,0.08666666666666667,0.40816326530612246,0.176878612716763,0.823121387283237,0.5918367346938775,0.7251199999999969,0.84,False
17265,simple_q076_a008,0.8051948051948052,0.12833333333333333,0.33766233766233766,0.2650334075723831,0.734966592427617,0.6623376623376623,0.6896011111111077,0.76,False
17265,simple_q076_a016,0.7530864197530864,0.14666666666666667,0.37037037037037035,0.19158878504672897,0.8084112149532711,0.6296296296296297,0.6554266666666632,0.76,False
17265,simple_q084_a008,0.8653846153846154,0.12,0.25,0.17437722419928825,0.8256227758007118,0.75,0.776509999999996,0.84,False
