seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q,mean_Q
18620,simple_success_learner,0.6774193548387096,0.44086021505376344,0.37309417040358744,0.5923149999999938,0.5776982463508574,0.6206113177328499
18620,simple_calibrated_learner,0.8172043010752689,0.3333333333333333,0.21255605381165918,0.6924408333333296,0.8450108469080612,0.827779984615856
18620,simple_two_signal_learner,0.8279569892473119,0.3225806451612903,0.18744394618834082,0.7158808333333303,0.8784852799982401,0.8762505414081092
18621,tdc_full,0.8653846153846154,0.3269230769230769,0.18906394810009267,0.689134166666663,0.9079323033737681,0.8307309541206263
18621,simple_success_learner,0.7115384615384616,0.4423076923076923,0.34661723818350326,0.5835849999999948,0.5738939904404975,0.6237563943197696
18621,simple_calibrated_learner,0.8557692307692307,0.33653846153846156,0.21037998146431883,0.6868333333333292,0.8267545695658995,0.8129440845433948
18621,simple_two_signal_learner,0.8557692307692307,0.33653846153846156,0.18443002780352177,0.7123449999999967,0.8716142536587501,0.8652817877894872
18622,tdc_full,0.8222222222222222,0.32222222222222224,0.17288444040036396,0.723272499999997,0.9063188830949259,0.8311604618885617
18622,simple_success_learner,0.6555555555555556,0.45555555555555555,0.34394904458598724,0.5974399999999945,0.5805762375719132,0.6177765353893357
18622,simple_calibrated_learner,0.7666666666666667,0.36666666666666664,0.17015468607825296,0.7211549999999969,0.7686076082899526,0.8289391347456895
18622,simple_two_signal_learner,0.8,0.34444444444444444,0.13557779799818018,0.7440658333333312,0.8872969800052214,0.8836605502537555
18623,tdc_full,0.8181818181818182,0.32954545454545453,0.16429840142095914,0.7194641666666635,0.9050733664564223,0.8265655810699416
18623,simple_success_learner,0.6363636363636364,0.48863636363636365,0.35346358792184723,0.5954774999999944,0.5816972030532472,0.617729805072027
18623,simple_calibrated_learner,0.8068181818181818,0.3409090909090909,0.17850799289520428,0.7105633333333299,0.863887214341766,0.8244739928708696
18623,simple_two_signal_learner,0.8068181818181818,0.3409090909090909,0.13587921847246892,0.7458141666666642,0.887789551213604,0.8830603105721082
18624,tdc_full,0.7522935779816514,0.41284403669724773,0.16999132697311362,0.6776199999999969,0.9047709522546283,0.8441277841461883
18624,simple_success_learner,0.6238532110091743,0.5137614678899083,0.35732870771899394,0.563399999999995,0.5590600815120738,0.6180958500096765
18624,simple_calibrated_learner,0.7431192660550459,0.42201834862385323,0.21075455333911536,0.6562941666666627,0.8084527782756622,0.8156173281147308
18624,simple_two_signal_learner,0.7431192660550459,0.42201834862385323,0.1673894189071986,0.6852841666666636,0.849608789203248,0.8740561430756378
18625,tdc_full,0.8181818181818182,0.32954545454545453,0.17226148409893993,0.7141591666666633,0.9069978501946875,0.8329793588705071
18625,simple_success_learner,0.6590909090909091,0.4659090909090909,0.32420494699646646,0.5987733333333284,0.5366038204869804,0.6073642852221574
18625,simple_calibrated_learner,0.8181818181818182,0.32954545454545453,0.20141342756183744,0.7050533333333298,0.8485451320747446,0.8147904233176239
18625,simple_two_signal_learner,0.8181818181818182,0.32954545454545453,0.15547703180212014,0.7387133333333306,0.9039053165638372,0.8751691118894238
18626,tdc_full,0.8679245283018868,0.2169811320754717,0.1585253456221198,0.7158916666666639,0.9100008993350963,0.84576789668267
18626,simple_success_learner,0.6792452830188679,0.3867924528301887,0.34838709677419355,0.5932424999999942,0.5954149814357632,0.6171999438837455
18626,simple_calibrated_learner,0.8679245283018868,0.2169811320754717,0.21658986175115208,0.688619166666663,0.8483595455354618,0.8107202923948138
18626,simple_two_signal_learner,0.8679245283018868,0.2169811320754717,0.17511520737327188,0.7185599999999973,0.8757472693682248,0.8717641231463079
18627,tdc_full,0.8476190476190476,0.2857142857142857,0.18110918544194107,0.7072799999999965,0.9099553122393141,0.8399816608922133
18627,simple_success_learner,0.6,0.5238095238095238,0.34575389948006935,0.5542008333333287,0.5235140356039005,0.6137440985876959
18627,simple_calibrated_learner,0.8285714285714286,0.3047619047619048,0.19584055459272098,0.7123291666666633,0.878319545159581,0.8395739650558912
18627,simple_two_signal_learner,0.8380952380952381,0.29523809523809524,0.16984402079722705,0.7377574999999972,0.9180975929721041,0.8837199335109229
18628,tdc_full,0.7634408602150538,0.3870967741935484,0.16387665198237886,0.679282499999997,0.905533699075773,0.8458131377709975
18628,simple_success_learner,0.5698924731182796,0.5483870967741935,0.34449339207048457,0.5619116666666613,0.5178693893532202,0.610016399515569
18628,simple_calibrated_learner,0.6881720430107527,0.46236559139784944,0.20352422907488987,0.6508108333333295,0.7744514170094775,0.794651939524181
18628,simple_two_signal_learner,0.7311827956989247,0.41935483870967744,0.1841409691629956,0.6826691666666638,0.8772198368419908,0.8614409583730537
18629,tdc_full,0.8712871287128713,0.32673267326732675,0.18437225636523266,0.6860891666666633,0.9058673591289056,0.8304671994067285
18629,simple_success_learner,0.7029702970297029,0.45544554455445546,0.3555750658472344,0.5833266666666611,0.5697781352862796,0.607133473606503
18629,simple_calibrated_learner,0.8415841584158416,0.3564356435643564,0.208955223880597,0.6752699999999964,0.8147799247516163,0.8088201640519973
18629,simple_two_signal_learner,0.8613861386138614,0.33663366336633666,0.17295873573309922,0.7095108333333303,0.8724593365811455,0.870552293666805
18630,tdc_full,0.8252427184466019,0.33980582524271846,0.19106047326906223,0.6747341666666629,0.9053060849363646,0.8265665968486211
18630,simple_success_learner,0.6407766990291263,0.46601941747572817,0.3628396143733567,0.5789808333333281,0.562167877885809,0.6223159526913739
18630,simple_calibrated_learner,0.8058252427184466,0.3592233009708738,0.22348816827344434,0.6853933333333299,0.8237070927878882,0.8256241710132459
18630,simple_two_signal_learner,0.8252427184466019,0.33980582524271846,0.1866783523225241,0.7085866666666638,0.8818325720832583,0.8761459663970164
18631,tdc_full,0.8351648351648352,0.2967032967032967,0.1676802780191138,0.6940374999999963,0.9073293408774756,0.8329902548282763
18631,simple_success_learner,0.6373626373626373,0.4725274725274725,0.3509991311902693,0.577169999999994,0.5751892278074596,0.607230705000752
18631,simple_calibrated_learner,0.8241758241758241,0.3076923076923077,0.17984361424847958,0.70256083333333,0.7763055215557859,0.8332599499145312
18631,simple_two_signal_learner,0.8351648351648352,0.2967032967032967,0.14422241529105126,0.7271808333333305,0.8286358827444401,0.8831019522758773
18632,tdc_full,0.8352941176470589,0.29411764705882354,0.16010498687664043,0.7264358333333304,0.9084021804073749,0.8361937239668242
18632,simple_success_learner,0.6941176470588235,0.4235294117647059,0.3289588801399825,0.6026724999999942,0.5809873779723527,0.6096816953873234
18632,simple_calibrated_learner,0.8117647058823529,0.3176470588235294,0.1732283464566929,0.7284916666666634,0.858428626683842,0.8492664885799296
18632,simple_two_signal_learner,0.8235294117647058,0.3058823529411765,0.1504811898512686,0.7470708333333306,0.8987494481211682,0.8895331454123211
18633,tdc_full,0.8043478260869565,0.358695652173913,0.16681614349775784,0.6836341666666634,0.9048301736090586,0.8277568985266722
18633,simple_success_learner,0.6413043478260869,0.4891304347826087,0.33901345291479823,0.5788974999999944,0.6001911119906225,0.6196620304865522
18633,simple_calibrated_learner,0.8043478260869565,0.358695652173913,0.18295964125560538,0.6939258333333301,0.8583145720169167,0.8382818843343284
18633,simple_two_signal_learner,0.8043478260869565,0.358695652173913,0.14080717488789238,0.7121683333333305,0.8806734641564105,0.8856290400418251
18634,tdc_full,0.79,0.37,0.16962699822380106,0.6834941666666636,0.9057188947359258,0.8261587845813512
18634,simple_success_learner,0.65,0.48,0.3383658969804618,0.5857799999999947,0.6075273659639432,0.6203079806996208
18634,simple_calibrated_learner,0.79,0.37,0.17229129662522202,0.6971708333333301,0.7730368209385533,0.8296524277446192
18634,simple_two_signal_learner,0.8,0.36,0.15097690941385436,0.7135291666666638,0.8686209696439339,0.875297805461771
18635,tdc_full,0.8271604938271605,0.32098765432098764,0.17905102954341987,0.6636308333333301,0.9066406829513076,0.8289533168143377
18635,simple_success_learner,0.6049382716049383,0.5061728395061729,0.3348254252461952,0.5522499999999951,0.5564650546907359,0.6100408693219898
18635,simple_calibrated_learner,0.8148148148148148,0.3333333333333333,0.19874664279319607,0.6722516666666629,0.8373640554340833,0.8303916350412401
18635,simple_two_signal_learner,0.8148148148148148,0.3333333333333333,0.17547000895255147,0.6879724999999965,0.8847434243797804,0.8743182101223743
18636,tdc_full,0.8433734939759037,0.3373493975903614,0.18447488584474886,0.7060474999999966,0.9080185067107334,0.8362446490001179
18636,simple_success_learner,0.6867469879518072,0.4578313253012048,0.35251141552511417,0.5966874999999943,0.5735229006717378,0.6221137771465294
18636,simple_calibrated_learner,0.8313253012048193,0.3493975903614458,0.22922374429223744,0.6832099999999964,0.8188934125398812,0.8051936566996949
18636,simple_two_signal_learner,0.8313253012048193,0.3493975903614458,0.19726027397260273,0.7158666666666638,0.8855212458361517,0.861615152387904
18637,tdc_full,0.8679245283018868,0.330188679245283,0.17198581560283688,0.7124641666666637,0.9094835404126276,0.8420936529632683
18637,simple_success_learner,0.6886792452830188,0.4811320754716981,0.37854609929078015,0.568780833333328,0.5530046417057397,0.6176571859286373
18637,simple_calibrated_learner,0.8584905660377359,0.33962264150943394,0.23847517730496454,0.6910399999999962,0.8374772386650037,0.807727031952535
18637,simple_two_signal_learner,0.8679245283018868,0.330188679245283,0.16578014184397163,0.7292049999999974,0.8798088294156253,0.876364011585867
18638,tdc_full,0.7934782608695652,0.32608695652173914,0.1793041926851026,0.7090591666666636,0.9052381732030277,0.8241151444514802
18638,simple_success_learner,0.6086956521739131,0.5108695652173914,0.3407671721677074,0.5850674999999946,0.5888640454518366,0.6046467242750386
18638,simple_calibrated_learner,0.7608695652173914,0.358695652173913,0.18465655664585193,0.708419999999997,0.826132113464997,0.8231693584931182
18638,simple_two_signal_learner,0.7934782608695652,0.32608695652173914,0.16592328278322926,0.7292458333333309,0.87666020235439,0.876308382545983
18639,tdc_full,0.8476190476190476,0.2857142857142857,0.15723270440251572,0.7019141666666637,0.9084074636205501,0.837508778551283
18639,simple_success_learner,0.6666666666666666,0.42857142857142855,0.3243486073674753,0.5918199999999948,0.5730204375820072,0.6145078546124041
18639,simple_calibrated_learner,0.7904761904761904,0.3238095238095238,0.18059299191374664,0.7021591666666631,0.822300163228308,0.8254496064922299
18639,simple_two_signal_learner,0.8285714285714286,0.3047619047619048,0.14375561545372867,0.7240324999999972,0.8788472752835951,0.879703718774962
18640,tdc_full,0.7938144329896907,0.30927835051546393,0.16387665198237886,0.7106524999999969,0.9079225434104485,0.8407911709595575
18640,simple_success_learner,0.5979381443298969,0.4845360824742268,0.32687224669603526,0.580986666666661,0.5648499562543369,0.6142122901627175
18640,simple_calibrated_learner,0.7731958762886598,0.32989690721649484,0.1682819383259912,0.7003058333333303,0.8136085394365226,0.8375943238741211
18640,simple_two_signal_learner,0.7938144329896907,0.30927835051546393,0.15066079295154186,0.7183083333333306,0.8631078990719204,0.8802166501446489
18641,tdc_full,0.7835051546391752,0.31958762886597936,0.1730257320319432,0.7362033333333309,0.9093598814377295,0.8339636116368948
18641,simple_success_learner,0.5567010309278351,0.5463917525773195,0.34250221827861577,0.6039274999999947,0.5741965229552694,0.6089409049126593
18641,simple_calibrated_learner,0.6907216494845361,0.41237113402061853,0.17125110913930788,0.7146041666666638,0.6940264276693316,0.8206857049293191
18641,simple_two_signal_learner,0.7422680412371134,0.36082474226804123,0.15616681455190773,0.7396983333333311,0.7675026793523185,0.8706183503826759
18642,tdc_full,0.8347826086956521,0.33043478260869563,0.21019108280254778,0.6633233333333298,0.9041938215189134,0.8196626356175282
18642,simple_success_learner,0.6956521739130435,0.40869565217391307,0.3685168334849864,0.5574516666666607,0.5897911681913205,0.6208383527810442
18642,simple_calibrated_learner,0.7913043478260869,0.3565217391304348,0.2411282984531392,0.6660166666666624,0.8343758064209558,0.8048743323258988
18642,simple_two_signal_learner,0.8173913043478261,0.3391304347826087,0.20200181983621474,0.691369166666663,0.8812703786135785,0.8668259850131741
18643,tdc_full,0.8415841584158416,0.27722772277227725,0.1610555050045496,0.7385966666666638,0.9098831498239992,0.8415436731591351
18643,simple_success_learner,0.6633663366336634,0.44554455445544555,0.35850773430391264,0.5989966666666611,0.6186441532651714,0.6253408539724247
18643,simple_calibrated_learner,0.7920792079207921,0.32673267326732675,0.22383985441310283,0.7188183333333297,0.8345026143375425,0.8134133835792888
18643,simple_two_signal_learner,0.801980198019802,0.31683168316831684,0.16560509554140126,0.7481583333333307,0.8701707870480814,0.8766918272057457
