seed,model,ethical_detection_accuracy,transformation_decision_accuracy,false_consolidation_rate,anti_core_capture_rate,overall_component_score
13220,ablate_shadow_validation,0.8394444444444444,0.8583333333333333,0.37777777777777777,0.07722222222222222,0.8065277777777777
13220,ablate_core_constraint,0.8344444444444444,0.86,0.07166666666666667,0.35833333333333334,0.8257499999999999
13221,full_loop,0.8333333333333334,0.8538888888888889,0.06833333333333333,0.07444444444444444,0.8815000000000001
13221,ablate_ethicalsense,0.5777777777777777,0.8588888888888889,0.0661111111111111,0.08055555555555556,0.8054166666666667
13221,ablate_idealgap,0.8588888888888889,0.5894444444444444,0.06722222222222222,0.07833333333333334,0.8225555555555556
13221,ablate_shadow_validation,0.8433333333333334,0.8477777777777777,0.36944444444444446,0.0961111111111111,0.8033611111111111
13221,ablate_core_constraint,0.8361111111111111,0.8572222222222222,0.07,0.3427777777777778,0.8290833333333334
13222,full_loop,0.8394444444444444,0.865,0.07,0.07055555555555555,0.8864722222222222
13222,ablate_ethicalsense,0.5677777777777778,0.8611111111111112,0.07,0.07777777777777778,0.8025555555555555
13222,ablate_idealgap,0.8377777777777777,0.6027777777777777,0.07555555555555556,0.07555555555555556,0.8180277777777778
13222,ablate_shadow_validation,0.8455555555555555,0.8605555555555555,0.3927777777777778,0.07888888888888888,0.8048333333333333
13222,ablate_core_constraint,0.84,0.8644444444444445,0.06944444444444445,0.35555555555555557,0.8296388888888888
13223,full_loop,0.8511111111111112,0.8616666666666667,0.05722222222222222,0.06833333333333333,0.8927777777777778
13223,ablate_ethicalsense,0.5738888888888889,0.8738888888888889,0.07,0.08555555555555555,0.8060277777777778
13223,ablate_idealgap,0.8383333333333334,0.6055555555555555,0.06666666666666667,0.06666666666666667,0.8228888888888889
13223,ablate_shadow_validation,0.8388888888888889,0.8516666666666667,0.39555555555555555,0.08444444444444445,0.7988055555555555
13223,ablate_core_constraint,0.8561111111111112,0.8616666666666667,0.06222222222222222,0.3566666666666667,0.8353611111111112
13224,full_loop,0.8355555555555556,0.8611111111111112,0.06888888888888889,0.07388888888888889,0.8839444444444444
13224,ablate_ethicalsense,0.5833333333333334,0.8605555555555555,0.07222222222222222,0.07611111111111112,0.8068611111111111
13224,ablate_idealgap,0.8433333333333334,0.6083333333333333,0.06111111111111111,0.07222222222222222,0.8253611111111111
13224,ablate_shadow_validation,0.8511111111111112,0.8733333333333333,0.37722222222222224,0.075,0.8143611111111112
13224,ablate_core_constraint,0.8472222222222222,0.8627777777777778,0.06055555555555556,0.33166666666666667,0.8383888888888889
13225,full_loop,0.8538888888888889,0.8572222222222222,0.0661111111111111,0.09055555555555556,0.8858333333333333
13225,ablate_ethicalsense,0.575,0.8644444444444445,0.07555555555555556,0.09222222222222222,0.8012777777777779
13225,ablate_idealgap,0.8316666666666667,0.6172222222222222,0.05611111111111111,0.07833333333333334,0.8241111111111111
13225,ablate_shadow_validation,0.8255555555555556,0.8644444444444445,0.3827777777777778,0.07888888888888888,0.8023055555555556
13225,ablate_core_constraint,0.845,0.8577777777777778,0.07055555555555555,0.34833333333333333,0.8306388888888888
13226,full_loop,0.825,0.8672222222222222,0.065,0.07666666666666666,0.8827222222222222
13226,ablate_ethicalsense,0.5933333333333334,0.855,0.0661111111111111,0.07333333333333333,0.8105555555555556
13226,ablate_idealgap,0.8538888888888889,0.5888888888888889,0.0661111111111111,0.07388888888888889,0.8220833333333333
13226,ablate_shadow_validation,0.8505555555555555,0.8577777777777778,0.3761111111111111,0.07388888888888889,0.8108055555555556
13226,ablate_core_constraint,0.8438888888888889,0.8661111111111112,0.0661111111111111,0.33944444444444444,0.8352777777777778
13227,full_loop,0.86,0.8555555555555555,0.07,0.07166666666666667,0.8900555555555556
13227,ablate_ethicalsense,0.5644444444444444,0.8566666666666667,0.06777777777777778,0.07666666666666666,0.8012222222222222
13227,ablate_idealgap,0.8416666666666667,0.5972222222222222,0.06111111111111111,0.07666666666666666,0.8211944444444444
13227,ablate_shadow_validation,0.85,0.8527777777777777,0.36833333333333335,0.07833333333333334,0.8104444444444444
13227,ablate_core_constraint,0.8455555555555555,0.8588888888888889,0.07222222222222222,0.3477777777777778,0.8307777777777777
13228,full_loop,0.8427777777777777,0.8616666666666667,0.06388888888888888,0.08555555555555555,0.8851666666666667
13228,ablate_ethicalsense,0.5811111111111111,0.86,0.06666666666666667,0.07888888888888888,0.806888888888889
13228,ablate_idealgap,0.8433333333333334,0.5933333333333334,0.06777777777777778,0.07222222222222222,0.8199444444444445
13228,ablate_shadow_validation,0.83,0.8666666666666667,0.3616666666666667,0.06722222222222222,0.8118055555555556
13228,ablate_core_constraint,0.8238888888888889,0.8616666666666667,0.06,0.35555555555555557,0.8264722222222223
13229,full_loop,0.8338888888888889,0.8638888888888889,0.07166666666666667,0.07277777777777777,0.8836666666666666
13229,ablate_ethicalsense,0.555,0.8627777777777778,0.06666666666666667,0.08,0.7995277777777778
13229,ablate_idealgap,0.8372222222222222,0.5922222222222222,0.07388888888888889,0.07444444444444444,0.815861111111111
13229,ablate_shadow_validation,0.8361111111111111,0.8494444444444444,0.3788888888888889,0.06444444444444444,0.8055833333333334
13229,ablate_core_constraint,0.8372222222222222,0.8427777777777777,0.058888888888888886,0.3377777777777778,0.8295833333333333
13230,full_loop,0.8172222222222222,0.8705555555555555,0.06722222222222222,0.07388888888888889,0.8812222222222221
13230,ablate_ethicalsense,0.59,0.8511111111111112,0.065,0.07777777777777778,0.8079722222222223
13230,ablate_idealgap,0.8472222222222222,0.5905555555555555,0.06722222222222222,0.075,0.8200000000000001
13230,ablate_shadow_validation,0.8416666666666667,0.86,0.37555555555555553,0.08666666666666667,0.8062777777777778
13230,ablate_core_constraint,0.8533333333333334,0.8438888888888889,0.07388888888888889,0.3566666666666667,0.8271666666666667
13231,full_loop,0.8383333333333334,0.8655555555555555,0.06388888888888888,0.07833333333333334,0.8862500000000001
13231,ablate_ethicalsense,0.5783333333333334,0.8605555555555555,0.06666666666666667,0.06722222222222222,0.8085277777777777
13231,ablate_idealgap,0.8227777777777778,0.6105555555555555,0.07055555555555555,0.07833333333333334,0.8161666666666667
13231,ablate_shadow_validation,0.8327777777777777,0.8522222222222222,0.39166666666666666,0.075,0.7999722222222223
13231,ablate_core_constraint,0.84,0.8561111111111112,0.07388888888888889,0.3527777777777778,0.8270000000000001
13232,full_loop,0.8483333333333334,0.8733333333333333,0.06944444444444445,0.07555555555555556,0.8903611111111112
13232,ablate_ethicalsense,0.5955555555555555,0.8566666666666667,0.07277777777777777,0.07833333333333334,0.8089722222222222
13232,ablate_idealgap,0.8294444444444444,0.6277777777777778,0.06944444444444445,0.07777777777777778,0.822861111111111
13232,ablate_shadow_validation,0.8388888888888889,0.8455555555555555,0.37666666666666665,0.08055555555555556,0.8027777777777777
13232,ablate_core_constraint,0.8405555555555555,0.8616666666666667,0.07722222222222222,0.3422222222222222,0.8298333333333333
13233,full_loop,0.8394444444444444,0.8638888888888889,0.07055555555555555,0.07222222222222222,0.8857222222222222
13233,ablate_ethicalsense,0.5883333333333334,0.8672222222222222,0.065,0.06777777777777778,0.8135
13233,ablate_idealgap,0.8505555555555555,0.5916666666666667,0.06777777777777778,0.06277777777777778,0.8235833333333333
13233,ablate_shadow_validation,0.8427777777777777,0.8511111111111112,0.36,0.08,0.8096111111111112
13233,ablate_core_constraint,0.8527777777777777,0.8588888888888889,0.06722222222222222,0.3383333333333333,0.8360833333333333
13234,full_loop,0.8466666666666667,0.8588888888888889,0.06222222222222222,0.075,0.8881666666666668
13234,ablate_ethicalsense,0.5311111111111111,0.8661111111111112,0.06166666666666667,0.07666666666666666,0.7951111111111111
13234,ablate_idealgap,0.8316666666666667,0.6116666666666667,0.06388888888888888,0.06888888888888889,0.8226666666666667
13234,ablate_shadow_validation,0.8433333333333334,0.8627777777777778,0.39055555555555554,0.09222222222222222,0.802611111111111
13234,ablate_core_constraint,0.8405555555555555,0.8561111111111112,0.06833333333333333,0.3522222222222222,0.8286666666666667
13235,full_loop,0.8411111111111111,0.8544444444444445,0.051666666666666666,0.06111111111111111,0.8908055555555556
13235,ablate_ethicalsense,0.5911111111111111,0.8688888888888889,0.06777777777777778,0.07777777777777778,0.8120555555555555
13235,ablate_idealgap,0.8344444444444444,0.6011111111111112,0.06944444444444445,0.08166666666666667,0.8169166666666666
13235,ablate_shadow_validation,0.8438888888888889,0.8472222222222222,0.37666666666666665,0.07777777777777778,0.80525
13235,ablate_core_constraint,0.8338888888888889,0.845,0.075,0.34,0.8246666666666667
13236,full_loop,0.8411111111111111,0.8538888888888889,0.06555555555555556,0.07444444444444444,0.8845277777777778
13236,ablate_ethicalsense,0.6205555555555555,0.8594444444444445,0.07555555555555556,0.08,0.8161388888888889
13236,ablate_idealgap,0.83,0.5977777777777777,0.06666666666666667,0.07666666666666666,0.8164444444444444
13236,ablate_shadow_validation,0.8344444444444444,0.865,0.395,0.07166666666666667,0.8034999999999999
13236,ablate_core_constraint,0.8394444444444444,0.8638888888888889,0.0661111111111111,0.35777777777777775,0.8297222222222222
13237,full_loop,0.8311111111111111,0.87,0.058888888888888886,0.07277777777777777,0.8875555555555555
13237,ablate_ethicalsense,0.5788888888888889,0.8644444444444445,0.06833333333333333,0.08166666666666667,0.8063611111111111
13237,ablate_idealgap,0.8472222222222222,0.5966666666666667,0.07055555555555555,0.08222222222222222,0.81925
13237,ablate_shadow_validation,0.8277777777777777,0.8611111111111112,0.38166666666666665,0.07277777777777777,0.8036388888888889
13237,ablate_core_constraint,0.8483333333333334,0.8711111111111111,0.06833333333333333,0.3561111111111111,0.8339722222222222
13238,full_loop,0.835,0.8527777777777777,0.059444444444444446,0.08055555555555556,0.8827222222222222
13238,ablate_ethicalsense,0.5716666666666667,0.8516666666666667,0.07222222222222222,0.08277777777777778,0.7998055555555555
13238,ablate_idealgap,0.8555555555555555,0.5883333333333334,0.06222222222222222,0.085,0.8211944444444446
13238,ablate_shadow_validation,0.855,0.8416666666666667,0.37666666666666665,0.06777777777777778,0.8091944444444443
13238,ablate_core_constraint,0.8377777777777777,0.8655555555555555,0.0661111111111111,0.35,0.8311944444444443
13239,full_loop,0.8316666666666667,0.8611111111111112,0.06944444444444445,0.07888888888888888,0.8816388888888889
13239,ablate_ethicalsense,0.5583333333333333,0.8727777777777778,0.06722222222222222,0.08,0.802888888888889
