seed,model,irreversible_core_violation_rate,false_alarm_rate,review_trigger_rate,unnecessary_abstention_rate,review_steps_per_episode,decision_accuracy,long_term_trajectory_value,net_vigilance_value,integrated_score
14416,hypersensitive_review,0.0868320610687023,0.29833333333333334,0.42783333333333334,0.005,1.869,0.9299832495812396,0.7211690833333448,0.16202279898218835,0.8762079741905304
14417,no_emergency,0.15602836879432624,0.0,0.0,0.0,0.0,0.759,0.4241333333333332,0.6567375886524822,0.8455029078014185
14417,conservative_review,0.15247895229186156,0.08066666666666666,0.16683333333333333,0.0005,0.7341666666666666,0.831749207937302,0.5533931250000036,0.4630129716245713,0.8617261753498922
14417,balanced_review,0.14964788732394366,0.1215,0.223,0.0015,0.9771666666666666,0.870639292271741,0.6163910833333389,0.3819146478873241,0.8705591471005368
14417,hypersensitive_review,0.10083256244218317,0.30516666666666664,0.43933333333333335,0.003833333333333333,1.9418333333333333,0.9228710055211644,0.6964288333333458,0.11408169596053039,0.8674686568791378
14418,no_emergency,0.15391621129326047,0.0,0.0,0.0,0.0,0.7631666666666667,0.4362000000000006,0.661384335154827,0.8481859471766849
14418,conservative_review,0.14481409001956946,0.0735,0.161,0.0008333333333333334,0.7218333333333333,0.8418682235195997,0.5833490416666699,0.49105566862361383,0.8703247893426544
14418,balanced_review,0.13128491620111732,0.1165,0.215,0.002,0.9426666666666667,0.8787575150300602,0.6472798750000048,0.43295318435754193,0.8808520160837391
14418,hypersensitive_review,0.08288288288288288,0.2956666666666667,0.432,0.003,1.8683333333333334,0.9264460046807088,0.7166133333333452,0.1765243243243243,0.8765257473501595
14419,no_emergency,0.15363128491620112,0.0,0.0,0.0,0.0,0.766,0.4440000000000003,0.6620111731843574,0.8496921787709498
14419,conservative_review,0.151131221719457,0.07766666666666666,0.16533333333333333,0.001,0.7488333333333334,0.8333333333333334,0.5551625416666705,0.46791797888386116,0.8632210518618026
14419,balanced_review,0.13249776186213072,0.12066666666666667,0.21933333333333332,0.002,0.97,0.8672344689378757,0.6199589583333391,0.42117159056997894,0.874209488757497
14419,hypersensitive_review,0.08890925756186985,0.2853333333333333,0.4225,0.003,1.8561666666666667,0.9324640588431963,0.7284805833333445,0.17919296669721968,0.8797812803458256
14420,no_emergency,0.14828544949026876,0.0,0.0,0.0,0.0,0.7688333333333334,0.45233333333333364,0.6737720111214087,0.8525036376274329
14420,conservative_review,0.1415182755388941,0.07466666666666667,0.16233333333333333,0.0016666666666666668,0.7211666666666666,0.8350584307178631,0.567074333333336,0.4959197938144329,0.8675685353306356
14420,balanced_review,0.15889628924833493,0.11983333333333333,0.20833333333333334,0.0011666666666666668,0.913,0.8710161855498081,0.6195060833333396,0.3719348303203298,0.8689604062695259
14420,hypersensitive_review,0.10756608933454877,0.30516666666666664,0.4355,0.003,1.9035,0.9199264460046807,0.6863436250000129,0.10470127013065936,0.8642288500094346
14421,no_emergency,0.15089285714285713,0.0,0.0,0.0,0.0,0.7543333333333333,0.4185333333333336,0.6680357142857143,0.8449667857142856
14421,conservative_review,0.164967562557924,0.08066666666666666,0.16066666666666668,0.0016666666666666668,0.7066666666666667,0.8250417362270451,0.5316345833333375,0.4376713623725672,0.8548432239786328
14421,balanced_review,0.14166666666666666,0.11916666666666667,0.2105,0.0031666666666666666,0.9491666666666667,0.8690854372178566,0.619419583333339,0.4044333333333332,0.8726154332486908
14421,hypersensitive_review,0.09867172675521822,0.30633333333333335,0.4325,0.0033333333333333335,1.8696666666666666,0.929933110367893,0.7134592083333455,0.12636220113851995,0.8712214420465644
14422,no_emergency,0.15370705244122965,0.0,0.0,0.0,0.0,0.7633333333333333,0.436,0.6618444846292948,0.8482732368896926
14422,conservative_review,0.13821892393320964,0.08116666666666666,0.1705,0.0005,0.733,0.8384192096048024,0.5741615000000038,0.4938250340136054,0.8687498110648053
