seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11210,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7828571428571428,0.7765273311897106,0.5492142857142939,0.8472505091649695,0.7014285714285714
11210,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.79,0.7731788079470199,0.5581785714285803,0.8605341246290801,0.7221428571428572
11210,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8171428571428572,0.822884012539185,0.6143928571428681,0.8643042350907519,0.8264285714285714
11210,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.6985714285714286,0.6594090202177294,0.34760714285713734,0.7357075913776945,0.7621428571428571
11211,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8707142857142857,0.8734177215189873,0.7182142857142996,0.9355140186915888,0.7642857142857142
11211,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7271428571428571,0.7073552425665102,0.4268928571428559,0.7777777777777778,0.6621428571428571
11211,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7621428571428571,0.758887171561051,0.501642857142862,0.7893738140417458,0.7528571428571429
11211,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8121428571428572,0.8057784911717496,0.6032857142857241,0.875,0.72
11211,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8192857142857143,0.8393700787401575,0.63750000000001,0.8881188118811881,0.7214285714285714
11211,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8342857142857143,0.8350364963503649,0.6320357142857256,0.868766404199475,0.8164285714285714
11211,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7242857142857143,0.7181102362204724,0.4300357142857146,0.7479147358665431,0.7707142857142857
11212,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8521428571428571,0.8704581358609794,0.6977142857142985,0.9272030651340997,0.7457142857142857
11212,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.755,0.7379767827529021,0.49642857142857444,0.7978260869565217,0.6571428571428571
11212,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.75,0.7470686767169179,0.4964642857142896,0.789423984891407,0.7564285714285715
11212,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7778571428571428,0.7627388535031847,0.5307500000000062,0.8508863399374348,0.685
11212,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8021428571428572,0.7943368107302533,0.5690000000000082,0.8690476190476191,0.72
11212,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8407142857142857,0.8413461538461539,0.6576071428571559,0.8748928877463582,0.8335714285714285
