seed,condition,A_TF,I,C_T,R_C,H_self,joint_maturity_product,joint_interaction,target_reliability,ethical_sensitivity,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,ethical_sense_reliability_realized,deep_path_activation_rate
11100,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8635714285714285,0.8806451612903226,0.7197500000000143,0.9287722586691659,0.7621428571428571
11100,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.73,0.7370030581039755,0.4520000000000011,0.7887168141592921,0.6457142857142857
11100,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7728571428571429,0.7503949447077409,0.5083214285714337,0.8150873965041399,0.7764285714285715
11100,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8035714285714286,0.8042071197411004,0.5950357142857227,0.8698698698698699,0.7135714285714285
11100,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8121428571428572,0.8083735909822867,0.605142857142867,0.887065637065637,0.74
11100,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8178571428571428,0.8052373158756138,0.6064642857142972,0.8576358930112166,0.8278571428571428
11100,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7242857142857143,0.7352941176470589,0.4542500000000023,0.7502312673450509,0.7721428571428571
11101,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.85,0.847682119205298,0.6815357142857263,0.9247830279652844,0.7407142857142858
11101,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7285714285714285,0.7307110438729199,0.44100000000000145,0.7918454935622318,0.6657142857142857
11101,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7621428571428571,0.7762128325508607,0.5208571428571486,0.803088803088803,0.74
11101,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8014285714285714,0.795751633986928,0.58842857142858,0.8807053941908713,0.6885714285714286
11101,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7971428571428572,0.8072100313479624,0.5852142857142935,0.8727810650887574,0.7242857142857143
11101,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.835,0.8243451463790447,0.6301428571428686,0.8690476190476191,0.84
11101,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7371428571428571,0.7365930599369085,0.460035714285717,0.7738646895273401,0.7707142857142857
11102,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.85,0.8562197092084006,0.6863214285714413,0.9286412512218963,0.7307142857142858
11102,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7485714285714286,0.734375,0.4726428571428601,0.8131749460043196,0.6614285714285715
11102,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7514285714285714,0.7612903225806451,0.5016071428571479,0.7925581395348837,0.7678571428571429
11102,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7992857142857143,0.802610114192496,0.5917857142857236,0.8721649484536083,0.6928571428571428
11102,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7828571428571428,0.7847896440129449,0.5565000000000085,0.8546168958742633,0.7271428571428571
11102,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8221428571428572,0.8220064724919094,0.6236071428571557,0.8524590163934426,0.8278571428571428
11102,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7307142857142858,0.7418856259659969,0.4521785714285734,0.7444146559428061,0.7992857142857143
11103,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.865,0.8771384136858476,0.7147142857143001,0.9351145038167938,0.7485714285714286
11103,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7478571428571429,0.7747603833865815,0.5122142857142908,0.8037578288100209,0.6842857142857143
11103,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.75,0.7472,0.48682142857143273,0.7816968541468065,0.7492857142857143
11103,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7957142857142857,0.8099838969404187,0.5917500000000084,0.8536831483350151,0.7078571428571429
11103,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8171428571428572,0.8046511627906977,0.600821428571438,0.8751229105211407,0.7264285714285714
11103,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8285714285714286,0.8413461538461539,0.6454642857142976,0.869751499571551,0.8335714285714285
11103,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7071428571428572,0.7249240121580547,0.41057142857142626,0.7283834586466166,0.76
11104,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8707142857142857,0.8718801996672213,0.7220714285714431,0.9371534195933456,0.7728571428571429
11104,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7271428571428571,0.7126050420168067,0.44910714285714465,0.7798941798941799,0.675
11104,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7521428571428571,0.7735849056603774,0.5084642857142904,0.7855126999059266,0.7592857142857142
11104,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8035714285714286,0.7790143084260731,0.5696428571428654,0.8747474747474747,0.7071428571428572
11104,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8071428571428572,0.7892918825561313,0.5965000000000098,0.8713163064833006,0.7271428571428571
11104,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8428571428571429,0.8553654743390358,0.6686785714285853,0.88504753673293,0.8264285714285714
11104,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7121428571428572,0.7066869300911854,0.39835714285714047,0.7439024390243902,0.7614285714285715
11105,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.86,0.8460264900662252,0.6888571428571557,0.9375,0.7657142857142857
11105,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7392857142857143,0.7429906542056075,0.47025000000000283,0.7942122186495176,0.6664285714285715
11105,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.745,0.7351097178683386,0.466571428571431,0.7886100386100386,0.74
11105,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8092857142857143,0.8118195956454122,0.600785714285723,0.8797595190380761,0.7128571428571429
11105,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7907142857142857,0.780564263322884,0.5546428571428658,0.8465346534653465,0.7214285714285714
11105,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8514285714285714,0.8536953242835595,0.671107142857156,0.88366124893071,0.835
11105,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7207142857142858,0.7234726688102894,0.43650000000000155,0.7448979591836735,0.77
11106,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8664285714285714,0.868421052631579,0.7137500000000132,0.9209302325581395,0.7678571428571429
11106,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7328571428571429,0.7318952234206472,0.44964285714285707,0.7762886597938145,0.6928571428571428
11106,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7542857142857143,0.7427652733118971,0.48675000000000407,0.7882676443629697,0.7792857142857142
11106,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7842857142857143,0.8012718600953895,0.570071428571436,0.8396793587174348,0.7128571428571429
11106,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.805,0.8269230769230769,0.6140000000000093,0.8570038910505836,0.7342857142857143
11106,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8328571428571429,0.8271604938271605,0.6317857142857252,0.8686956521739131,0.8214285714285714
11106,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7235714285714285,0.7302325581395349,0.43635714285714294,0.7338262476894639,0.7728571428571429
11107,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8457142857142858,0.8317610062893082,0.6553571428571549,0.9276190476190476,0.75
11107,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.73,0.7323943661971831,0.4515714285714301,0.7855648535564853,0.6828571428571428
11107,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7428571428571429,0.7379421221864951,0.47225000000000356,0.7767265846736046,0.755
11107,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7885714285714286,0.8074534161490683,0.5752500000000079,0.8568608094768015,0.7235714285714285
11107,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8078571428571428,0.8178963893249608,0.6063571428571531,0.8672654690618763,0.7157142857142857
11107,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8335714285714285,0.8578595317725752,0.6712142857142991,0.8647469458987783,0.8185714285714286
11107,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.6807142857142857,0.6810730253353204,0.33657142857142264,0.7100371747211895,0.7685714285714286
11108,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8664285714285714,0.8777089783281734,0.7153214285714432,0.9290382819794585,0.765
11108,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7371428571428571,0.7465007776049767,0.47032142857143105,0.7833859095688749,0.6792857142857143
11108,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7342857142857143,0.7516339869281046,0.4794642857142888,0.7668246445497631,0.7535714285714286
11108,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7985714285714286,0.7797716150081566,0.5707142857142934,0.863265306122449,0.7
11108,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7821428571428571,0.7868589743589743,0.5568214285714365,0.8665318503538928,0.7064285714285714
11108,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8278571428571428,0.8452950558213717,0.6483214285714411,0.8578901482127289,0.8192857142857143
11108,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7178571428571429,0.7166666666666667,0.4122142857142846,0.7411873840445269,0.77
11109,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8578571428571429,0.8642172523961661,0.698285714285728,0.9307116104868914,0.7628571428571429
11109,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7407142857142858,0.7359882005899705,0.45185714285714607,0.7995689655172413,0.6628571428571428
11109,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7542857142857143,0.7450657894736842,0.49507142857143305,0.7986767485822306,0.7557142857142857
11109,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.815,0.808868501529052,0.6003928571428667,0.8800792864222002,0.7207142857142858
11109,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7792857142857142,0.7901430842607313,0.5539285714285782,0.8475728155339806,0.7357142857142858
11109,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.82,0.827217125382263,0.6176428571428669,0.856020942408377,0.8185714285714286
11109,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7264285714285714,0.7375,0.4481071428571451,0.7474370922646785,0.7664285714285715
11110,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8557142857142858,0.8716744913928013,0.7002142857142991,0.9189944134078212,0.7671428571428571
11110,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7535714285714286,0.7472868217054264,0.48575000000000323,0.7906026557711952,0.6992857142857143
11110,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7685714285714286,0.7478991596638656,0.5159285714285761,0.8044692737430168,0.7671428571428571
11110,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.81,0.8198473282442749,0.6067857142857231,0.8793814432989691,0.6928571428571428
11110,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8,0.8072100313479624,0.5876428571428661,0.8693957115009746,0.7328571428571429
11110,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8285714285714286,0.8035714285714286,0.6139285714285819,0.8641025641025641,0.8357142857142857
11110,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7142857142857143,0.710691823899371,0.4122857142857127,0.7381386861313869,0.7828571428571428
11111,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8628571428571429,0.8477564102564102,0.6895714285714412,0.9306083650190115,0.7514285714285714
11111,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7535714285714286,0.7408536585365854,0.47628571428571737,0.8029045643153527,0.6885714285714286
11111,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7442857142857143,0.7384868421052632,0.47957142857143253,0.785171102661597,0.7514285714285714
11111,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8107142857142857,0.7950310559006211,0.5865357142857225,0.8776328986960883,0.7121428571428572
11111,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8064285714285714,0.8041733547351525,0.5966785714285793,0.8721047331319235,0.7092857142857143
11111,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8221428571428572,0.8250773993808049,0.6198571428571539,0.8505244755244755,0.8171428571428572
11111,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7107142857142857,0.7054263565891473,0.4004642857142838,0.734130634774609,0.7764285714285715
11112,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8678571428571429,0.8705148205928237,0.7108571428571568,0.9330855018587361,0.7685714285714286
11112,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7292857142857143,0.7435456110154905,0.48300000000000304,0.7841880341880342,0.6685714285714286
11112,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7714285714285715,0.7725806451612903,0.5322857142857204,0.8020833333333334,0.7542857142857143
11112,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7921428571428571,0.7767295597484277,0.5544285714285792,0.8709016393442623,0.6971428571428572
11112,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8221428571428572,0.8260869565217391,0.6257142857142969,0.8784313725490196,0.7285714285714285
11112,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8385714285714285,0.8306709265175719,0.6458571428571553,0.8728373702422145,0.8257142857142857
11112,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7057142857142857,0.7193251533742331,0.4056428571428549,0.7245841035120147,0.7728571428571429
11113,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8578571428571429,0.8484375,0.681035714285727,0.9355742296918768,0.765
11113,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7328571428571429,0.7357859531772575,0.4740000000000037,0.7823275862068966,0.6628571428571428
11113,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7728571428571429,0.7704402515723271,0.5263571428571505,0.8050847457627118,0.7585714285714286
11113,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8128571428571428,0.7900641025641025,0.5901428571428654,0.8775100401606426,0.7114285714285714
11113,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.7964285714285714,0.7806451612903226,0.5666785714285784,0.8620342396777442,0.7092857142857143
11113,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8264285714285714,0.812199036918138,0.6183214285714397,0.8666085440278989,0.8192857142857143
11113,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.6978571428571428,0.6754250386398764,0.35971428571427994,0.7294007490636704,0.7628571428571429
11114,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8792857142857143,0.8841940532081377,0.7341785714285867,0.9365367180417045,0.7878571428571428
11114,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7357142857142858,0.7391975308641975,0.4602500000000017,0.8079748163693599,0.6807142857142857
11114,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7657142857142857,0.7677725118483413,0.5179642857142911,0.8013245033112583,0.755
11114,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.81,0.8258064516129032,0.6192142857142954,0.8776908023483366,0.73
11114,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8178571428571428,0.8012422360248447,0.5980000000000082,0.8696911196911197,0.74
11114,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8242857142857143,0.8058727569331158,0.6136071428571527,0.8647936786654961,0.8135714285714286
11114,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7078571428571429,0.7147147147147147,0.39835714285714047,0.726078799249531,0.7614285714285715
11115,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8585714285714285,0.8729641693811075,0.7098214285714423,0.9301435406698565,0.7464285714285714
11115,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7364285714285714,0.7083993660855784,0.43910714285714414,0.7896373056994819,0.6892857142857143
11115,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7671428571428571,0.75,0.5139642857142919,0.7924701561065197,0.7778571428571428
11115,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.8028571428571428,0.8040435458786936,0.5873571428571527,0.8742454728370221,0.71
11115,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8085714285714286,0.8229813664596274,0.609250000000009,0.8687561214495593,0.7292857142857143
11115,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8142857142857143,0.8169014084507042,0.6056428571428667,0.8502581755593803,0.83
11115,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7164285714285714,0.7109004739336493,0.41739285714285673,0.7435897435897436,0.7521428571428571
11116,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8778571428571429,0.8783570300157978,0.729250000000014,0.9398704902867715,0.7721428571428571
11116,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7164285714285714,0.7164404223227753,0.4137142857142851,0.7667364016736402,0.6828571428571428
11116,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.735,0.7596899224806202,0.4762500000000032,0.7684210526315789,0.7464285714285714
11116,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7992857142857143,0.7881773399014779,0.5798571428571505,0.866869918699187,0.7028571428571428
11116,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8185714285714286,0.8046875,0.6031071428571528,0.8760890609874153,0.7378571428571429
11116,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8221428571428572,0.8303715670436187,0.6314285714285827,0.8614035087719298,0.8142857142857143
11116,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7114285714285714,0.7033333333333334,0.4181785714285709,0.7259395050412466,0.7792857142857142
11117,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.855,0.8580441640378549,0.6880714285714417,0.9283054003724395,0.7671428571428571
11117,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7578571428571429,0.7528089887640449,0.5035714285714333,0.8166666666666667,0.6857142857142857
11117,ablate_I,0.82,0.35,0.79,0.81,0.22,0.6779813102181979,0.41255162726777345,0.7953083192917405,0.8078750000000001,0.7742857142857142,0.7953125,0.5493571428571515,0.8052930056710775,0.7557142857142857
11117,ablate_C_T,0.82,0.86,0.35,0.81,0.22,0.6895916496278887,0.5778778023881708,0.8668351739360516,0.759475,0.7935714285714286,0.821939586645469,0.5983571428571511,0.8762677484787018,0.7042857142857143
11117,ablate_R_C,0.82,0.86,0.79,0.35,0.22,0.6861521182245927,0.5749954750722087,0.8650054808107543,0.769925,0.8042857142857143,0.8013245033112583,0.5971071428571514,0.8651348651348651,0.715
11117,ablate_low_Hself,0.82,0.86,0.79,0.81,0.65,0.6913508348669833,0.5793519996185321,0.8677709901158405,0.8788250000000001,0.8328571428571429,0.8219814241486069,0.6278571428571565,0.8728070175438597,0.8142857142857143
11117,single_superpower_A_TF,0.95,0.42,0.45,0.43,0.58,0.5037100675367299,0.3583897130523833,0.7411914916386123,0.82355,0.7178571428571429,0.7059748427672956,0.41232142857142645,0.7404651162790697,0.7678571428571429
11118,full_D5,0.82,0.86,0.79,0.81,0.22,0.811528550296579,0.6800609251485332,0.9317007276157682,0.8078750000000001,0.8728571428571429,0.8610662358642972,0.7125357142857274,0.9513822688274547,0.7492857142857143
11118,ablate_A_TF,0.35,0.86,0.79,0.81,0.22,0.6844703526060364,0.3966505693351981,0.7897979025898697,0.7174,0.7257142857142858,0.7378048780487805,0.4459642857142872,0.7712486883525709,0.6807142857142857
