seed,model,irreversible_core_violation_rate,critical_scenario_accuracy,review_steps_per_critical_event,safe_reversible_choice_rate,long_term_trajectory_value,final_H_self
14027,structured_critical_review,0.0026833631484794273,0.9946332737030411,3.829159212880143,0.8645418326693227,0.4978908333333334,0.1
14028,no_emergency_loop,0.08056872037914692,0.7886255924170616,0.0,0.0,0.3410416666666667,0.58
14028,brute_critical_rumination,0.07568590350047304,0.7701040681173131,8.0,0.0,0.30920333333333333,0.95
14028,structured_critical_review,0.0,0.9927862939585211,3.6952209197475203,0.8588007736943907,0.46783500000000006,0.1
14029,no_emergency_loop,0.08558558558558559,0.7639639639639639,0.0,0.0,0.3202083333333333,0.58
14029,brute_critical_rumination,0.1037037037037037,0.7490740740740741,8.0,0.0,0.28321666666666667,0.95
14029,structured_critical_review,0.0028846153846153848,0.9951923076923077,3.773076923076923,0.841991341991342,0.46568833333333337,0.1
14030,no_emergency_loop,0.09404096834264432,0.7746741154562383,0.0,0.0,0.28854166666666664,0.58
14030,brute_critical_rumination,0.09811320754716982,0.7679245283018868,8.0,0.0,0.32084999999999997,0.95
14030,structured_critical_review,0.0037209302325581397,0.9934883720930232,3.8502325581395347,0.8152866242038217,0.4690508333333333,0.1
14031,no_emergency_loop,0.08514664143803216,0.771996215704825,0.0,0.0,0.3104166666666667,0.58
14031,brute_critical_rumination,0.08544600938967137,0.7549295774647887,8.0,0.0,0.3101916666666667,0.95
14031,structured_critical_review,0.00718132854578097,0.981149012567325,3.7953321364452424,0.8179959100204499,0.47356000000000004,0.1
14032,no_emergency_loop,0.09226467847157502,0.7651444547996272,0.0,0.0,0.315625,0.58
14032,brute_critical_rumination,0.09057301293900184,0.7763401109057301,8.0,0.0,0.3144533333333333,0.95
14032,structured_critical_review,0.002843601895734597,0.9933649289099526,3.7270142180094785,0.8539094650205762,0.4523483333333333,0.1
14033,no_emergency_loop,0.10037174721189591,0.7472118959107806,0.0,0.0,0.2991666666666667,0.58
14033,brute_critical_rumination,0.08380414312617702,0.7655367231638418,8.0,0.0,0.31521166666666667,0.95
14033,structured_critical_review,0.003864734299516908,0.9903381642512077,3.659903381642512,0.8407766990291262,0.45976,0.1
14034,no_emergency_loop,0.08953817153628653,0.7568331762488218,0.0,0.0,0.31395833333333334,0.58
14034,brute_critical_rumination,0.08081791626095423,0.7809152872444012,8.0,0.0,0.324195,0.95
14034,structured_critical_review,0.0027347310847766638,0.99179580674567,3.720145852324521,0.8422090729783037,0.4847241666666667,0.1
14035,no_emergency_loop,0.09064885496183206,0.7643129770992366,0.0,0.0,0.31854166666666667,0.58
14035,brute_critical_rumination,0.08221797323135756,0.780114722753346,8.0,0.0,0.32927666666666666,0.95
14035,structured_critical_review,0.004690431519699813,0.9878048780487805,3.8123827392120075,0.8475247524752475,0.46015500000000004,0.1
14036,no_emergency_loop,0.08603145235892692,0.7530064754856615,0.0,0.0,0.320625,0.58
14036,brute_critical_rumination,0.07758620689655173,0.7653256704980843,8.0,0.0,0.3165816666666667,0.95
14036,structured_critical_review,0.0027906976744186047,0.9953488372093023,3.7293023255813953,0.8526315789473684,0.5097841666666667,0.1
14037,no_emergency_loop,0.09437386569872959,0.7731397459165155,0.0,0.0,0.31125,0.58
14037,brute_critical_rumination,0.08421052631578947,0.7665071770334928,8.0,0.0,0.29261666666666664,0.95
14037,structured_critical_review,0.0009587727708533077,0.9932885906040269,3.695110258868648,0.8078512396694215,0.4744966666666666,0.1
14038,no_emergency_loop,0.08420056764427625,0.7738883632923368,0.0,0.0,0.33270833333333333,0.58
14038,brute_critical_rumination,0.10435571687840291,0.7568058076225045,8.0,0.0,0.29327833333333336,0.95
14038,structured_critical_review,0.0009442870632672333,0.9952785646836638,3.6383380547686497,0.8402366863905325,0.4744975,0.1
14039,no_emergency_loop,0.08085501858736059,0.775092936802974,0.0,0.0,0.333125,0.58
14039,brute_critical_rumination,0.09073724007561437,0.7703213610586012,8.0,0.0,0.29878,0.95
14039,structured_critical_review,0.0036463081130355514,0.9908842297174111,3.7347310847766635,0.8649193548387096,0.4686691666666667,0.1
14040,no_emergency_loop,0.06992337164750957,0.7796934865900383,0.0,0.0,0.3227083333333333,0.58
14040,brute_critical_rumination,0.0780532598714417,0.7786960514233241,8.0,0.0,0.313365,0.95
14040,structured_critical_review,0.0018957345971563982,0.9943127962085309,3.7819905213270144,0.7987804878048781,0.46625833333333333,0.1
14041,no_emergency_loop,0.09192200557103064,0.7753017641597029,0.0,0.0,0.30645833333333333,0.58
14041,brute_critical_rumination,0.08980355472404115,0.7586529466791394,8.0,0.0,0.32245666666666667,0.95
14041,structured_critical_review,0.003968253968253968,0.9920634920634921,3.761904761904762,0.848421052631579,0.47850666666666664,0.1
14042,no_emergency_loop,0.08976833976833977,0.7722007722007722,0.0,0.0,0.306875,0.58
14042,brute_critical_rumination,0.07616487455197132,0.7831541218637993,8.0,0.0,0.323185,0.95
14042,structured_critical_review,0.0027472527472527475,0.9935897435897436,3.760989010989011,0.8403846153846154,0.48553583333333333,0.1
14043,no_emergency_loop,0.09230769230769231,0.7730769230769231,0.0,0.0,0.30625,0.58
14043,brute_critical_rumination,0.09954751131221719,0.7710407239819005,8.0,0.0,0.31055000000000005,0.95
14043,structured_critical_review,0.006796116504854369,0.9883495145631068,3.69126213592233,0.8629550321199143,0.46745666666666663,0.1
14044,no_emergency_loop,0.0923226433430515,0.7638483965014577,0.0,0.0,0.30895833333333333,0.58
14044,brute_critical_rumination,0.0989010989010989,0.7542457542457542,8.0,0.0,0.29645166666666667,0.95
14044,structured_critical_review,0.004690431519699813,0.9878048780487805,3.776735459662289,0.8374485596707819,0.4668533333333334,0.1
14045,no_emergency_loop,0.0835707502374169,0.7815764482431149,0.0,0.0,0.32666666666666666,0.58
14045,brute_critical_rumination,0.1105904404873477,0.7460168697282099,8.0,0.0,0.27080333333333334,0.95
14045,structured_critical_review,0.00546448087431694,0.9936247723132969,3.8251366120218577,0.831275720164609,0.47774999999999995,0.1
14046,no_emergency_loop,0.09142857142857143,0.7752380952380953,0.0,0.0,0.31375,0.58
14046,brute_critical_rumination,0.09780621572212066,0.7513711151736746,8.0,0.0,0.29624833333333334,0.95
14046,structured_critical_review,0.0019342359767891683,0.9970986460348162,3.8104448742746615,0.810126582278481,0.4804666666666666,0.1
14047,no_emergency_loop,0.07887323943661972,0.7596244131455399,0.0,0.0,0.32625,0.58
14047,brute_critical_rumination,0.09504950495049505,0.7346534653465346,8.0,0.0,0.2970166666666667,0.95
14047,structured_critical_review,0.0036199095022624436,0.9918552036199095,3.806334841628959,0.7969639468690702,0.508995,0.1
14048,no_emergency_loop,0.08349705304518663,0.7799607072691552,0.0,0.0,0.341875,0.58
14048,brute_critical_rumination,0.09473684210526316,0.7779904306220096,8.0,0.0,0.314075,0.95
14048,structured_critical_review,0.007782101167315175,0.9854085603112841,3.7217898832684826,0.8273809523809523,0.477645,0.1
14049,no_emergency_loop,0.07933579335793357,0.7859778597785978,0.0,0.0,0.3333333333333333,0.58
14049,brute_critical_rumination,0.09341199606686332,0.7541789577187807,8.0,0.0,0.301345,0.95
14049,structured_critical_review,0.001876172607879925,0.9878048780487805,3.6435272045028144,0.8426294820717132,0.47759666666666667,0.1
14050,no_emergency_loop,0.07685098406747891,0.7760074976569822,0.0,0.0,0.32958333333333334,0.58
14050,brute_critical_rumination,0.09003831417624521,0.7720306513409961,8.0,0.0,0.3251233333333334,0.95
14050,structured_critical_review,0.001899335232668566,0.9943019943019943,3.7264957264957266,0.8485477178423236,0.45798,0.1
14051,no_emergency_loop,0.09233791748526522,0.7721021611001965,0.0,0.0,0.32166666666666666,0.58
14051,brute_critical_rumination,0.08389585342333655,0.7772420443587271,8.0,0.0,0.31412833333333334,0.95
14051,structured_critical_review,0.0009208103130755065,0.996316758747698,3.705340699815838,0.817658349328215,0.4914383333333333,0.1
14052,no_emergency_loop,0.0844354018311292,0.7772126144455748,0.0,0.0,0.32104166666666667,0.58
14052,brute_critical_rumination,0.0799623706491063,0.7817497648165569,8.0,0.0,0.3347883333333333,0.95
14052,structured_critical_review,0.004965243296921549,0.9900695134061569,3.846077457795432,0.8299776286353467,0.4611475,0.1
14053,no_emergency_loop,0.1025390625,0.740234375,0.0,0.0,0.301875,0.58
14053,brute_critical_rumination,0.08370436331255565,0.7640249332146037,8.0,0.0,0.31501333333333337,0.95
14053,structured_critical_review,0.0019065776930409914,0.9923736892278361,3.7321258341277406,0.8326530612244898,0.4759041666666667,0.1
14054,no_emergency_loop,0.09475620975160993,0.7718491260349586,0.0,0.0,0.29770833333333335,0.58
14054,brute_critical_rumination,0.09194312796208531,0.7497630331753554,8.0,0.0,0.3023416666666667,0.95
14054,structured_critical_review,0.003872216844143272,0.9874152952565344,3.7531461761858664,0.8605664488017429,0.4626025,0.1
14055,no_emergency_loop,0.07848568790397045,0.7820867959372114,0.0,0.0,0.30270833333333336,0.58
14055,brute_critical_rumination,0.09273422562141491,0.7743785850860421,8.0,0.0,0.31031833333333336,0.95
14055,structured_critical_review,0.0027447392497712718,0.9935956084172004,3.757548032936871,0.8458333333333333,0.4572025,0.1
14056,no_emergency_loop,0.09211873080859775,0.7717502558853634,0.0,0.0,0.3104166666666667,0.58
14056,brute_critical_rumination,0.08960915157292659,0.7645376549094376,8.0,0.0,0.31134,0.95
14056,structured_critical_review,0.002806361085126286,0.9887745556594949,3.6819457436856875,0.8600405679513184,0.471095,0.1
14057,no_emergency_loop,0.08010801080108011,0.7911791179117912,0.0,0.0,0.32895833333333335,0.58
14057,brute_critical_rumination,0.0909970958373669,0.7676669893514037,8.0,0.0,0.3076966666666667,0.95
14057,structured_critical_review,0.004642525533890436,0.989786443825441,3.7613741875580318,0.8011811023622047,0.47349916666666664,0.1
14058,no_emergency_loop,0.0841300191204589,0.7705544933078394,0.0,0.0,0.3229166666666667,0.58
