seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,mean_Q,final_Q
18408,simple_matched_Q_anticapture,0.8148148148148148,0.345679012345679,0.22382324687800192,0.6798728888888851,0.8048448058647452,0.9027170519125797
18408,simple_static_q084,0.7901234567901234,0.37037037037037035,0.21037463976945245,0.6912319999999963,0.84,0.84
18409,tdc_full,0.8974358974358975,0.24358974358974358,0.1554907677356657,0.7389759999999971,0.8269739627291189,0.9082560935667051
18409,simple_matched_Q,0.8974358974358975,0.24358974358974358,0.1554907677356657,0.7389759999999971,0.8269739627291189,0.9082560935667051
18409,simple_matched_Q_anticapture,0.8974358974358975,0.24358974358974358,0.1554907677356657,0.7389759999999971,0.8269739627291189,0.9082560935667051
18409,simple_static_q084,0.8974358974358975,0.24358974358974358,0.15937803692905733,0.7520079999999965,0.84,0.84
18410,tdc_full,0.8690476190476191,0.34523809523809523,0.18926829268292683,0.7384942222222188,0.8334625816175772,0.9078998244947636
18410,simple_matched_Q,0.8690476190476191,0.34523809523809523,0.18926829268292683,0.7384942222222188,0.8334625816175772,0.9078998244947636
18410,simple_matched_Q_anticapture,0.8690476190476191,0.34523809523809523,0.18926829268292683,0.7384942222222188,0.8334625816175772,0.9078998244947636
18410,simple_static_q084,0.8214285714285714,0.36904761904761907,0.18536585365853658,0.7386159999999967,0.84,0.84
18411,tdc_full,0.8148148148148148,0.3333333333333333,0.18346774193548387,0.7083679999999966,0.8323518132170498,0.9063769946236593
18411,simple_matched_Q,0.8148148148148148,0.3333333333333333,0.18346774193548387,0.7083679999999966,0.8323518132170498,0.9063769946236593
18411,simple_matched_Q_anticapture,0.8148148148148148,0.3333333333333333,0.18346774193548387,0.7083679999999966,0.8323518132170498,0.9063769946236593
18411,simple_static_q084,0.7407407407407407,0.3950617283950617,0.1743951612903226,0.7216177777777741,0.84,0.84
18412,tdc_full,0.7849462365591398,0.3333333333333333,0.1616939364773821,0.6554977777777746,0.8360574863064377,0.9053477218868284
18412,simple_matched_Q,0.7849462365591398,0.3333333333333333,0.1616939364773821,0.6554977777777746,0.8360574863064377,0.9053477218868284
18412,simple_matched_Q_anticapture,0.7849462365591398,0.3333333333333333,0.1616939364773821,0.6554977777777746,0.8360574863064377,0.9053477218868284
18412,simple_static_q084,0.7634408602150538,0.34408602150537637,0.16554379210779596,0.6646906666666624,0.84,0.84
18413,tdc_full,0.8554216867469879,0.3373493975903614,0.17151162790697674,0.6860266666666632,0.8416535390788104,0.9075742844597336
18413,simple_matched_Q,0.8554216867469879,0.3373493975903614,0.17151162790697674,0.6860266666666632,0.8416535390788104,0.9075742844597336
18413,simple_matched_Q_anticapture,0.8554216867469879,0.3373493975903614,0.17151162790697674,0.6860266666666632,0.8416535390788104,0.9075742844597336
18413,simple_static_q084,0.8313253012048193,0.3614457831325301,0.17926356589147288,0.6817199999999961,0.84,0.84
18414,tdc_full,0.7682926829268293,0.34146341463414637,0.21017274472168906,0.7027102222222186,0.8269065074531341,0.906856042012107
18414,simple_matched_Q,0.7682926829268293,0.34146341463414637,0.21017274472168906,0.7027102222222186,0.8269065074531341,0.906856042012107
18414,simple_matched_Q_anticapture,0.7682926829268293,0.34146341463414637,0.21017274472168906,0.7027102222222186,0.8269065074531341,0.906856042012107
18414,simple_static_q084,0.7560975609756098,0.35365853658536583,0.20825335892514396,0.7138942222222182,0.84,0.84
18415,tdc_full,0.8470588235294118,0.29411764705882354,0.19,0.6918835555555524,0.8252597137418362,0.9060366685822071
18415,simple_matched_Q,0.8470588235294118,0.29411764705882354,0.19,0.6918835555555524,0.8252597137418362,0.9060366685822071
18415,simple_matched_Q_anticapture,0.8470588235294118,0.29411764705882354,0.19,0.6918835555555524,0.8252597137418362,0.9060366685822071
18415,simple_static_q084,0.8235294117647058,0.3176470588235294,0.197,0.702243555555552,0.84,0.84
18416,tdc_full,0.896551724137931,0.28735632183908044,0.17248062015503876,0.7166159999999965,0.8286299010662967,0.9056506268311725
18416,simple_matched_Q,0.896551724137931,0.28735632183908044,0.17248062015503876,0.7166159999999965,0.8286299010662967,0.9056506268311725
18416,simple_matched_Q_anticapture,0.896551724137931,0.28735632183908044,0.17248062015503876,0.7166159999999965,0.8286299010662967,0.9056506268311725
18416,simple_static_q084,0.8735632183908046,0.3103448275862069,0.17248062015503876,0.7216471111111077,0.84,0.84
18417,tdc_full,0.7402597402597403,0.4155844155844156,0.19332679097154074,0.6796462222222183,0.8359786582758795,0.9031903713722365
18417,simple_matched_Q,0.7402597402597403,0.4155844155844156,0.19332679097154074,0.6796462222222183,0.8359786582758795,0.9031903713722365
18417,simple_matched_Q_anticapture,0.7402597402597403,0.4155844155844156,0.19332679097154074,0.6796462222222183,0.8359786582758795,0.9031903713722365
18417,simple_static_q084,0.6883116883116883,0.44155844155844154,0.19528949950932287,0.6721599999999959,0.84,0.84
18418,tdc_full,0.8356164383561644,0.3424657534246575,0.1718146718146718,0.7063333333333297,0.8449847252751246,0.9065329847968893
18418,simple_matched_Q,0.8356164383561644,0.3424657534246575,0.1718146718146718,0.7063333333333297,0.8449847252751246,0.9065329847968893
18418,simple_matched_Q_anticapture,0.8356164383561644,0.3424657534246575,0.1718146718146718,0.7063333333333297,0.8449847252751246,0.9065329847968893
18418,simple_static_q084,0.821917808219178,0.3424657534246575,0.1805019305019305,0.7170151111111074,0.84,0.84
18419,tdc_full,0.8,0.34,0.17244796828543113,0.7053333333333296,0.8441908109746461,0.9073467218496027
18419,simple_matched_Q,0.8,0.34,0.17244796828543113,0.7053333333333296,0.8441908109746461,0.9073467218496027
18419,simple_matched_Q_anticapture,0.8,0.34,0.17244796828543113,0.7053333333333296,0.8441908109746461,0.9073467218496027
18419,simple_static_q084,0.76,0.38,0.18830525272547077,0.698541333333329,0.84,0.84
18420,tdc_full,0.8207547169811321,0.2830188679245283,0.17745098039215687,0.7058044444444409,0.822427128182567,0.9084114298303552
18420,simple_matched_Q,0.8207547169811321,0.2830188679245283,0.17745098039215687,0.7058044444444409,0.822427128182567,0.9084114298303552
18420,simple_matched_Q_anticapture,0.8207547169811321,0.2830188679245283,0.17745098039215687,0.7058044444444409,0.822427128182567,0.9084114298303552
18420,simple_static_q084,0.7735849056603774,0.32075471698113206,0.1676470588235294,0.7122479999999961,0.84,0.84
18421,tdc_full,0.788235294117647,0.35294117647058826,0.18172888015717092,0.6804391111111071,0.8234268833184659,0.9036904968503363
18421,simple_matched_Q,0.788235294117647,0.35294117647058826,0.18172888015717092,0.6804391111111071,0.8234268833184659,0.9036904968503363
18421,simple_matched_Q_anticapture,0.788235294117647,0.35294117647058826,0.18172888015717092,0.6804391111111071,0.8234268833184659,0.9036904968503363
18421,simple_static_q084,0.7647058823529411,0.36470588235294116,0.16601178781925344,0.7016124444444403,0.84,0.84
18422,tdc_full,0.8666666666666667,0.36,0.18851674641148325,0.7069173333333301,0.8270390332368889,0.9050294076904596
18422,simple_matched_Q,0.8666666666666667,0.36,0.18851674641148325,0.7069173333333301,0.8270390332368889,0.9050294076904596
18422,simple_matched_Q_anticapture,0.8666666666666667,0.36,0.18851674641148325,0.7069173333333301,0.8270390332368889,0.9050294076904596
18422,simple_static_q084,0.84,0.38666666666666666,0.18373205741626794,0.7157102222222185,0.84,0.84
18423,tdc_full,0.8470588235294118,0.29411764705882354,0.1948176583493282,0.6920515555555526,0.8345490794263059,0.906938047832053
18423,simple_matched_Q,0.8470588235294118,0.29411764705882354,0.1948176583493282,0.6920515555555526,0.8345490794263059,0.906938047832053
18423,simple_matched_Q_anticapture,0.8470588235294118,0.29411764705882354,0.1948176583493282,0.6920515555555526,0.8345490794263059,0.906938047832053
18423,simple_static_q084,0.7647058823529411,0.36470588235294116,0.18618042226487524,0.6987733333333301,0.84,0.84
18424,tdc_full,0.8690476190476191,0.2619047619047619,0.19485657764589515,0.6792426666666634,0.8248856891773791,0.9067076276835022
18424,simple_matched_Q,0.8690476190476191,0.2619047619047619,0.19485657764589515,0.6792426666666634,0.8248856891773791,0.9067076276835022
18424,simple_matched_Q_anticapture,0.8690476190476191,0.2619047619047619,0.19485657764589515,0.6792426666666634,0.8248856891773791,0.9067076276835022
18424,simple_static_q084,0.8452380952380952,0.27380952380952384,0.18496538081107813,0.6898559999999962,0.84,0.84
18425,tdc_full,0.7586206896551724,0.39080459770114945,0.1701923076923077,0.6614524444444405,0.8293856140736424,0.9044552583315462
18425,simple_matched_Q,0.7586206896551724,0.39080459770114945,0.1701923076923077,0.6614524444444405,0.8293856140736424,0.9044552583315462
18425,simple_matched_Q_anticapture,0.7586206896551724,0.39080459770114945,0.1701923076923077,0.6614524444444405,0.8293856140736424,0.9044552583315462
18425,simple_static_q084,0.735632183908046,0.40229885057471265,0.16442307692307692,0.6551546666666626,0.84,0.84
18426,tdc_full,0.8777777777777778,0.26666666666666666,0.16490891658676893,0.6954239999999966,0.8302177253116194,0.9078254655813545
18426,simple_matched_Q,0.8777777777777778,0.26666666666666666,0.16490891658676893,0.6954239999999966,0.8302177253116194,0.9078254655813545
18426,simple_matched_Q_anticapture,0.8777777777777778,0.26666666666666666,0.16490891658676893,0.6954239999999966,0.8302177253116194,0.9078254655813545
18426,simple_static_q084,0.8222222222222222,0.32222222222222224,0.16682646212847554,0.6978648888888849,0.84,0.84
18427,tdc_full,0.8717948717948718,0.38461538461538464,0.15937803692905733,0.7286542222222187,0.835340567353658,0.9068872944006385
18427,simple_matched_Q,0.8717948717948718,0.38461538461538464,0.15937803692905733,0.7286542222222187,0.835340567353658,0.9068872944006385
18427,simple_matched_Q_anticapture,0.8717948717948718,0.38461538461538464,0.15937803692905733,0.7286542222222187,0.835340567353658,0.9068872944006385
18427,simple_static_q084,0.8333333333333334,0.41025641025641024,0.15840621963070942,0.7291084444444405,0.84,0.84
18428,tdc_full,0.8235294117647058,0.32941176470588235,0.20096618357487922,0.7060435555555516,0.8200427358040219,0.9059902817077832
18428,simple_matched_Q,0.8235294117647058,0.32941176470588235,0.20096618357487922,0.7060435555555516,0.8200427358040219,0.9059902817077832
18428,simple_matched_Q_anticapture,0.8235294117647058,0.32941176470588235,0.20096618357487922,0.7060435555555516,0.8200427358040219,0.9059902817077832
18428,simple_static_q084,0.8117647058823529,0.3411764705882353,0.1855072463768116,0.7326782222222186,0.84,0.84
18429,tdc_full,0.7931034482758621,0.28735632183908044,0.17342130065975495,0.7270142222222187,0.8435481583287484,0.906493998715969
18429,simple_matched_Q,0.7931034482758621,0.28735632183908044,0.17342130065975495,0.7270142222222187,0.8435481583287484,0.906493998715969
