seed,model,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,anticapture_activation_rate,final_Q,composite
19238,FULL,0.920863309352518,0.28776978417266186,0.09307207837648705,0.6972431999999988,0.5322,0.94,0.7985407710872924
19238,PTVM_conditional_A,0.9424460431654677,0.26618705035971224,0.13226032190342898,0.7230663999999993,0.3676,0.94,0.8159682659790263
19239,PTVM,0.9615384615384616,0.25384615384615383,0.13342599027102153,0.7354103999999985,0.0,0.94,0.8453968819457954
19239,FULL,0.9153846153846154,0.27692307692307694,0.09242529534398888,0.7151999999999984,0.5384,0.94,0.8030195563158173
19239,PTVM_conditional_A,0.9615384615384616,0.25384615384615383,0.13342599027102153,0.7354103999999985,0.378,0.94,0.8264968819457954
19240,PTVM,0.9172932330827067,0.2556390977443609,0.14584787159804605,0.7014111999999986,0.0,0.94,0.8223908611691122
19240,FULL,0.849624060150376,0.3082706766917293,0.10258199581297976,0.6755815999999985,0.5378,0.94,0.7655294697095841
19240,PTVM_conditional_A,0.9172932330827067,0.2556390977443609,0.14584787159804605,0.7014111999999986,0.3758,0.94,0.8036008611691121
19241,PTVM,0.9298245614035088,0.2894736842105263,0.12534626038781163,0.7197247999999983,0.0,0.94,0.8254546552908585
19241,FULL,0.9035087719298246,0.3157894736842105,0.08933518005540166,0.6888431999999982,0.5312,0.94,0.7854468671468141
19241,PTVM_conditional_A,0.9298245614035088,0.2894736842105263,0.12534626038781163,0.7197247999999983,0.3762,0.94,0.8066446552908585
19242,PTVM,0.9609375,0.1953125,0.13857938718662952,0.7491143999999993,0.0,0.94,0.8615601275626741
19242,FULL,0.9296875,0.2265625,0.09261838440111421,0.7253223999999989,0.5408,0.94,0.821766428119777
19242,PTVM_conditional_A,0.9609375,0.1953125,0.13857938718662952,0.7491143999999993,0.371,0.94,0.843010127562674
19243,PTVM,0.9485294117647058,0.2426470588235294,0.14467184191954835,0.7385495999999986,0.0,0.94,0.8426726104396195
19243,FULL,0.875,0.3088235294117647,0.10656316160903317,0.7151167999999986,0.527,0.94,0.7806548453252519
19243,PTVM_conditional_A,0.9485294117647058,0.2426470588235294,0.14467184191954835,0.7385495999999986,0.3706,0.94,0.8241426104396194
19244,PTVM,0.9701492537313433,0.21641791044776118,0.14658210007047218,0.7056767999999982,0.0,0.94,0.848759238493368
19244,FULL,0.9328358208955224,0.2537313432835821,0.10429880197322058,0.6837031999999978,0.529,0.94,0.8058487900531166
19244,PTVM_conditional_A,0.9701492537313433,0.21641791044776118,0.14658210007047218,0.7056767999999982,0.3644,0.94,0.830539238493368
19245,PTVM,0.9572649572649573,0.19658119658119658,0.130879345603272,0.7491559999999987,0.0,0.94,0.8616895189135334
19245,FULL,0.8803418803418803,0.27350427350427353,0.08248125426039536,0.726915999999999,0.532,0.94,0.7980134448744165
19245,PTVM_conditional_A,0.9572649572649573,0.19658119658119658,0.130879345603272,0.7491559999999987,0.3776,0.94,0.8428095189135334
