seed,model,trap_capture,false_consolidation,final_recall,final_false_alarm,final_violation,trajectory,integrated_score,final_quality
16703,tdc_evidence_validated,0.1586946803755029,0.0,0.7611940298507462,0.06133333333333333,0.373134328358209,0.774249333333331,0.8114440613643448,0.9112932675945593
16704,simple_time_schedule,0.2521425349571493,0.0,0.8194444444444444,0.054,0.3194444444444444,0.7106102222222216,0.8253488984393323,0.92
16704,simple_anti_capture,0.2201062887511072,0.0,0.7832167832167832,0.11,0.3146853146853147,0.7253253333333323,0.8104261049361503,0.78
16704,simple_frozen_core,0.20764784348599377,0.0,0.7359550561797753,0.13933333333333334,0.38764044943820225,0.715037333333333,0.7777092222115863,0.78
16704,tdc_evidence_validated,0.1380697050938338,0.0,0.8148148148148148,0.05533333333333333,0.37037037037037035,0.7781093333333315,0.832204984990567,0.911820790217117
16705,simple_time_schedule,0.2687694358063083,0.0,0.8235294117647058,0.058666666666666666,0.3352941176470588,0.7239017777777765,0.8207683500982279,0.92
16705,simple_anti_capture,0.19525302283922974,0.0,0.8082191780821918,0.12133333333333333,0.3287671232876712,0.7493377777777759,0.8175104166807422,0.78
16705,simple_frozen_core,0.2085371276122721,0.0,0.7857142857142857,0.13533333333333333,0.2916666666666667,0.7356164444444437,0.813250412293012,0.78
16705,tdc_evidence_validated,0.15187119234116622,0.0,0.7851851851851852,0.06533333333333333,0.3037037037037037,0.7781555555555539,0.8329190701092738,0.9126850717396535
16706,simple_time_schedule,0.26625111308993765,0.0,0.8516129032258064,0.06533333333333333,0.2903225806451613,0.7279315555555546,0.8375014612283405,0.92
16706,simple_anti_capture,0.21381142098273573,0.0,0.7848837209302325,0.12733333333333333,0.3488372093023256,0.7431079999999988,0.8025683954810217,0.78
16706,simple_frozen_core,0.22879858657243815,0.0,0.7712418300653595,0.124,0.3660130718954248,0.7312586666666656,0.7930684791870481,0.78
16706,tdc_evidence_validated,0.13877733154841587,0.0,0.8117647058823529,0.06133333333333333,0.3,0.7629964444444435,0.8435804431257053,0.913685312403778
16707,simple_time_schedule,0.2616740088105727,0.0,0.8169014084507042,0.06333333333333334,0.31690140845070425,0.6976159999999996,0.8215604196115902,0.92
16707,simple_anti_capture,0.21075455333911536,0.0,0.8607594936708861,0.104,0.25949367088607594,0.7349617777777768,0.8475019475676856,0.78
16707,simple_frozen_core,0.20483005366726298,0.0,0.8,0.13666666666666666,0.3375,0.7220319999999992,0.8081050724865831,0.78
16707,tdc_evidence_validated,0.14616755793226383,0.0,0.8201438848920863,0.05466666666666667,0.33093525179856115,0.7581582222222206,0.8398789858862855,0.9113797881042113
16708,simple_time_schedule,0.25892857142857145,0.0,0.8588957055214724,0.058,0.25766871165644173,0.6966773333333327,0.8473120626584867,0.92
16708,simple_anti_capture,0.22483370288248336,0.0,0.74,0.12933333333333333,0.4,0.7292591111111097,0.7764136460408967,0.78
16708,simple_frozen_core,0.19546247818499127,0.0,0.756578947368421,0.10466666666666667,0.34868421052631576,0.755427999999998,0.8012492151593643,0.78
16708,tdc_evidence_validated,0.13584070796460176,0.0,0.9019607843137255,0.05266666666666667,0.24183006535947713,0.775424444444443,0.8847415008849557,0.9140713641860162
