seed,model,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,false_consolidation_rate,integrated_score,long_term_trajectory_value
13609,ablate_shadow_validation,0.5588461538461539,0.7073488620748365,0.94,0.8946287871668749,0.9107811441483328,0.41039540380085004,0.24653846153846154,0.4883268482490272,0.7086893207404368,0.06413653846153758
13609,ablate_core_constraint,0.6169230769230769,0.6312277391607378,0.94,0.95,0.894125298080611,0.303588676769912,0.2169230769230769,0.3080684596577017,0.7666722198271729,0.11508653846153703
13610,full_loop,0.5907692307692308,0.5452452002679554,0.9389,0.8937265453168017,0.9099791513927122,0.3246919857122412,0.24153846153846154,0.22641509433962265,0.7561710432468027,0.07690769230769161
13610,ablate_ethicalsense,0.5496153846153846,0.5394621276835486,0.6995123094038095,0.8594699511195112,0.8795288454395658,0.35015484216496673,0.255,0.24161073825503357,0.7272958077594376,0.03705576923077133
13610,ablate_idealgap,0.6203846153846154,0.95,0.94,0.95,0.95,0.1,0.20615384615384616,0.17210944395410416,0.8244621325276665,0.18576634615384688
13610,ablate_shadow_validation,0.6173076923076923,0.6649771345550263,0.9368255862205465,0.894456238671709,0.9106277677081861,0.3879409395362556,0.22384615384615383,0.43412526997840173,0.7354403214141152,0.11632307692307661
13610,ablate_core_constraint,0.5896153846153847,0.6992514055758408,0.9389,0.95,0.8867518886786848,0.28449064228170096,0.24115384615384616,0.3481624758220503,0.753591303042046,0.06279230769230838
13611,full_loop,0.6134615384615385,0.5476737087726826,0.9389615920230724,0.8935323254403015,0.9098065115024899,0.3261490401451806,0.22192307692307692,0.21875,0.7652707181716892,0.12344807692307608
13611,ablate_ethicalsense,0.556923076923077,0.5301850571374603,0.7019935211754038,0.8594804763790722,0.8795382012258416,0.3451983001574187,0.25461538461538463,0.2089041095890411,0.7331980172579737,0.05908173076923097
13611,ablate_idealgap,0.6065384615384616,0.95,0.9389,0.95,0.95,0.1,0.21846153846153846,0.16474245115452932,0.8198911394999316,0.17000384615384614
13611,ablate_shadow_validation,0.5226923076923077,0.7223998867915571,0.7106715318836296,0.8613920509502747,0.8812373786224664,0.44611989716360145,0.28076923076923077,0.5096899224806202,0.6761269988521246,-0.015947115384614692
13611,ablate_core_constraint,0.5803846153846154,0.6195749109625107,0.94,0.95,0.8843912512630555,0.3114328216232251,0.23961538461538462,0.2960199004975124,0.7522151831132222,0.06493557692307736
13612,full_loop,0.6138461538461538,0.5633019190512233,0.94,0.893402836788213,0.9096914104784096,0.3345919928371422,0.2226923076923077,0.24464831804281345,0.7613527691917535,0.09801923076922953
13612,ablate_ethicalsense,0.5476923076923077,0.5304072112742284,0.7021570053342664,0.8598975463271836,0.8799089300686083,0.34496922407360114,0.2573076923076923,0.21575342465753425,0.7299726149629286,0.04819519230769401
13612,ablate_idealgap,0.6026923076923076,0.95,0.94,0.95,0.95,0.1,0.21961538461538463,0.15513442044953724,0.8197173271858154,0.16207115384615392
13612,ablate_shadow_validation,0.595,0.6805963003291039,0.9358497047820644,0.8941739965508029,0.910376885822936,0.3965063630498531,0.23115384615384615,0.45085470085470086,0.7257169751811826,0.11044326923076672
13612,ablate_core_constraint,0.6119230769230769,0.6969290247918491,0.94,0.95,0.8935594852048603,0.2995571382443419,0.21846153846153846,0.3574380165289256,0.7607460631129668,0.11300576923076808
13613,full_loop,0.5976923076923077,0.5494816642571972,0.94,0.8944874683195531,0.9106555273951574,0.3263173306708781,0.225,0.2347560975609756,0.759554093293312,0.0909923076923059
13613,ablate_ethicalsense,0.5315384615384615,0.5336545331852314,0.701300684952389,0.8599095801338794,0.8799196267856692,0.3466911009205576,0.2573076923076923,0.23129251700680273,0.7241259070769134,0.030603846153847432
13613,ablate_idealgap,0.6230769230769231,0.95,0.9389,0.95,0.95,0.1,0.2103846153846154,0.1757627847013322,0.8241352599914052,0.18211826923077012
13613,ablate_shadow_validation,0.5823076923076923,0.6805448275924784,0.94,0.893293142365034,0.9095939043244751,0.39721295607845986,0.2403846153846154,0.46004319654427644,0.7198457199226842,0.09234326923076705
13613,ablate_core_constraint,0.6046153846153847,0.63765062716732,0.94,0.95,0.8983497797673399,0.28084017029262237,0.22,0.2786885245901639,0.7703289241044045,0.0929567307692288
13614,full_loop,0.6023076923076923,0.5475735552763897,0.9378,0.893849486177969,0.9100884321581951,0.3258313243324353,0.22884615384615384,0.221875,0.7612829107084691,0.10118076923076817
13614,ablate_ethicalsense,0.5438461538461539,0.5447850959213624,0.697755588772627,0.8588339422205066,0.8789635041960059,0.35352376597430396,0.26269230769230767,0.2647058823529412,0.7216763313485297,0.06347788461538369
13614,ablate_idealgap,0.6138461538461538,0.95,0.94,0.95,0.95,0.1,0.22423076923076923,0.16147433084686266,0.8211794899922368,0.19847211538461554
13614,ablate_shadow_validation,0.5907692307692308,0.7244900693050075,0.9334,0.8939441608616746,0.9101725874325988,0.4201079029112758,0.24153846153846154,0.5028790786948176,0.7142835867711362,0.06744038461538499
13614,ablate_core_constraint,0.5923076923076923,0.6890366490947278,0.9387449999999999,0.95,0.8868256913239979,0.2883659586419282,0.22423076923076923,0.3264887063655031,0.7584036815242677,0.08994230769230598
13615,full_loop,0.5923076923076923,0.5530938045651966,0.94,0.8819710604542818,0.8995298315149172,0.3386741453895373,0.2326923076923077,0.24299065420560748,0.7502745150652111,0.06334903846153853
13615,ablate_ethicalsense,0.5407692307692308,0.5284328433485654,0.7022135674560191,0.8590247996894305,0.8791331552794925,0.3446435167113774,0.2684615384615385,0.21379310344827587,0.7265275900808558,0.04774519230769472
13615,ablate_idealgap,0.6134615384615385,0.95,0.9389,0.95,0.95,0.1,0.22192307692307692,0.16455160744500846,0.8211217623324223,0.1766951923076934
13615,ablate_shadow_validation,0.6123076923076923,0.6659702266001404,0.94,0.8941737373212157,0.9103766553966358,0.3887060064190628,0.21346153846153845,0.4457013574660634,0.734383047275736,0.13478173076922967
13615,ablate_core_constraint,0.6019230769230769,0.6571414311524475,0.94,0.95,0.8763368231215996,0.2857584290777393,0.22346153846153846,0.3163972286374134,0.7602254158604561,0.08479903846153779
13616,full_loop,0.5911538461538461,0.5536233716285694,0.9389,0.8943386505314082,0.910523244916807,0.3286502560923973,0.23153846153846153,0.24691358024691357,0.755324242432214,0.10959711538461547
13616,ablate_ethicalsense,0.5715384615384616,0.5297357783462854,0.7018331421393273,0.8589480907294407,0.8790649695372811,0.34540233951015115,0.24269230769230768,0.2202797202797203,0.7372976537931468,0.08922692307692122
13616,ablate_idealgap,0.6146153846153846,0.95,0.94,0.95,0.95,0.1,0.21961538461538463,0.17138939670932357,0.821072598790606,0.17080961538461636
13616,ablate_shadow_validation,0.5892307692307692,0.689417192371436,0.94,0.8947156070478638,0.9108583173758799,0.4007594967248794,0.23192307692307693,0.4704641350210971,0.7217378972907447,0.0854009615384606
13616,ablate_core_constraint,0.6065384615384616,0.6322328622646787,0.936005,0.95,0.8947551184711338,0.27619296236573704,0.21461538461538462,0.2684729064039409,0.7726170963912798,0.10315096153845998
13617,full_loop,0.5076923076923077,0.541991565004576,0.5838712822347562,0.8291731141840801,0.8525983237191823,0.3767512395157072,0.2957692307692308,0.28164556962025317,0.6927760812897594,-0.039935576923075033
13617,ablate_ethicalsense,0.5423076923076923,0.543835120203879,0.6980616180452875,0.8589257387362219,0.8790451010988631,0.35294061516188535,0.2630769230769231,0.25418060200668896,0.7224041131706388,0.03457211538461619
13617,ablate_idealgap,0.6030769230769231,0.95,0.9393984,0.95,0.95,0.10120320000000001,0.2276923076923077,0.16768826619964974,0.8171660779954196,0.16925000000000126
13617,ablate_shadow_validation,0.6011538461538461,0.6749336580313576,0.94,0.8938906026593553,0.9101249801416497,0.39372244873392753,0.23153846153846153,0.44,0.7286079114248365,0.13851346153846109
13617,ablate_core_constraint,0.5919230769230769,0.6418743243127956,0.9389,0.95,0.8857763846459425,0.29862654494888796,0.23884615384615385,0.32045454545454544,0.7549696867952469,0.08584230769230602
13618,full_loop,0.5861538461538461,0.5327314422172055,0.9390882487393271,0.8944227536736028,0.9105980032654234,0.317437807787841,0.24346153846153845,0.18553459119496854,0.7601331141856829,0.07160673076922973
13618,ablate_ethicalsense,0.5588461538461539,0.5187536097639278,0.7055636483894062,0.8604144476906389,0.8803683979472345,0.3383232187985628,0.25115384615384617,0.20216606498194944,0.736209218963525,0.0813528846153819
13618,ablate_idealgap,0.5969230769230769,0.95,0.9389,0.95,0.95,0.1,0.21961538461538463,0.1747276688453159,0.8163156946539298,0.12729519230769054
13618,ablate_shadow_validation,0.5915384615384616,0.6662693948148387,0.94,0.89334287655783,0.9096381124958499,0.38955794676972183,0.2276923076923077,0.4357298474945534,0.7276531464487,0.08295576923076907
13618,ablate_core_constraint,0.6053846153846154,0.6333003118276113,0.93917,0.95,0.9002673888034362,0.2927850128378733,0.21846153846153846,0.30097087378640774,0.7671155615332885,0.0946624999999988
