seed,model,phase,Q,irreversible_recall,false_alarm_rate,violation_rate,trajectory
15808,static_quality,1,0.58,0.7563025210084033,0.20458135860979462,0.40336134453781514,0.7048593996840435
15808,static_quality,2,0.58,0.736,0.18878357030015797,0.4,0.6984391785150065
15808,static_quality,3,0.58,0.6174496644295302,0.1943127962085308,0.44966442953020136,0.6111753554502354
15808,static_quality,4,0.58,0.696,0.2093206951026856,0.4,0.6936303317535533
15808,static_quality,5,0.58,0.6785714285714286,0.1966824644549763,0.4714285714285714,0.6157883096366489
15808,static_quality,6,0.58,0.6641221374045801,0.20458135860979462,0.42748091603053434,0.6641674565560812
15808,linear_development,1,0.7599287164188944,0.7368421052631579,0.15165876777251186,0.43609022556390975,0.6660094786729851
15808,linear_development,2,0.8293302747885059,0.7913669064748201,0.09320695102685624,0.3597122302158273,0.7203475513428133
15808,linear_development,3,0.8752077079122191,0.8888888888888888,0.06477093206951026,0.2518518518518518,0.807936808846762
15808,linear_development,4,0.8979766782593137,0.9098360655737705,0.04739336492890995,0.23770491803278687,0.8372922590837293
15808,linear_development,5,0.9077207910115068,0.8904109589041096,0.04107424960505529,0.23972602739726026,0.8081011058451829
15808,linear_development,6,0.908757013210006,0.9436619718309859,0.044233807266982623,0.24647887323943662,0.8071943127962097
15808,interaction_development,1,0.7240076515620621,0.6503496503496503,0.18246445497630331,0.46153846153846156,0.619153238546601
15808,interaction_development,2,0.8533509045176264,0.8538461538461538,0.09873617693522907,0.27692307692307694,0.7897093206951042
15808,interaction_development,3,0.8948344465083407,0.8283582089552238,0.035545023696682464,0.27611940298507465,0.7997124802527665
15808,interaction_development,4,0.9074983027678813,0.84,0.02843601895734597,0.25,0.8623886255924177
15808,interaction_development,5,0.9119041696838412,0.8548387096774194,0.04344391785150079,0.3064516129032258,0.792530805687205
15808,interaction_development,6,0.9128478230573511,0.8857142857142857,0.04107424960505529,0.3,0.772650868878359
15808,feedback_development,1,0.795368423697194,0.7642276422764228,0.15165876777251186,0.36585365853658536,0.7324612954186411
15808,feedback_development,2,0.8936014457083712,0.8805970149253731,0.0631911532385466,0.2462686567164179,0.8129478672985787
15808,feedback_development,3,0.907167680926102,0.875968992248062,0.04739336492890995,0.26356589147286824,0.8120947867298597
15808,feedback_development,4,0.9141986541904538,0.9236641221374046,0.04818325434439179,0.16030534351145037,0.8769921011058444
15808,feedback_development,5,0.9142298818909296,0.8515625,0.03238546603475513,0.296875,0.7949952606635082
15808,feedback_development,6,0.9145308829143347,0.8805970149253731,0.03475513428120063,0.26865671641791045,0.8052448657188014
15809,static_quality,1,0.58,0.6615384615384615,0.1895734597156398,0.4230769230769231,0.6729383886255912
15809,static_quality,2,0.58,0.6111111111111112,0.20458135860979462,0.48412698412698413,0.639140600315954
15809,static_quality,3,0.58,0.7534246575342466,0.2282780410742496,0.363013698630137,0.6737503949447067
15809,static_quality,4,0.58,0.5813953488372093,0.19747235387045814,0.5193798449612403,0.6105402843601877
15809,static_quality,5,0.58,0.7196969696969697,0.20458135860979462,0.4090909090909091,0.6748120063191155
15809,static_quality,6,0.58,0.5972222222222222,0.19826224328593997,0.5138888888888888,0.574695102685622
15809,linear_development,1,0.7759573898495444,0.781021897810219,0.13428120063191154,0.35036496350364965,0.7209826224328596
15809,linear_development,2,0.8443593864840613,0.8275862068965517,0.10584518167456557,0.31724137931034485,0.7376492890995254
15809,linear_development,3,0.8765083146889292,0.8373983739837398,0.0679304897314376,0.3089430894308943,0.7867582938388638
15809,linear_development,4,0.8969870030559739,0.8125,0.061611374407582936,0.2890625,0.7939399684044253
15809,linear_development,5,0.9028351232896685,0.8432835820895522,0.04186413902053712,0.3358208955223881,0.7575955766192749
15809,linear_development,6,0.904312923867346,0.8823529411764706,0.04265402843601896,0.29411764705882354,0.7823254344391803
15809,interaction_development,1,0.7065745100559917,0.680672268907563,0.15323854660347552,0.42857142857142855,0.7016998420221168
15809,interaction_development,2,0.8496420931844988,0.8,0.08688783570300158,0.3333333333333333,0.7220537124802536
15809,interaction_development,3,0.8960156671833375,0.8739495798319328,0.04818325434439179,0.18487394957983194,0.8722559241706156
15809,interaction_development,4,0.9087268086706211,0.8914728682170543,0.054502369668246446,0.3023255813953488,0.785004739336494
15809,interaction_development,5,0.9136824468975578,0.8818897637795275,0.04660347551342812,0.2440944881889764,0.8273080568720383
15809,interaction_development,6,0.9147060525967345,0.8521739130434782,0.026856240126382307,0.23478260869565218,0.8521011058451824
15809,feedback_development,1,0.752320670303693,0.6608695652173913,0.17140600315955767,0.4608695652173913,0.6880347551342809
15809,feedback_development,2,0.8811628481919229,0.848,0.08609794628751975,0.272,0.8028467614533982
15809,feedback_development,3,0.9043000869328269,0.9230769230769231,0.04186413902053712,0.2692307692307692,0.8081706161137461
15809,feedback_development,4,0.9115948880304046,0.8840579710144928,0.04818325434439179,0.2463768115942029,0.8121516587677731
15809,feedback_development,5,0.9155196883380706,0.9552238805970149,0.03238546603475513,0.15671641791044777,0.8809383886255919
15809,feedback_development,6,0.9148118647854714,0.8682170542635659,0.04186413902053712,0.29457364341085274,0.793102685624014
15810,static_quality,1,0.58,0.6923076923076923,0.19036334913112166,0.38461538461538464,0.698142180094786
15810,static_quality,2,0.58,0.7196969696969697,0.1966824644549763,0.3712121212121212,0.7013396524486569
15810,static_quality,3,0.58,0.6716417910447762,0.2037914691943128,0.43283582089552236,0.6542527646129535
15810,static_quality,4,0.58,0.6962025316455697,0.18325434439178515,0.3860759493670886,0.6438988941548176
15810,static_quality,5,0.58,0.68,0.20695102685624012,0.4,0.6941990521327006
15810,static_quality,6,0.58,0.6956521739130435,0.1966824644549763,0.4057971014492754,0.6664960505529228
15810,linear_development,1,0.7963754510552419,0.8113207547169812,0.10742496050552923,0.29559748427672955,0.7323507109004743
15810,linear_development,2,0.8550596273011548,0.8214285714285714,0.07740916271721959,0.30714285714285716,0.7593238546603485
15810,linear_development,3,0.8861251862531779,0.8396946564885496,0.06477093206951026,0.2824427480916031,0.7930331753554516
15810,linear_development,4,0.9026430119122071,0.8456375838926175,0.04976303317535545,0.28859060402684567,0.7658009478673004
15810,linear_development,5,0.9076544253960726,0.8972602739726028,0.030015797788309637,0.2328767123287671,0.8161832543443938
15810,linear_development,6,0.9075464689243913,0.8837209302325582,0.044233807266982623,0.2713178294573643,0.8080631911532399
15810,interaction_development,1,0.7560545653831489,0.7482014388489209,0.15323854660347552,0.34532374100719426,0.7165876777251186
15810,interaction_development,2,0.8736139189987078,0.8731343283582089,0.07424960505529225,0.208955223880597,0.8362938388625601
15810,interaction_development,3,0.9058580573604211,0.8807947019867549,0.045023696682464455,0.2251655629139073,0.8120916271721978
15810,interaction_development,4,0.9136631375078521,0.8402777777777778,0.04186413902053712,0.25,0.8029036334913124
15810,interaction_development,5,0.9146916925964839,0.8467741935483871,0.037914691943127965,0.25806451612903225,0.8246856240126386
