seed,model,trap_phase_capture_rate,trap_phase_false_consolidation_rate,post_trap_quality_damage,recovery_gain,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trajectory_value,integrated_score,final_quality
16649,tdc_evidence_validated,0.1308411214953271,0.0,0.0,-0.026186579378068786,0.844311377245509,0.051333333333333335,0.281437125748503,0.7755084444444428,0.8343703689890447,0.9128669654678714
16649,tdc_validated_with_reversal,0.13658536585365855,0.0,0.0,0.001831501831501825,0.8092485549132948,0.04666666666666667,0.28901734104046245,0.7648146666666653,0.8263470207189154,0.9129226052769517
16650,simple_time_schedule,0.2530228392297358,0.0,0.0,-0.026325397984518828,0.8193548387096774,0.06866666666666667,0.3161290322580645,0.7206933333333322,0.800053772819613,0.92
16650,simple_success_driven,0.26487695749440715,0.0,0.010387136737517011,0.03119763823505939,0.8253968253968254,0.14,0.30158730158730157,0.7407906666666657,0.7964541874857781,0.7204737102449309
16650,tdc_unvalidated,0.1506849315068493,0.11126126126126126,0.0,0.06880656204453794,0.8520710059171598,0.054,0.31952662721893493,0.7755742222222207,0.8204225006108516,0.880778751508636
16650,tdc_evidence_validated,0.13245033112582782,0.0,0.0,0.0828665250144871,0.803680981595092,0.05466666666666667,0.34355828220858897,0.7749422222222205,0.8213802426510413,0.9118917903984136
16650,tdc_validated_with_reversal,0.14311190370040125,0.0,0.0,0.05558176100628931,0.8488372093023255,0.054,0.26744186046511625,0.7874386666666641,0.8428498163779506,0.9134300543390658
16651,simple_time_schedule,0.24337674000898069,0.0,0.0,0.14792899408284033,0.8362573099415205,0.06133333333333333,0.30409356725146197,0.7061679999999998,0.8221598748727383,0.92
16651,simple_success_driven,0.2696035242290749,0.0,0.024642962232371945,0.0917960971724413,0.7122302158273381,0.146,0.39568345323741005,0.7285813333333322,0.7550946779308855,0.7270687069396174
16651,tdc_unvalidated,0.14979937583593403,0.11239193083573487,0.0,0.029087351005159134,0.8758169934640523,0.06,0.24183006535947713,0.7930791111111093,0.8366578748742047,0.8770611738078182
16651,tdc_evidence_validated,0.1468131868131868,0.0,0.0,0.07789796577332897,0.8560606060606061,0.064,0.29545454545454547,0.7780115555555537,0.8388311806029696,0.9131541603236621
16651,tdc_validated_with_reversal,0.12278368794326242,0.0,0.0,0.043589743589743546,0.875,0.05,0.25,0.7780751111111094,0.8544204676195671,0.9146257100847381
16652,simple_time_schedule,0.26887003126395714,0.0,0.0,0.0651631306828312,0.8010752688172043,0.06266666666666666,0.3010752688172043,0.7023751111111105,0.8037040999844826,0.92
16652,simple_success_driven,0.25266429840142096,0.0,0.034592485326861655,0.10798946444249335,0.8255813953488372,0.15466666666666667,0.3546511627906977,0.7344644444444439,0.792200392071707,0.7214764693937084
16652,tdc_unvalidated,0.17304270462633453,0.128569247213315,0.0,0.07839687194525913,0.838150289017341,0.06533333333333333,0.30057803468208094,0.7614862222222211,0.8136756001192789,0.8707729410688301
16652,tdc_evidence_validated,0.13796133567662566,0.0,0.0,0.00862739551658298,0.8651685393258427,0.05333333333333334,0.2808988764044944,0.7807426666666646,0.8411506296653255,0.91304918489168
16652,tdc_validated_with_reversal,0.1324823943661972,0.0,0.0,0.0888888888888888,0.7294117647058823,0.05533333333333333,0.3764705882352941,0.7578817777777764,0.79731963132468,0.9107379793045034
16653,simple_time_schedule,0.27864467231386536,0.0,0.0,0.08933117333950469,0.8333333333333334,0.058666666666666666,0.3269230769230769,0.7165591111111106,0.8085657836748431,0.92
16653,simple_success_driven,0.259391771019678,0.0,0.006107625681253892,0.21916842847075402,0.7636363636363637,0.12266666666666666,0.3515151515151515,0.7541977777777762,0.7917598707793498,0.7142731056608469
16653,tdc_unvalidated,0.1561938958707361,0.12046730389925656,0.0,0.05101418331554064,0.8653846153846154,0.06733333333333333,0.3141025641025641,0.7683279999999991,0.8188715455959422,0.8825573211244544
16653,tdc_evidence_validated,0.13508612873980055,0.0,0.0,0.016815666240953653,0.8289473684210527,0.05533333333333333,0.3026315789473684,0.7680244444444433,0.828774523930675,0.9123638714435136
16653,tdc_validated_with_reversal,0.15041905602117336,0.0,0.0,0.046407870652837135,0.8300653594771242,0.048666666666666664,0.3202614379084967,0.7798724444444428,0.8276308203713543,0.9128149992683934
16654,simple_time_schedule,0.26534296028880866,0.0,0.0,0.05678415895481759,0.782608695652174,0.056666666666666664,0.32919254658385094,0.7170186666666662,0.7955802268473807,0.92
16654,simple_success_driven,0.26146993318485523,0.0,0.021999103095864947,0.20715679895901107,0.8136645962732919,0.138,0.3416149068322981,0.7374773333333321,0.8011746664799508,0.7315916991242347
16654,tdc_unvalidated,0.15436241610738255,0.10816607936264747,0.0,0.020492315381731796,0.8461538461538461,0.056666666666666664,0.27564102564102566,0.7892906666666647,0.8230152159135258,0.8903526464606935
16654,tdc_evidence_validated,0.15256525652565256,0.0,0.0,0.070907499270499,0.8047337278106509,0.05533333333333333,0.33136094674556216,0.7732613333333318,0.8198817082884036,0.9115669206804906
16654,tdc_validated_with_reversal,0.14021641118124437,0.0,0.0,0.04538852578068264,0.875,0.05266666666666667,0.2361111111111111,0.781929777777776,0.8543513089415247,0.9144885452233642
16655,simple_time_schedule,0.2516763522574877,0.0,0.0,0.16285867046872216,0.8850574712643678,0.05466666666666667,0.25862068965517243,0.7260773333333325,0.8439524999536334,0.92
16655,simple_success_driven,0.2523364485981308,0.0,0.015136393183531438,0.08580426356589155,0.7295597484276729,0.14066666666666666,0.389937106918239,0.7380391111111093,0.7634577964366692,0.6932590356074171
16655,tdc_unvalidated,0.13766816143497757,0.10550670985654789,0.0,0.014717741935483919,0.8580645161290322,0.058666666666666666,0.25806451612903225,0.7915786666666647,0.831003422538898,0.8773078820709579
16655,tdc_evidence_validated,0.12589928057553956,0.0,0.0,0.09249882794186592,0.8409090909090909,0.048,0.26704545454545453,0.7940639999999973,0.8476065669547737,0.9134679292064326
16655,tdc_validated_with_reversal,0.14323843416370108,0.0,0.0,0.053594771241829986,0.8164556962025317,0.05266666666666667,0.3291139240506329,0.7686759999999982,0.8232634350092553,0.9120247480406314
16656,simple_time_schedule,0.2503358710255262,0.0,0.0,0.08685548293391432,0.8647058823529412,0.06933333333333333,0.31176470588235294,0.7125991111111109,0.8207238125081329,0.92
16656,simple_success_driven,0.2514672686230248,0.0,0.017668502634044847,0.16798780487804876,0.770949720670391,0.13533333333333333,0.3128491620111732,0.7432888888888876,0.7950269128041254,0.7286205802570995
16656,tdc_unvalidated,0.15377738042020564,0.11733827389223406,0.0,0.07554600787683496,0.8263888888888888,0.06333333333333334,0.3402777777777778,0.8041182222222201,0.8095489833931387,0.8597696665343822
16656,tdc_evidence_validated,0.13890129522108083,0.0,0.0,0.0161904761904762,0.8674033149171271,0.05266666666666667,0.26519337016574585,0.7739982222222205,0.8448243079367851,0.9143879155291166
16656,tdc_validated_with_reversal,0.14164810690423163,0.0,0.0,0.03701809598741146,0.8509316770186336,0.052,0.2981366459627329,0.7634395555555538,0.8359073011458028,0.9127281161189712
16657,simple_time_schedule,0.26811594202898553,0.0,0.0,0.03926866046745414,0.8910256410256411,0.07,0.2564102564102564,0.74489511111111,0.8318933730900905,0.92
16657,simple_success_driven,0.2680272108843537,0.0,0.04550633482399169,0.10321880650994575,0.6645569620253164,0.13533333333333333,0.4177215189873418,0.7101866666666667,0.741791625798674,0.7007147691913033
16657,tdc_unvalidated,0.13871543264942016,0.10444307312557853,0.0,0.08114741524773739,0.8657718120805369,0.05533333333333333,0.2684563758389262,0.7782706666666651,0.8362790444554862,0.900046187942724
16657,tdc_evidence_validated,0.14438027543314083,0.0,0.0,0.018089948314433446,0.8780487804878049,0.05733333333333333,0.24390243902439024,0.7808488888888864,0.85012384781942,0.9134939826755173
16657,tdc_validated_with_reversal,0.12852800694745983,0.0,0.0,0.035565904214034716,0.8345864661654135,0.06666666666666667,0.3458646616541353,0.7703524444444428,0.8230438952575443,0.9124164783343942
16658,simple_time_schedule,0.2626172398392139,0.0,0.0,0.07093167701863357,0.8289473684210527,0.06266666666666666,0.2894736842105263,0.7183511111111102,0.8144576036249364,0.92
16658,simple_success_driven,0.2687224669603524,0.0,0.0369612979410342,0.1515151515151516,0.754601226993865,0.13533333333333333,0.3803680981595092,0.7365786666666657,0.774947916889912,0.7345826816414045
16658,tdc_unvalidated,0.14195867026055706,0.11532625189681335,0.0,0.08583959899749372,0.879746835443038,0.059333333333333335,0.24050632911392406,0.7994195555555529,0.8434853540104156,0.8934532671538922
16658,tdc_evidence_validated,0.1349801499779444,0.0,0.0,-0.00022390398996907646,0.837037037037037,0.046,0.31851851851851853,0.7896453333333311,0.828866235572779,0.91258198912722
16658,tdc_validated_with_reversal,0.13969258589511754,0.0,0.0,0.041974746900238835,0.834319526627219,0.042666666666666665,0.3136094674556213,0.7304395555555552,0.829978915530779,0.9107664415407195
16659,simple_time_schedule,0.2716864817261119,0.0,0.0,0.04404924760601914,0.808641975308642,0.05466666666666667,0.3271604938271605,0.6913137777777775,0.7995789019964555,0.92
16659,simple_success_driven,0.25742135578201153,0.0,0.0,0.05988023952095811,0.7664670658682635,0.13733333333333334,0.3652694610778443,0.7028546666666665,0.7730958754998997,0.683817923654158
16659,tdc_unvalidated,0.15278396436525613,0.11477168250076616,0.0,0.08706952566601689,0.810126582278481,0.06866666666666667,0.35443037974683544,0.7724222222222201,0.8023463387566807,0.8830387452261973
16659,tdc_evidence_validated,0.13041536400178652,0.0,0.0,-0.031598954621050224,0.8137931034482758,0.05333333333333334,0.3310344827586207,0.7754897777777756,0.817424328378878,0.9129392709572026
16659,tdc_validated_with_reversal,0.1341895482728078,0.0,0.0,0.05257270693512306,0.8876404494382022,0.05466666666666667,0.2640449438202247,0.7834622222222205,0.8535167199963669,0.9143803505612034
16660,simple_time_schedule,0.2550245645377401,0.0,0.0,0.09848484848484851,0.87248322147651,0.05733333333333333,0.28187919463087246,0.7159413333333325,0.8302973869643095,0.92
16660,simple_success_driven,0.25787838437638705,0.0,0.004279507612211519,0.10637408568443052,0.7549668874172185,0.14,0.32450331125827814,0.7162822222222214,0.7814396988845914,0.7310713589353954
16660,tdc_unvalidated,0.15637319316688567,0.11896080218778486,0.0,0.06580645161290322,0.832258064516129,0.06133333333333333,0.3032258064516129,0.7532297777777763,0.8145741209234924,0.8943900786645707
16660,tdc_evidence_validated,0.14143696339810213,0.0,0.0,0.05104419621175327,0.8734177215189873,0.04933333333333333,0.26582278481012656,0.7878559999999977,0.8496754193866067,0.9137302562418694
16660,tdc_validated_with_reversal,0.13911472448057813,0.0,0.0,0.09874986868368518,0.8855421686746988,0.04666666666666667,0.23493975903614459,0.7619488888888879,0.8616761808117244,0.914423232393418
16661,simple_time_schedule,0.2732166890982503,0.0,0.0,0.06184210526315781,0.8109756097560976,0.06933333333333333,0.3231707317073171,0.7123111111111102,0.800559557692555,0.92
16661,simple_success_driven,0.27015057573073514,0.0,0.035854083056294006,0.1526280171441462,0.7393939393939394,0.13466666666666666,0.3878787878787879,0.7194422222222221,0.7692565466278146,0.7242966161150028
16661,tdc_unvalidated,0.1513418389793225,0.1209366815590818,0.0,0.04257767548906788,0.8775510204081632,0.07,0.2857142857142857,0.7817657777777756,0.8269602593754293,0.890408752637875
