seed,model,P,T,V,M,Aanti,final_holdout_recall,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_Q
18885,V,0,0,1,0,0,0.55,0.5375,0.34317718940936864,0.5657733333333299,0.58
18885,M,0,0,0,1,0,0.625,0.475,0.4073319755600815,0.5709704761904714,0.58
18885,A,0,0,0,0,1,0.55,0.5375,0.34317718940936864,0.5657733333333299,0.58
18885,P_T,1,1,0,0,0,0.8,0.3375,0.1629327902240326,0.7107209523809487,0.8631593920660892
18885,P_V,1,0,1,0,0,0.8,0.3375,0.16089613034623218,0.701619047619044,0.94
18885,P_M,1,0,0,1,0,0.7,0.4125,0.3981670061099796,0.5936142857142803,0.6174238668891712
18885,P_A,1,0,0,0,1,0.7875,0.35,0.1945010183299389,0.6917790476190439,0.8282209251046865
18885,P_T_V,1,1,1,0,0,0.8,0.3375,0.14867617107942974,0.7094657142857107,0.94
18885,P_T_V_M,1,1,1,1,0,0.9375,0.225,0.15071283095723015,0.7505990476190434,0.94
18885,FULL,1,1,1,1,1,0.875,0.2625,0.10692464358452139,0.7371304761904721,0.94
18886,base,0,0,0,0,0,0.5316455696202531,0.5316455696202531,0.36482412060301506,0.5221923809523783,0.58
18886,P,1,0,0,0,0,0.7974683544303798,0.3291139240506329,0.2221105527638191,0.6591999999999969,0.8189198373909
18886,T,0,1,0,0,0,0.5316455696202531,0.5316455696202531,0.36482412060301506,0.5221923809523783,0.58
18886,V,0,0,1,0,0,0.5316455696202531,0.5316455696202531,0.36482412060301506,0.5221923809523783,0.58
18886,M,0,0,0,1,0,0.569620253164557,0.4936708860759494,0.4120603015075377,0.5340333333333296,0.58
18886,A,0,0,0,0,1,0.5316455696202531,0.5316455696202531,0.36482412060301506,0.5221923809523783,0.58
18886,P_T,1,1,0,0,0,0.7974683544303798,0.3291139240506329,0.19195979899497487,0.6776009523809494,0.8439306067485858
18886,P_V,1,0,1,0,0,0.8227848101265823,0.31645569620253167,0.17688442211055277,0.6726028571428546,0.94
18886,P_M,1,0,0,1,0,0.6455696202531646,0.43037974683544306,0.4020100502512563,0.5848104761904716,0.6108288355490008
18886,P_A,1,0,0,0,1,0.7974683544303798,0.3291139240506329,0.2221105527638191,0.6591999999999969,0.8189198373909
18886,P_T_V,1,1,1,0,0,0.8227848101265823,0.31645569620253167,0.16482412060301507,0.6757161904761879,0.94
18886,P_T_V_M,1,1,1,1,0,0.9367088607594937,0.22784810126582278,0.16884422110552763,0.7407828571428534,0.94
18886,FULL,1,1,1,1,1,0.8860759493670886,0.26582278481012656,0.11658291457286432,0.7101476190476159,0.94
18887,base,0,0,0,0,0,0.5795454545454546,0.48863636363636365,0.34404145077720205,0.5638114285714249,0.58
18887,P,1,0,0,0,0,0.7840909090909091,0.3409090909090909,0.21347150259067357,0.6921495238095203,0.8281109874357913
18887,T,0,1,0,0,0,0.5795454545454546,0.48863636363636365,0.34404145077720205,0.5638114285714249,0.58
18887,V,0,0,1,0,0,0.5795454545454546,0.48863636363636365,0.34404145077720205,0.5638114285714249,0.58
18887,M,0,0,0,1,0,0.6590909090909091,0.4318181818181818,0.41139896373056994,0.5612961904761854,0.58
18887,A,0,0,0,0,1,0.5795454545454546,0.48863636363636365,0.34404145077720205,0.5638114285714249,0.58
18887,P_T,1,1,0,0,0,0.8068181818181818,0.3181818181818182,0.18860103626943006,0.7057647619047585,0.8712917834134091
18887,P_V,1,0,1,0,0,0.8295454545454546,0.3068181818181818,0.16683937823834197,0.7083695238095206,0.94
18887,P_M,1,0,0,1,0,0.7272727272727273,0.38636363636363635,0.3844559585492228,0.5995038095238039,0.6226868955532131
18887,P_A,1,0,0,0,1,0.7840909090909091,0.3409090909090909,0.21347150259067357,0.6921495238095203,0.8281109874357913
18887,P_T_V,1,1,1,0,0,0.8295454545454546,0.3068181818181818,0.16062176165803108,0.7108466666666635,0.94
18887,P_T_V_M,1,1,1,1,0,0.9659090909090909,0.20454545454545456,0.1689119170984456,0.7514095238095199,0.94
18887,FULL,1,1,1,1,1,0.9204545454545454,0.23863636363636365,0.10984455958549223,0.7407552380952345,0.94
18888,base,0,0,0,0,0,0.6790123456790124,0.3950617283950617,0.34022750775594623,0.586613333333329,0.58
18888,P,1,0,0,0,0,0.7777777777777778,0.3333333333333333,0.19338159255429163,0.6951819047619012,0.8307185048761748
18888,T,0,1,0,0,0,0.6790123456790124,0.3950617283950617,0.34022750775594623,0.586613333333329,0.58
