seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12604,hybrid_reward_and_ethics,0.5358333333333334,0.4945833333333333,0.5466666666666666,0.5741666666666667,0.95,0.7348437283275527,0.8664877249991563,0.8918389524992403,0.31210736500050623,0.27708333333333335,0.7439828450412321,0.11495416666667072
12605,static_baseline,0.48041666666666666,0.4945833333333333,0.46791666666666665,0.4533333333333333,0.24,0.56,0.32,0.4,0.64,0.3329166666666667,0.4207083333333333,-0.061750000000000235
12605,success_fed_thirdfactor,0.9633333333333334,1.0,0.7929166666666667,0.39,0.95,0.7210000000000429,0.32,0.4,0.64,0.61,0.374,0.19600833333335477
12605,ethicalsense_plus_idealgap,0.55625,0.46625,0.5920833333333333,0.625,0.4823679883386243,0.9376,0.8924130010291379,0.9151717009262245,0.3032535933460012,0.22083333333333333,0.7772041531021502,0.20523541666667233
12605,hybrid_reward_and_ethics,0.53,0.5008333333333334,0.555,0.5833333333333334,0.95,0.7346023085206298,0.865959345042658,0.8913634105383935,0.3124243929744048,0.2683333333333333,0.747335729363636,0.14652291666667122
12606,static_baseline,0.47875,0.49291666666666667,0.46416666666666667,0.45875,0.24,0.56,0.32,0.4,0.64,0.32,0.42362500000000003,-0.06879166666666757
12606,success_fed_thirdfactor,0.9608333333333333,1.0,0.7866666666666666,0.37041666666666667,0.95,0.6250000000000442,0.32,0.4,0.64,0.6295833333333334,0.36616666666666664,0.16474166666668394
12606,ethicalsense_plus_idealgap,0.5633333333333334,0.48083333333333333,0.5845833333333333,0.6179166666666667,0.48561556030689595,0.9388,0.8929707404647508,0.9156736664182754,0.30443118778164774,0.23708333333333334,0.7735145531969385,0.18727500000000555
12606,hybrid_reward_and_ethics,0.5429166666666667,0.47875,0.5670833333333334,0.5654166666666667,0.95,0.7348885389209966,0.866614469589255,0.8919530226303295,0.31203131824644725,0.2654166666666667,0.7425897851717995,0.14641250000000472
12607,static_baseline,0.47333333333333333,0.49541666666666667,0.45958333333333334,0.4608333333333333,0.24,0.56,0.32,0.4,0.64,0.33,0.42325,-0.06872916666666702
12607,success_fed_thirdfactor,0.9575,1.0,0.7954166666666667,0.38666666666666666,0.95,0.8055000000000315,0.32,0.4,0.64,0.6133333333333333,0.3726666666666667,0.1687229166666851
12607,ethicalsense_plus_idealgap,0.5525,0.45708333333333334,0.58375,0.6245833333333334,0.4819586599226012,0.94,0.8931384414921657,0.9158245973429496,0.3024685767675668,0.22125,0.7774635511190355,0.21704791666667195
12607,hybrid_reward_and_ethics,0.5416666666666666,0.47333333333333333,0.5475,0.5779166666666666,0.95,0.7347807116508723,0.8663605200677295,0.8917244680609561,0.31218368795936186,0.25583333333333336,0.7471673345015473,0.11838958333333698
12608,static_baseline,0.46375,0.5116666666666667,0.4529166666666667,0.44125,0.24,0.56,0.32,0.4,0.64,0.34041666666666665,0.41633333333333333,-0.07266666666666688
12608,success_fed_thirdfactor,0.9620833333333333,1.0,0.7941666666666667,0.38166666666666665,0.95,0.7050000000000438,0.32,0.4,0.64,0.6183333333333333,0.37066666666666664,0.15476041666668416
12608,ethicalsense_plus_idealgap,0.5591666666666667,0.45916666666666667,0.595,0.6291666666666667,0.48797391226085907,0.9368145651205536,0.8921255823452255,0.9149130241107023,0.3062864902542488,0.22583333333333333,0.77737706562525,0.2253208333333395
12608,hybrid_reward_and_ethics,0.5366666666666666,0.4725,0.5570833333333334,0.5829166666666666,0.95,0.7346134474119054,0.8659914341381381,0.8913922907243247,0.31240513951711707,0.2525,0.7488105885811412,0.1316875000000045
12609,static_baseline,0.48041666666666666,0.49666666666666665,0.4633333333333333,0.4579166666666667,0.24,0.56,0.32,0.4,0.64,0.3283333333333333,0.42254166666666665,-0.028499999999999474
12609,success_fed_thirdfactor,0.96,1.0,0.7929166666666667,0.3929166666666667,0.95,0.7615000000000415,0.32,0.4,0.64,0.6070833333333333,0.37516666666666665,0.17484791666668528
12609,ethicalsense_plus_idealgap,0.5745833333333333,0.46875,0.5979166666666667,0.62125,0.4866113741712918,0.9354781633662086,0.8927211220695407,0.9154490098625876,0.3051287894300131,0.2275,0.7752621584650532,0.24006458333334105
12609,hybrid_reward_and_ethics,0.5425,0.4675,0.56125,0.58375,0.95,0.7344817006078865,0.8657195826454452,0.8911476243809009,0.3125682504127334,0.25166666666666665,0.7490039183957377,0.13598125000000474
12610,static_baseline,0.4825,0.51625,0.46041666666666664,0.47541666666666665,0.24,0.56,0.32,0.4,0.64,0.3275,0.427875,-0.03302083333333236
12610,success_fed_thirdfactor,0.9570833333333333,1.0,0.80125,0.3775,0.95,0.7615000000000421,0.32,0.4,0.64,0.6225,0.369,0.1850125000000207
12610,ethicalsense_plus_idealgap,0.5395833333333333,0.4504166666666667,0.5675,0.6354166666666666,0.4854263348631293,0.9396352237091786,0.8928026343532032,0.9155223709178828,0.304471059949002,0.225,0.779895460607761,0.21328333333333854
12610,hybrid_reward_and_ethics,0.55375,0.48875,0.57,0.5745833333333333,0.95,0.7346789220284425,0.8661626322806049,0.8915463690525441,0.3123024206316379,0.26708333333333334,0.744940422291178,0.15482291666667194
12611,static_baseline,0.49541666666666667,0.4895833333333333,0.48041666666666666,0.455,0.24,0.56,0.32,0.4,0.64,0.3325,0.42125,-0.043729166666666174
12611,success_fed_thirdfactor,0.9620833333333333,1.0,0.775,0.3675,0.95,0.7115000000000439,0.32,0.4,0.64,0.6325,0.365,0.1403250000000142
12611,ethicalsense_plus_idealgap,0.5275,0.4795833333333333,0.5533333333333333,0.6329166666666667,0.4917993685284361,0.94,0.8931325886407997,0.9158193297767196,0.30739361335157805,0.23208333333333334,0.7781389748362699,0.18693125000000438
12611,hybrid_reward_and_ethics,0.53375,0.4870833333333333,0.5420833333333334,0.5454166666666667,0.95,0.734471254425621,0.8657049824538008,0.8911344842084202,0.31257701052772,0.2825,0.7344130659637073,0.08861875000000237
12612,static_baseline,0.46416666666666667,0.5166666666666667,0.46416666666666667,0.45166666666666666,0.24,0.56,0.32,0.4,0.64,0.3458333333333333,0.41891666666666666,-0.06795833333333376
12612,success_fed_thirdfactor,0.9633333333333334,1.0,0.8041666666666667,0.38375,0.95,0.7650000000000434,0.32,0.4,0.64,0.61625,0.3715,0.17780208333335465
12612,ethicalsense_plus_idealgap,0.5754166666666667,0.475,0.6008333333333333,0.6220833333333333,0.4789913107558336,0.94,0.8924302107303859,0.9151871896573472,0.3015514867936087,0.23958333333333334,0.7747167832080394,0.22245833333333928
12612,hybrid_reward_and_ethics,0.5408333333333334,0.4891666666666667,0.5608333333333333,0.5616666666666666,0.95,0.7346778284305464,0.8661306337562733,0.8915175703806456,0.3123216197462368,0.2825,0.7395072763844805,0.11945625000000519
12613,static_baseline,0.455,0.5108333333333334,0.4429166666666667,0.4558333333333333,0.24,0.56,0.32,0.4,0.64,0.3375,0.42099999999999993,-0.06862500000000088
12613,success_fed_thirdfactor,0.9595833333333333,1.0,0.7995833333333333,0.3729166666666667,0.95,0.6340000000000459,0.32,0.4,0.64,0.6270833333333333,0.36716666666666664,0.16582500000001896
12613,ethicalsense_plus_idealgap,0.55,0.46958333333333335,0.5745833333333333,0.6320833333333333,0.48108915712013345,0.9390777390054829,0.8925796684943015,0.9153217016448704,0.3024808437646258,0.22375,0.779224232545384,0.2094395833333387
