seed,model,phase,A_TF,R_ethical,W_conf,H_self,capture_resistance
12011,protected_plus_error_attribution,6,0.95,0.9334,0.6587705606336179,0.1,0.95
12012,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12012,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12012,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12012,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12012,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12012,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12012,punitive_v254_style,1,0.34819526803372397,0.5,0.58,0.8990000000000001,0.8730000000000004
12012,punitive_v254_style,2,0.7118568062543471,0.5,0.58,0.9,0.95
12012,punitive_v254_style,3,0.7019794187094898,0.5,0.58,0.9,0.95
12012,punitive_v254_style,4,0.903692182726395,0.5,0.58,0.8900000000000005,0.95
12012,punitive_v254_style,5,0.9443728966726924,0.5056480340508104,0.58,0.8910000000000003,0.95
12012,punitive_v254_style,6,0.8453295063947693,0.5,0.58,0.9,0.95
12012,protected_thirdfactor,1,0.786707448896792,0.647249607862565,0.58,0.15399999999999958,0.95
12012,protected_thirdfactor,2,0.95,0.9295000000000004,0.58,0.1,0.95
12012,protected_thirdfactor,3,0.95,0.9377,0.58,0.1,0.95
12012,protected_thirdfactor,4,0.95,0.94,0.58,0.1,0.95
12012,protected_thirdfactor,5,0.95,0.9376000000000002,0.58,0.1,0.95
12012,protected_thirdfactor,6,0.95,0.9239999999999999,0.58,0.10600000000000001,0.95
12012,protected_plus_error_attribution,1,0.688692653240008,0.5447422457253985,0.5659306678019139,0.17139999999999977,0.95
12012,protected_plus_error_attribution,2,0.95,0.678867732624748,0.5313458899960807,0.1,0.95
12012,protected_plus_error_attribution,3,0.95,0.9334,0.5436442615679496,0.1039,0.95
12012,protected_plus_error_attribution,4,0.95,0.94,0.6150168602797175,0.1,0.95
12012,protected_plus_error_attribution,5,0.95,0.94,0.628083069133733,0.1,0.95
12012,protected_plus_error_attribution,6,0.95,0.94,0.6400567881405476,0.1,0.95
12013,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12013,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12013,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12013,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12013,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12013,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12013,punitive_v254_style,1,0.1,0.5,0.58,0.8955000000000002,0.1
12013,punitive_v254_style,2,0.1,0.5,0.58,0.9,0.1
12013,punitive_v254_style,3,0.1,0.5,0.58,0.9,0.1
12013,punitive_v254_style,4,0.1,0.5,0.58,0.8965000000000001,0.1
12013,punitive_v254_style,5,0.1,0.5,0.58,0.8925000000000005,0.1
12013,punitive_v254_style,6,0.1,0.5,0.58,0.8965000000000001,0.1
12013,protected_thirdfactor,1,0.6671283463921962,0.51703676819333,0.58,0.1,0.95
12013,protected_thirdfactor,2,0.95,0.94,0.58,0.1,0.95
12013,protected_thirdfactor,3,0.95,0.9359999999999999,0.58,0.1,0.95
12013,protected_thirdfactor,4,0.95,0.9359000000000002,0.58,0.1,0.95
12013,protected_thirdfactor,5,0.95,0.9279999999999999,0.58,0.1,0.95
12013,protected_thirdfactor,6,0.95,0.94,0.58,0.1,0.95
12013,protected_plus_error_attribution,1,0.7246973220612818,0.5109005134330472,0.5935991522316074,0.1039,0.95
12013,protected_plus_error_attribution,2,0.95,0.7926553260196106,0.5827093290453059,0.1,0.95
12013,protected_plus_error_attribution,3,0.95,0.9356,0.6718913593230829,0.1039,0.95
12013,protected_plus_error_attribution,4,0.95,0.9378,0.6767920967293144,0.1,0.95
12013,protected_plus_error_attribution,5,0.95,0.94,0.6594886104840216,0.1,0.95
12013,protected_plus_error_attribution,6,0.95,0.9378,0.686926054870422,0.1,0.95
12014,static_no_update,1,0.24,0.55,0.58,0.66,0.3
12014,static_no_update,2,0.24,0.55,0.58,0.66,0.3
12014,static_no_update,3,0.24,0.55,0.58,0.66,0.3
12014,static_no_update,4,0.24,0.55,0.58,0.66,0.3
12014,static_no_update,5,0.24,0.55,0.58,0.66,0.3
12014,static_no_update,6,0.24,0.55,0.58,0.66,0.3
12014,punitive_v254_style,1,0.1,0.5,0.58,0.9,0.1
12014,punitive_v254_style,2,0.1,0.5012000000000001,0.58,0.8860000000000002,0.1
12014,punitive_v254_style,3,0.1,0.5,0.58,0.9,0.1
12014,punitive_v254_style,4,0.1,0.5,0.58,0.9,0.1
12014,punitive_v254_style,5,0.1,0.5,0.58,0.8965000000000001,0.1
12014,punitive_v254_style,6,0.1,0.5,0.58,0.8955000000000002,0.1
