seed,dimension,tested_value,A_TF,I,C_T,R_C,H_self,geometric_maturity,joint_interaction,target_reliability,ethical_sensitivity,ethical_sense_reliability_realized,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,deep_path_activation_rate
11602,C_T,0.2,0.86,0.86,0.2,0.84,0.18,0.6333211727795957,0.5446562085904523,0.8427534187083172,0.74655,0.8357314148681055,0.7775,0.7722222222222223,0.5377500000000013,0.695
11602,R_C,0.75,0.86,0.86,0.84,0.75,0.18,0.8249550033260091,0.7094613028603679,0.94,0.809525,0.9463687150837988,0.8725,0.8695652173913043,0.7102083333333424,0.7458333333333333
11602,R_C,0.6,0.86,0.86,0.84,0.6,0.18,0.7889477796451271,0.6784950904948094,0.9269785383439428,0.79715,0.9370165745856354,0.8566666666666667,0.85,0.688958333333343,0.7541666666666667
11602,R_C,0.5,0.86,0.86,0.84,0.5,0.18,0.760697535183348,0.6541998802576794,0.911689506041228,0.7889,0.9287305122494433,0.8558333333333333,0.8444444444444444,0.6784166666666757,0.7483333333333333
11602,R_C,0.4,0.86,0.86,0.84,0.4,0.18,0.7274949893567145,0.6256456908467746,0.8937202882398539,0.7806500000000001,0.8986013986013986,0.8225,0.8241758241758241,0.6267500000000064,0.715
11602,R_C,0.3,0.86,0.86,0.84,0.3,0.18,0.6868189339812918,0.590664283223911,0.8717064070706751,0.7724000000000001,0.883855981416957,0.8325,0.8525519848771267,0.6666250000000078,0.7175
11602,R_C,0.2,0.86,0.86,0.84,0.2,0.18,0.6333211727795957,0.5446562085904523,0.8427534187083172,0.7641500000000001,0.84192037470726,0.7725,0.7532467532467533,0.5152500000000003,0.7116666666666667
11602,one_minus_H_self,0.75,0.86,0.86,0.84,0.84,0.25,0.8289404787802094,0.7128888117509802,0.94,0.8285,0.9401330376940134,0.8708333333333333,0.8861003861003861,0.7349166666666781,0.7516666666666667
11602,one_minus_H_self,0.6,0.86,0.86,0.84,0.84,0.4,0.7927592990586034,0.6817729971903991,0.9290413326505162,0.8532500000000001,0.9186652763295099,0.86,0.8492647058823529,0.6833750000000101,0.7991666666666667
11602,one_minus_H_self,0.5,0.86,0.86,0.84,0.84,0.5,0.7643725736306823,0.6573604133223869,0.9136784368489252,0.86975,0.9223697650663942,0.8716666666666667,0.8680926916221033,0.7075416666666771,0.8158333333333333
11602,one_minus_H_self,0.4,0.86,0.86,0.84,0.84,0.6,0.7310096215626473,0.6286682745438767,0.8956224071897048,0.88625,0.8872255489021956,0.855,0.829136690647482,0.6549166666666739,0.835
11602,one_minus_H_self,0.3,0.86,0.86,0.84,0.84,0.7,0.6901370543537078,0.5935178667441887,0.8735021738162266,0.9027499999999999,0.885,0.8433333333333334,0.8620071684587813,0.6733333333333433,0.8333333333333334
11602,one_minus_H_self,0.2,0.86,0.86,0.84,0.84,0.8,0.636380837826249,0.5472875205305742,0.844409309431566,0.91925,0.8504761904761905,0.8325,0.8413001912045889,0.6504166666666767,0.875
