seed,model,critical_recall,critical_precision,f1_like,false_alarm_rate,miss_rate,review_trigger_rate,irreversible_core_violation_rate,net_vigilance_value,long_term_trajectory_value,final_threshold
14650,fixed_threshold,0.6979260595130748,0.4236453201970443,0.5272479564032697,0.16983870967741935,0.30207394048692515,0.2946774193548387,0.1388638412984671,0.6710434099204506,0.8837454838709441,0.58
14650,calibrated_score,0.35486649440137813,0.5794655414908579,0.44017094017094016,0.0482258064516129,0.6451335055986219,0.1146774193548387,0.15503875968992248,0.603612772778286,0.8578138709677331,0.6
14650,structural_score,0.44040036396724297,0.4019933554817276,0.4203213200173687,0.11612903225806452,0.5595996360327571,0.19419354838709676,0.1610555050045496,0.5732381712352566,0.8592490322580507,0.17
14650,adaptive_detector,0.07180851063829788,0.6328125,0.12898089171974525,0.007580645161290323,0.9281914893617021,0.02064516129032258,0.2632978723404255,0.5009825583390528,0.7526464516129054,0.76
14651,fixed_threshold,0.7196691176470589,0.4225580140313006,0.532471948316899,0.17258064516129032,0.2803308823529412,0.2988709677419355,0.12867647058823528,0.6801377572114966,0.8955254838709437,0.58
14651,calibrated_score,0.33041191936897457,0.5601783060921248,0.4156560088202867,0.04774193548387097,0.6695880806310254,0.1085483870967742,0.1831726555652936,0.5845052817884615,0.8319964516128954,0.6
14651,structural_score,0.4614019520851819,0.40435458786936235,0.43099875673435556,0.1235483870967742,0.5385980479148181,0.20741935483870969,0.14374445430346053,0.5833142040298176,0.8718703225806305,0.17
14651,adaptive_detector,0.06244424620874219,0.603448275862069,0.11317704122877931,0.007419354838709678,0.9375557537912578,0.01870967741935484,0.25245316681534347,0.4909663402392787,0.7641896774193573,0.76
14652,fixed_threshold,0.7160037002775208,0.415905427189683,0.5261726716519375,0.1753225806451613,0.2839962997224792,0.30016129032258065,0.11933395004625347,0.6778834291950396,0.9035074193548134,0.58
14652,calibrated_score,0.33509234828496043,0.5652818991097923,0.42076200993926016,0.04725806451612903,0.6649076517150396,0.10870967741935483,0.1644678979771328,0.5907927088097823,0.8514780645161194,0.6
14652,structural_score,0.4665523156089194,0.4233463035019455,0.44390044879640966,0.11951612903225807,0.5334476843910806,0.20725806451612902,0.13379073756432247,0.592907423675836,0.8783241935483704,0.17
14652,adaptive_detector,0.06906338694418164,0.6293103448275862,0.12446717817561805,0.006935483870967742,0.9309366130558183,0.01870967741935484,0.2771996215704825,0.4968506570424618,0.755738064516132,0.76
14653,fixed_threshold,0.7022421524663677,0.4255434782608696,0.5299492385786801,0.17048387096774192,0.29775784753363227,0.2967741935483871,0.1273542600896861,0.67494041346172,0.8937161290322339,0.58
14653,calibrated_score,0.3410097431355182,0.5661764705882353,0.42564953012714213,0.04758064516129032,0.6589902568644819,0.10967741935483871,0.183348095659876,0.5902129027215903,0.8339806451612833,0.6
14653,structural_score,0.4538878842676311,0.406807131280389,0.4290598290598291,0.11806451612903225,0.546112115732369,0.19903225806451613,0.14466546112115733,0.5819853060975978,0.8738909677419227,0.17
14653,adaptive_detector,0.07988980716253444,0.6258992805755396,0.14169381107491855,0.008387096774193548,0.9201101928374655,0.022419354838709677,0.2800734618916437,0.49928849396089636,0.7460087096774206,0.76
14654,fixed_threshold,0.7157802964254577,0.43670212765957445,0.5424512718863561,0.17080645161290323,0.2842197035745423,0.3032258064516129,0.13077593722755013,0.6826037971396242,0.887625806451588,0.58
14654,calibrated_score,0.33362989323843417,0.5129958960328317,0.4043126684636118,0.05741935483870968,0.6663701067615658,0.11790322580645161,0.19661921708185054,0.568623651715734,0.821478387096768,0.6
14654,structural_score,0.44307149161518095,0.3909657320872274,0.41539098055440626,0.12612903225806452,0.5569285083848191,0.20709677419354838,0.14298323036187113,0.5722570291338415,0.8721651612903073,0.17
14654,adaptive_detector,0.09204647006255585,0.7103448275862069,0.1629746835443038,0.0067741935483870966,0.9079535299374442,0.02338709677419355,0.2877569258266309,0.5266137473769386,0.7322854838709699,0.76
14655,fixed_threshold,0.6708860759493671,0.4094922737306843,0.5085675119945168,0.17258064516129032,0.3291139240506329,0.292258064516129,0.1491862567811935,0.6546602282913279,0.8726503225806237,0.58
14655,calibrated_score,0.30097087378640774,0.5344827586206896,0.3850931677018633,0.047903225806451614,0.6990291262135923,0.10290322580645161,0.18623124448367168,0.5656045246900793,0.8294303225806378,0.6
