seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost
9123,memoryless_long_horizon,-0.006666666666666617,0.5046875,0.4953125,0.0,0.0
9123,simple_decay_memory,0.21533333333333474,0.678125,0.321875,0.0,0.0
9123,tdc_gen25_gated,0.28733333333333844,0.734375,0.265625,0.21066666666666667,0.0
9124,simple_principle,-0.0489666666666663,0.48425787106446777,0.5157421289355323,0.0,0.0
9124,memoryless_long_horizon,-0.0489666666666663,0.48425787106446777,0.5157421289355323,0.0,0.0
9124,simple_decay_memory,0.18903333333333172,0.6626686656671664,0.3373313343328336,0.0,0.0
9124,tdc_gen25_gated,0.2590333333333367,0.7151424287856072,0.2848575712143928,0.212,0.0
9125,simple_principle,-0.029133333333332886,0.49697885196374625,0.5030211480362538,0.0,0.0
9125,memoryless_long_horizon,-0.029133333333332886,0.49697885196374625,0.5030211480362538,0.0,0.0
9125,simple_decay_memory,0.2368666666666687,0.6978851963746223,0.3021148036253776,0.0,0.0
9125,tdc_gen25_gated,0.27886666666667037,0.729607250755287,0.270392749244713,0.21133333333333335,0.0
9126,simple_principle,-0.01969999999999974,0.4913112164296998,0.5086887835703001,0.0,0.0
9126,memoryless_long_horizon,-0.01969999999999974,0.4913112164296998,0.5086887835703001,0.0,0.0
9126,simple_decay_memory,0.23230000000000162,0.6903633491311216,0.30963665086887837,0.0,0.0
9126,tdc_gen25_gated,0.28430000000000444,0.731437598736177,0.2685624012638231,0.212,0.0
9127,simple_principle,-0.004166666666666719,0.5129770992366413,0.4870229007633588,0.0,0.0
9127,memoryless_long_horizon,-0.004166666666666719,0.5129770992366413,0.4870229007633588,0.0,0.0
9127,simple_decay_memory,0.2598333333333364,0.7145038167938931,0.28549618320610687,0.0,0.0
9127,tdc_gen25_gated,0.3218333333333378,0.7618320610687023,0.2381679389312977,0.21666666666666667,0.0
9128,simple_principle,-0.08500000000000153,0.4681159420289855,0.5318840579710145,0.0,0.0
9128,memoryless_long_horizon,-0.08500000000000153,0.4681159420289855,0.5318840579710145,0.0,0.0
9128,simple_decay_memory,0.18699999999999956,0.6652173913043479,0.3347826086956522,0.0,0.0
9128,tdc_gen25_gated,0.2570000000000026,0.7159420289855073,0.28405797101449276,0.22266666666666668,0.0
9129,simple_principle,-0.04096666666666658,0.49025487256371814,0.5097451274362819,0.0,0.0
9129,memoryless_long_horizon,-0.04096666666666658,0.49025487256371814,0.5097451274362819,0.0,0.0
9129,simple_decay_memory,0.20503333333333368,0.6746626686656672,0.32533733133433285,0.0,0.0
9129,tdc_gen25_gated,0.2610333333333369,0.7166416791604198,0.28335832083958024,0.21133333333333335,0.0
9130,simple_principle,-0.02713333333333303,0.4984894259818731,0.5015105740181269,0.0,0.0
9130,memoryless_long_horizon,-0.02713333333333303,0.4984894259818731,0.5015105740181269,0.0,0.0
9130,simple_decay_memory,0.2228666666666689,0.6873111782477341,0.31268882175226587,0.0,0.0
9130,tdc_gen25_gated,0.2948666666666699,0.7416918429003021,0.2583081570996979,0.214,0.0
9131,simple_principle,-0.03646666666666701,0.5,0.5,0.0,0.0
9131,memoryless_long_horizon,-0.03646666666666701,0.5,0.5,0.0,0.0
9131,simple_decay_memory,0.22553333333333497,0.6920821114369502,0.30791788856304986,0.0,0.0
9131,tdc_gen25_gated,0.2895333333333371,0.7390029325513197,0.26099706744868034,0.23133333333333334,0.0
9132,simple_principle,-0.05110000000000085,0.49642346208869814,0.5035765379113019,0.0,0.0
9132,memoryless_long_horizon,-0.05110000000000085,0.49642346208869814,0.5035765379113019,0.0,0.0
9132,simple_decay_memory,0.23490000000000244,0.7010014306151645,0.2989985693848355,0.0,0.0
9132,tdc_gen25_gated,0.29090000000000377,0.7410586552217453,0.25894134477825465,0.22,0.0
9133,simple_principle,-0.049000000000000266,0.49420289855072463,0.5057971014492754,0.0,0.0
9133,memoryless_long_horizon,-0.049000000000000266,0.49420289855072463,0.5057971014492754,0.0,0.0
9133,simple_decay_memory,0.21900000000000033,0.6884057971014492,0.3115942028985507,0.0,0.0
9133,tdc_gen25_gated,0.259000000000003,0.717391304347826,0.2826086956521739,0.22266666666666668,0.0
9134,simple_principle,-0.04783333333333297,0.4842105263157895,0.5157894736842106,0.0,0.0
9134,memoryless_long_horizon,-0.04783333333333297,0.4842105263157895,0.5157894736842106,0.0,0.0
9134,simple_decay_memory,0.21416666666666873,0.681203007518797,0.318796992481203,0.0,0.0
