seed,policy,long_term_trajectory_value,decision_accuracy,high_stakes_accuracy,severe_error_rate,deep_path_activation_rate,mean_ethics_salience
10304,simple_majority_vote,0.2147777777777777,0.6427777777777778,0.6356413166855845,0.36435868331441545,0.0,0.0
10304,flat_weighted_integrator,0.2147777777777777,0.6427777777777778,0.6356413166855845,0.36435868331441545,0.0,0.0
10304,ethical_sense_metaperception,0.1649555555555538,0.6427777777777778,0.6356413166855845,0.36435868331441545,0.6227777777777778,0.5608277777777768
10304,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10305,single_best_modality,0.10377777777777691,0.5744444444444444,0.5837264150943396,0.41627358490566035,0.0,0.0
10305,simple_majority_vote,0.2345555555555564,0.6438888888888888,0.6379716981132075,0.36202830188679247,0.0,0.0
10305,flat_weighted_integrator,0.2345555555555564,0.6438888888888888,0.6379716981132075,0.36202830188679247,0.0,0.0
10305,ethical_sense_metaperception,0.18504444444444593,0.6438888888888888,0.6379716981132075,0.36202830188679247,0.6188888888888889,0.5631277777777757
10305,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10306,single_best_modality,0.02711111111111138,0.5511111111111111,0.5518814139110604,0.44811858608893956,0.0,0.0
10306,simple_majority_vote,0.17955555555555552,0.6222222222222222,0.621436716077537,0.37856328392246297,0.0,0.0
10306,flat_weighted_integrator,0.17955555555555552,0.6222222222222222,0.621436716077537,0.37856328392246297,0.0,0.0
10306,ethical_sense_metaperception,0.1300888888888844,0.6222222222222222,0.621436716077537,0.37856328392246297,0.6183333333333333,0.5531999999999978
10306,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10307,single_best_modality,0.054333333333333164,0.5716666666666667,0.5408284023668639,0.4591715976331361,0.0,0.0
10307,simple_majority_vote,0.1855555555555555,0.6188888888888889,0.6153846153846154,0.38461538461538464,0.0,0.0
10307,flat_weighted_integrator,0.1855555555555555,0.6188888888888889,0.6153846153846154,0.38461538461538464,0.0,0.0
10307,ethical_sense_metaperception,0.1341777777777744,0.6188888888888889,0.6153846153846154,0.38461538461538464,0.6422222222222222,0.5676722222222207
10307,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10308,single_best_modality,0.0788888888888881,0.5722222222222222,0.5785876993166287,0.4214123006833713,0.0,0.0
10308,simple_majority_vote,0.20422222222222286,0.6322222222222222,0.6343963553530751,0.36560364464692485,0.0,0.0
10308,flat_weighted_integrator,0.20422222222222286,0.6322222222222222,0.6343963553530751,0.36560364464692485,0.0,0.0
10308,ethical_sense_metaperception,0.1551555555555526,0.6322222222222222,0.6343963553530751,0.36560364464692485,0.6133333333333333,0.5525888888888881
10308,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10309,single_best_modality,0.04211111111111062,0.5527777777777778,0.5424133811230586,0.45758661887694146,0.0,0.0
10309,simple_majority_vote,0.20822222222222328,0.6322222222222222,0.6200716845878136,0.37992831541218636,0.0,0.0
10309,flat_weighted_integrator,0.20822222222222328,0.6322222222222222,0.6200716845878136,0.37992831541218636,0.0,0.0
10309,ethical_sense_metaperception,0.1600000000000002,0.6322222222222222,0.6200716845878136,0.37992831541218636,0.6027777777777777,0.5509499999999987
10309,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10310,single_best_modality,0.08977777777777723,0.5711111111111111,0.5767878077373975,0.4232121922626026,0.0,0.0
10310,simple_majority_vote,0.2454444444444457,0.6427777777777778,0.6506447831184057,0.3493552168815944,0.0,0.0
10310,flat_weighted_integrator,0.2454444444444457,0.6427777777777778,0.6506447831184057,0.3493552168815944,0.0,0.0
10310,ethical_sense_metaperception,0.1951333333333327,0.6427777777777778,0.6506447831184057,0.3493552168815944,0.6288888888888889,0.5650222222222214
10310,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10311,single_best_modality,0.10944444444444372,0.5694444444444444,0.5838359469240049,0.4161640530759952,0.0,0.0
10311,simple_majority_vote,0.24666666666666767,0.6333333333333333,0.6501809408926418,0.3498190591073583,0.0,0.0
10311,flat_weighted_integrator,0.24666666666666767,0.6333333333333333,0.6501809408926418,0.3498190591073583,0.0,0.0
10311,ethical_sense_metaperception,0.19711111111110952,0.6333333333333333,0.6501809408926418,0.3498190591073583,0.6194444444444445,0.5520611111111107
10311,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10312,single_best_modality,0.07677777777777749,0.5727777777777778,0.5834266517357223,0.4165733482642777,0.0,0.0
10312,simple_majority_vote,0.19044444444444467,0.6344444444444445,0.6270996640537514,0.3729003359462486,0.0,0.0
10312,flat_weighted_integrator,0.19044444444444467,0.6344444444444445,0.6270996640537514,0.3729003359462486,0.0,0.0
10312,ethical_sense_metaperception,0.14088888888888534,0.6344444444444445,0.6270996640537514,0.3729003359462486,0.6194444444444445,0.5514666666666654
10312,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10313,single_best_modality,0.07811111111111073,0.5727777777777778,0.5572792362768496,0.44272076372315033,0.0,0.0
10313,simple_majority_vote,0.2935555555555568,0.6655555555555556,0.6670644391408115,0.3329355608591885,0.0,0.0
10313,flat_weighted_integrator,0.2935555555555568,0.6655555555555556,0.6670644391408115,0.3329355608591885,0.0,0.0
10313,ethical_sense_metaperception,0.24377777777778084,0.6655555555555556,0.6670644391408115,0.3329355608591885,0.6222222222222222,0.5625222222222205
10313,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10314,single_best_modality,0.08577777777777741,0.5644444444444444,0.5710872162485066,0.42891278375149344,0.0,0.0
10314,simple_majority_vote,0.255111111111112,0.6377777777777778,0.6571087216248507,0.3428912783751493,0.0,0.0
10314,flat_weighted_integrator,0.255111111111112,0.6377777777777778,0.6571087216248507,0.3428912783751493,0.0,0.0
10314,ethical_sense_metaperception,0.2055555555555574,0.6377777777777778,0.6571087216248507,0.3428912783751493,0.6194444444444445,0.5606555555555548
10314,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10315,single_best_modality,0.11522222222222135,0.5872222222222222,0.5935706084959816,0.40642939150401836,0.0,0.0
10315,simple_majority_vote,0.22822222222222277,0.6455555555555555,0.6406429391504018,0.3593570608495982,0.0,0.0
10315,flat_weighted_integrator,0.22822222222222277,0.6455555555555555,0.6406429391504018,0.3593570608495982,0.0,0.0
10315,ethical_sense_metaperception,0.1775555555555549,0.6455555555555555,0.6406429391504018,0.3593570608495982,0.6333333333333333,0.5667499999999984
10315,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10316,single_best_modality,0.09777777777777695,0.5777777777777777,0.5764705882352941,0.4235294117647059,0.0,0.0
10316,simple_majority_vote,0.22211111111111279,0.6394444444444445,0.6317647058823529,0.36823529411764705,0.0,0.0
10316,flat_weighted_integrator,0.22211111111111279,0.6394444444444445,0.6317647058823529,0.36823529411764705,0.0,0.0
10316,ethical_sense_metaperception,0.1737111111111124,0.6394444444444445,0.6317647058823529,0.36823529411764705,0.605,0.5601333333333318
10316,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10317,single_best_modality,0.1232222222222217,0.5938888888888889,0.5832349468713105,0.4167650531286895,0.0,0.0
10317,simple_majority_vote,0.2721111111111126,0.6627777777777778,0.654073199527745,0.345926800472255,0.0,0.0
10317,flat_weighted_integrator,0.2721111111111126,0.6627777777777778,0.654073199527745,0.345926800472255,0.0,0.0
10317,ethical_sense_metaperception,0.22375555555555698,0.6627777777777778,0.654073199527745,0.345926800472255,0.6044444444444445,0.5509611111111097
10317,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10318,single_best_modality,0.10433333333333268,0.5816666666666667,0.5880322209436134,0.41196777905638665,0.0,0.0
10318,simple_majority_vote,0.20477777777777856,0.6327777777777778,0.6306098964326813,0.3693901035673188,0.0,0.0
10318,flat_weighted_integrator,0.20477777777777856,0.6327777777777778,0.6306098964326813,0.3693901035673188,0.0,0.0
10318,ethical_sense_metaperception,0.1539333333333307,0.6327777777777778,0.6306098964326813,0.3693901035673188,0.6355555555555555,0.5614944444444426
10318,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10319,single_best_modality,0.06911111111111096,0.5677777777777778,0.557396449704142,0.44260355029585796,0.0,0.0
10319,simple_majority_vote,0.14222222222222144,0.6088888888888889,0.5857988165680473,0.41420118343195267,0.0,0.0
10319,flat_weighted_integrator,0.14222222222222144,0.6088888888888889,0.5857988165680473,0.41420118343195267,0.0,0.0
10319,ethical_sense_metaperception,0.09319999999999869,0.6088888888888889,0.5857988165680473,0.41420118343195267,0.6127777777777778,0.5585944444444441
10319,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10320,single_best_modality,0.0778888888888881,0.5672222222222222,0.5829545454545455,0.41704545454545455,0.0,0.0
10320,simple_majority_vote,0.2278888888888903,0.6438888888888888,0.6454545454545455,0.35454545454545455,0.0,0.0
10320,flat_weighted_integrator,0.2278888888888903,0.6438888888888888,0.6454545454545455,0.35454545454545455,0.0,0.0
10320,ethical_sense_metaperception,0.17691111111111013,0.6438888888888888,0.6454545454545455,0.35454545454545455,0.6372222222222222,0.559755555555555
10320,oracle_latent_audit_only,1.0,1.0,1.0,0.0,0.0,0.0
10321,single_best_modality,0.1149999999999994,0.5816666666666667,0.5867768595041323,0.4132231404958678,0.0,0.0
10321,simple_majority_vote,0.2524444444444454,0.6511111111111111,0.6469893742621016,0.3530106257378985,0.0,0.0
10321,flat_weighted_integrator,0.2524444444444454,0.6511111111111111,0.6469893742621016,0.3530106257378985,0.0,0.0
10321,ethical_sense_metaperception,0.20253333333333362,0.6511111111111111,0.6469893742621016,0.3530106257378985,0.6238888888888889,0.5628611111111098
