seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost
9337,ablate_channel_separation,0.15643333333333098,0.6369137670196672,0.3630862329803328,0.20333333333333334,0.0
9338,simple_decay_memory,0.23866666666666897,0.7014705882352941,0.2985294117647059,0.0,0.0
9338,full_tdc_gen25_gated,0.2846666666666708,0.7352941176470589,0.2647058823529412,0.224,0.0
9338,ablate_gate_always_deep,0.4349333333333381,0.8779411764705882,0.12205882352941176,1.0,0.07999999999999872
9338,ablate_context_selection,0.22066666666666668,0.6882352941176471,0.31176470588235294,0.31133333333333335,0.0
9338,ablate_channel_separation,0.1746666666666646,0.6544117647058824,0.34558823529411764,0.232,0.0
9339,simple_decay_memory,0.22380000000000044,0.6902654867256637,0.30973451327433627,0.0,0.0
9339,full_tdc_gen25_gated,0.2638000000000028,0.7197640117994101,0.28023598820059,0.21866666666666668,0.0
9339,ablate_gate_always_deep,0.43996000000000274,0.8820058997050148,0.11799410029498525,1.0,0.07999999999999872
9339,ablate_context_selection,0.20779999999999996,0.6784660766961652,0.3215339233038348,0.30333333333333334,0.0
9339,ablate_channel_separation,0.15779999999999753,0.6415929203539823,0.3584070796460177,0.21533333333333332,0.0
9340,simple_decay_memory,0.21513333333333412,0.6808510638297872,0.3191489361702128,0.0,0.0
9340,full_tdc_gen25_gated,0.26513333333333616,0.7188449848024316,0.2811550151975684,0.20733333333333334,0.0
9340,ablate_gate_always_deep,0.43022666666667075,0.878419452887538,0.12158054711246201,1.0,0.07999999999999871
9340,ablate_context_selection,0.1971333333333336,0.6671732522796353,0.33282674772036475,0.292,0.0
9340,ablate_channel_separation,0.14113333333333097,0.6246200607902735,0.37537993920972645,0.2,0.0
9341,simple_decay_memory,0.21723333333333403,0.6810477657935285,0.3189522342064715,0.0,0.0
9341,full_tdc_gen25_gated,0.29123333333333806,0.7380585516178737,0.26194144838212635,0.20666666666666667,0.0
9341,ablate_gate_always_deep,0.4278466666666721,0.8782742681047766,0.12172573189522343,1.0,0.07999999999999871
9341,ablate_context_selection,0.21723333333333383,0.6810477657935285,0.3189522342064715,0.2906666666666667,0.0
9341,ablate_channel_separation,0.1892333333333321,0.6594761171032357,0.3405238828967643,0.19866666666666666,0.0
9342,simple_decay_memory,0.2475666666666691,0.7056145675265554,0.2943854324734446,0.0,0.0
9342,full_tdc_gen25_gated,0.26956666666667,0.7223065250379362,0.27769347496206376,0.21266666666666667,0.0
9342,ablate_gate_always_deep,0.42471333333333794,0.874051593323217,0.125948406676783,1.0,0.07999999999999871
9342,ablate_context_selection,0.23556666666666828,0.6965098634294385,0.30349013657056145,0.29933333333333334,0.0
9342,ablate_channel_separation,0.16756666666666412,0.644916540212443,0.3550834597875569,0.20733333333333334,0.0
9343,simple_decay_memory,0.24800000000000175,0.706060606060606,0.29393939393939394,0.0,0.0
9343,full_tdc_gen25_gated,0.2640000000000023,0.7181818181818181,0.2818181818181818,0.20066666666666666,0.0
9343,ablate_gate_always_deep,0.43520000000000414,0.8818181818181818,0.11818181818181818,1.0,0.07999999999999871
9343,ablate_context_selection,0.21400000000000047,0.6803030303030303,0.3196969696969697,0.3,0.0
