seed,discount,model,gross_trajectory,avg_base_info_cost,applied_discount,net_trajectory,final_recall,core_protection,capture_resistance,final_quality
18007,0.75,tdc_evidence_validated,0.7178968888888848,0.04158344610360555,0.75,0.6867093043111806,0.8571428571428571,0.6938775510204082,0.8352059925093633,0.9101135983468631
18007,1.0,simple_q090_a008,0.7260604444444416,0.05631999999999951,1.0,0.6697404444444421,0.8241758241758241,0.6373626373626373,0.8599412340842312,0.9
18007,1.0,simple_q090_a016,0.7493128888888866,0.05631999999999951,1.0,0.6929928888888871,0.9125,0.75,0.8815533980582524,0.9
18007,1.0,tdc_evidence_validated,0.7178968888888848,0.04158344610360555,1.0,0.6763134427852793,0.8571428571428571,0.6938775510204082,0.8352059925093633,0.9101135983468631
18007,1.25,simple_q090_a008,0.7260604444444416,0.05631999999999951,1.0,0.6697404444444421,0.8241758241758241,0.6373626373626373,0.8599412340842312,0.9
18007,1.25,simple_q090_a016,0.7493128888888866,0.05631999999999951,1.0,0.6929928888888871,0.9125,0.75,0.8815533980582524,0.9
18007,1.25,tdc_evidence_validated,0.7178968888888848,0.04158344610360555,1.25,0.6659175812593778,0.8571428571428571,0.6938775510204082,0.8352059925093633,0.9101135983468631
18008,0.25,simple_q090_a008,0.7630364444444423,0.05631999999999951,1.0,0.7067164444444428,0.9,0.75,0.8554801163918526,0.9
18008,0.25,simple_q090_a016,0.7309502222222196,0.05631999999999951,1.0,0.6746302222222201,0.7872340425531915,0.6914893617021276,0.881488736532811,0.9
18008,0.25,tdc_evidence_validated,0.6970382222222181,0.039059965560279734,0.25,0.6872732308321482,0.9036144578313253,0.7228915662650602,0.8423645320197044,0.9090652884654783
18008,0.5,simple_q090_a008,0.7630364444444423,0.05631999999999951,1.0,0.7067164444444428,0.9,0.75,0.8554801163918526,0.9
18008,0.5,simple_q090_a016,0.7309502222222196,0.05631999999999951,1.0,0.6746302222222201,0.7872340425531915,0.6914893617021276,0.881488736532811,0.9
18008,0.5,tdc_evidence_validated,0.6970382222222181,0.039059965560279734,0.5,0.6775082394420783,0.9036144578313253,0.7228915662650602,0.8423645320197044,0.9090652884654783
18008,0.75,simple_q090_a008,0.7630364444444423,0.05631999999999951,1.0,0.7067164444444428,0.9,0.75,0.8554801163918526,0.9
18008,0.75,simple_q090_a016,0.7309502222222196,0.05631999999999951,1.0,0.6746302222222201,0.7872340425531915,0.6914893617021276,0.881488736532811,0.9
18008,0.75,tdc_evidence_validated,0.6970382222222181,0.039059965560279734,0.75,0.6677432480520084,0.9036144578313253,0.7228915662650602,0.8423645320197044,0.9090652884654783
18008,1.0,simple_q090_a008,0.7630364444444423,0.05631999999999951,1.0,0.7067164444444428,0.9,0.75,0.8554801163918526,0.9
18008,1.0,simple_q090_a016,0.7309502222222196,0.05631999999999951,1.0,0.6746302222222201,0.7872340425531915,0.6914893617021276,0.881488736532811,0.9
18008,1.0,tdc_evidence_validated,0.6970382222222181,0.039059965560279734,1.0,0.6579782566619384,0.9036144578313253,0.7228915662650602,0.8423645320197044,0.9090652884654783
18008,1.25,simple_q090_a008,0.7630364444444423,0.05631999999999951,1.0,0.7067164444444428,0.9,0.75,0.8554801163918526,0.9
18008,1.25,simple_q090_a016,0.7309502222222196,0.05631999999999951,1.0,0.6746302222222201,0.7872340425531915,0.6914893617021276,0.881488736532811,0.9
18008,1.25,tdc_evidence_validated,0.6970382222222181,0.039059965560279734,1.25,0.6482132652718684,0.9036144578313253,0.7228915662650602,0.8423645320197044,0.9090652884654783
18009,0.25,simple_q090_a008,0.7812897777777754,0.05631999999999951,1.0,0.7249697777777759,0.8780487804878049,0.7317073170731707,0.8647581441263573,0.9
18009,0.25,simple_q090_a016,0.712391999999997,0.05631999999999951,1.0,0.6560719999999975,0.875,0.65,0.8757281553398059,0.9
18009,0.25,tdc_evidence_validated,0.7079608888888854,0.039074665583391684,0.25,0.6981922224930375,0.8375,0.6875,0.8039800995024875,0.909238331121119
18009,0.5,simple_q090_a008,0.7812897777777754,0.05631999999999951,1.0,0.7249697777777759,0.8780487804878049,0.7317073170731707,0.8647581441263573,0.9
18009,0.5,simple_q090_a016,0.712391999999997,0.05631999999999951,1.0,0.6560719999999975,0.875,0.65,0.8757281553398059,0.9
18009,0.5,tdc_evidence_validated,0.7079608888888854,0.039074665583391684,0.5,0.6884235560971895,0.8375,0.6875,0.8039800995024875,0.909238331121119
18009,0.75,simple_q090_a008,0.7812897777777754,0.05631999999999951,1.0,0.7249697777777759,0.8780487804878049,0.7317073170731707,0.8647581441263573,0.9
18009,0.75,simple_q090_a016,0.712391999999997,0.05631999999999951,1.0,0.6560719999999975,0.875,0.65,0.8757281553398059,0.9
18009,0.75,tdc_evidence_validated,0.7079608888888854,0.039074665583391684,0.75,0.6786548897013417,0.8375,0.6875,0.8039800995024875,0.909238331121119
18009,1.0,simple_q090_a008,0.7812897777777754,0.05631999999999951,1.0,0.7249697777777759,0.8780487804878049,0.7317073170731707,0.8647581441263573,0.9
