seed,model,final_A_TF,final_R_ethical,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,early_R_gain,late_R_gain
11817,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4583333333333333,0.4174484052532833,-0.059166666666666666,0.7266355140186916,-0.03820000000000001,0.0
11818,no_codevelopment,0.22,0.54,0.68,0.28,0.5058333333333334,0.4634146341463415,0.010833333333333334,0.6897767332549941,0.0,0.0
11818,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.49083333333333334,0.43156934306569344,-0.028333333333333332,0.6770573566084788,-0.040000000000000036,0.0
11818,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47583333333333333,0.425414364640884,-0.04416666666666667,0.6963226571767497,-0.040000000000000036,-0.0018000000000000238
11819,no_codevelopment,0.22,0.54,0.68,0.28,0.49333333333333335,0.44014732965009207,-0.013333333333333334,0.6953405017921147,0.0,0.0
11819,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.47208333333333335,0.42803030303030304,-0.03125,0.6843345111896348,-0.040000000000000036,0.0
11819,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4683333333333333,0.43667296786389415,-0.028333333333333332,0.704225352112676,-0.040000000000000036,0.0
11820,no_codevelopment,0.22,0.54,0.68,0.28,0.4970833333333333,0.4644808743169399,0.007083333333333333,0.7090464547677262,0.0,0.0
11820,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.5066666666666667,0.43534883720930234,0.0008333333333333334,0.6552598225602028,-0.040000000000000036,0.0
11820,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47,0.42778288868445263,-0.04833333333333333,0.6962174940898345,-0.040000000000000036,-0.0018000000000000238
11821,no_codevelopment,0.22,0.54,0.68,0.28,0.5025,0.45387453874538747,0.009166666666666667,0.6858457997698504,0.0,0.0
11821,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.46875,0.4046242774566474,-0.04625,0.7006960556844548,-0.040000000000000036,0.0
11821,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.47,0.4246704331450094,-0.03916666666666667,0.7342233009708737,-0.040000000000000036,0.0
