seed,model,phase,A_TF,R_ethical,H_self,capture_resistance,R_gain_in_phase
11808,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11808,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11808,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11808,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11808,one_way_thirdfactor_to_ethicalsense,5,0.22,0.50396,0.9,0.1,0.0039599999999999635
11808,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,-0.0039599999999999635
11808,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11808,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11808,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11808,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11808,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11808,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11809,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11809,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11809,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11809,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11809,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11809,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11809,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11809,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11809,one_way_thirdfactor_to_ethicalsense,3,0.22,0.50396,0.9,0.1,0.0039599999999999635
11809,one_way_thirdfactor_to_ethicalsense,4,0.22,0.50396,0.9,0.1,0.0
11809,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,-0.0039599999999999635
11809,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11809,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11809,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11809,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11809,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11809,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11809,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11810,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11810,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11810,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11810,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11810,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11810,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11810,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11810,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11810,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11810,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11810,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11810,one_way_thirdfactor_to_ethicalsense,6,0.22,0.50396,0.9,0.1,0.0039599999999999635
11810,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11810,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11810,bidirectional_codevelopment,3,0.1,0.5018,0.9,0.1,0.0018000000000000238
11810,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,-0.0018000000000000238
11810,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11810,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11811,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11811,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11811,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11811,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11811,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11811,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11811,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11811,one_way_thirdfactor_to_ethicalsense,2,0.22,0.50396,0.9,0.1,0.0039599999999999635
11811,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,-0.0039599999999999635
11811,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11811,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11811,one_way_thirdfactor_to_ethicalsense,6,0.22,0.50396,0.9,0.1,0.0039599999999999635
11811,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11811,bidirectional_codevelopment,2,0.1,0.5,0.9,0.1,0.0
11811,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,0.0
11811,bidirectional_codevelopment,4,0.1,0.5,0.9,0.1,0.0
11811,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,0.0
11811,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11812,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11812,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11812,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11812,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11812,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11812,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
11812,one_way_thirdfactor_to_ethicalsense,1,0.22,0.5,0.9,0.1,-0.040000000000000036
11812,one_way_thirdfactor_to_ethicalsense,2,0.22,0.5,0.9,0.1,0.0
11812,one_way_thirdfactor_to_ethicalsense,3,0.22,0.5,0.9,0.1,0.0
11812,one_way_thirdfactor_to_ethicalsense,4,0.22,0.5,0.9,0.1,0.0
11812,one_way_thirdfactor_to_ethicalsense,5,0.22,0.5,0.9,0.1,0.0
11812,one_way_thirdfactor_to_ethicalsense,6,0.22,0.5,0.9,0.1,0.0
11812,bidirectional_codevelopment,1,0.1,0.5,0.9,0.1,-0.040000000000000036
11812,bidirectional_codevelopment,2,0.1,0.5018,0.9,0.1,0.0018000000000000238
11812,bidirectional_codevelopment,3,0.1,0.5,0.9,0.1,-0.0018000000000000238
11812,bidirectional_codevelopment,4,0.1,0.5018,0.9,0.1,0.0018000000000000238
11812,bidirectional_codevelopment,5,0.1,0.5,0.9,0.1,-0.0018000000000000238
11812,bidirectional_codevelopment,6,0.1,0.5,0.9,0.1,0.0
11813,no_codevelopment,1,0.22,0.54,0.68,0.28,0.0
11813,no_codevelopment,2,0.22,0.54,0.68,0.28,0.0
11813,no_codevelopment,3,0.22,0.54,0.68,0.28,0.0
11813,no_codevelopment,4,0.22,0.54,0.68,0.28,0.0
11813,no_codevelopment,5,0.22,0.54,0.68,0.28,0.0
11813,no_codevelopment,6,0.22,0.54,0.68,0.28,0.0
