shift_offset,current_segment_length,estimator,relative_scale_mae,decision_error,fast_authority
0.8,32,EXPONENTIAL_RECENCY_HL16,0.197438804409185,0.18515625,1.0
0.8,32,CHAINED_CONTINUITY,0.13440039279110022,0.14796875,1.0
0.8,32,FAST_ONLY_6,0.2219203110094516,0.23046875,1.0
0.8,32,FAST_SLOW_BLEND,0.29345913025331705,0.28546875,0.7058984514713723
0.8,48,GLOBAL_HISTORY,0.5273800921292705,0.34890625,0.0
0.8,48,FIXED_RECENCY_32,0.09828667814253303,0.1009375,1.0
0.8,48,EXPONENTIAL_RECENCY_HL16,0.12410035490409863,0.125,1.0
0.8,48,CHAINED_CONTINUITY,0.11771126653456973,0.119375,1.0
0.8,48,FAST_ONLY_6,0.22106181805128378,0.20125,1.0
0.8,48,FAST_SLOW_BLEND,0.2749070909263922,0.23359375,0.6479928813085474
