delta,L,detector,balanced_accuracy,tpr,tnr,auc
0.6,8,MAX_HORIZON,0.8062499999999999,0.7625,0.85,0.8775
0.6,8,ORACLE_LLR,0.70625,0.65,0.7625,0.80375
0.6,12,MAGNITUDE_4,0.6812499999999999,0.6,0.7625,0.753125
0.6,12,MAX_HORIZON,0.825,0.775,0.875,0.92703125
0.6,12,ORACLE_LLR,0.7625,0.7375,0.7875,0.86375
0.6,18,MAGNITUDE_4,0.6937500000000001,0.5875,0.8,0.7084375
0.6,18,MAX_HORIZON,0.8875,0.9375,0.8375,0.95609375
0.6,18,ORACLE_LLR,0.8375,0.8375,0.8375,0.91671875
0.6,24,MAGNITUDE_4,0.71875,0.6,0.8375,0.805
0.6,24,MAX_HORIZON,0.93125,0.9875,0.875,0.98203125
0.6,24,ORACLE_LLR,0.8374999999999999,0.8875,0.7875,0.93578125
0.6,36,MAGNITUDE_4,0.7125,0.5875,0.8375,0.77484375
0.6,36,MAX_HORIZON,0.89375,0.9375,0.85,0.9728125
0.6,36,ORACLE_LLR,0.94375,0.9375,0.95,0.9859375
0.6,48,MAGNITUDE_4,0.6625,0.45,0.875,0.71234375
0.6,48,MAX_HORIZON,0.8374999999999999,0.7875,0.8875,0.91953125
0.6,48,ORACLE_LLR,0.9437500000000001,0.925,0.9625,0.98953125
0.7,2,MAGNITUDE_4,0.675,0.5,0.85,0.7065625
0.7,2,MAX_HORIZON,0.59375,0.325,0.8625,0.6846875
0.7,2,ORACLE_LLR,0.6625,0.625,0.7,0.70109375
0.7,4,MAGNITUDE_4,0.78125,0.825,0.7375,0.87703125
0.7,4,MAX_HORIZON,0.76875,0.7,0.8375,0.84921875
0.7,4,ORACLE_LLR,0.725,0.6875,0.7625,0.79125
0.7,6,MAGNITUDE_4,0.8187500000000001,0.8375,0.8,0.9175
0.7,6,MAX_HORIZON,0.83125,0.7625,0.9,0.93046875
0.7,6,ORACLE_LLR,0.75625,0.7875,0.725,0.84421875
0.7,8,MAGNITUDE_4,0.78125,0.7625,0.8,0.8475
0.7,8,MAX_HORIZON,0.8374999999999999,0.85,0.825,0.91640625
0.7,8,ORACLE_LLR,0.75,0.7375,0.7625,0.84265625
0.7,12,MAGNITUDE_4,0.75625,0.725,0.7875,0.8253125
0.7,12,MAX_HORIZON,0.93125,0.9375,0.925,0.98390625
0.7,12,ORACLE_LLR,0.85625,0.8125,0.9,0.92125
0.7,18,MAGNITUDE_4,0.7875,0.725,0.85,0.8759375
0.7,18,MAX_HORIZON,0.95625,1.0,0.9125,0.9971875
0.7,18,ORACLE_LLR,0.8687499999999999,0.825,0.9125,0.95953125
0.7,24,MAGNITUDE_4,0.70625,0.6375,0.775,0.786875
0.7,24,MAX_HORIZON,0.9125,0.975,0.85,0.98734375
0.7,24,ORACLE_LLR,0.91875,0.9,0.9375,0.9728125
0.7,36,MAGNITUDE_4,0.66875,0.5375,0.8,0.730625
0.7,36,MAX_HORIZON,0.89375,0.9125,0.875,0.971875
0.7,36,ORACLE_LLR,0.9750000000000001,0.9625,0.9875,0.9978125
