world,delta,L,selected_scale,oracle_scale,pred8,pred18,pred128,err8,err18,err128
SINGLE_SHIFT,0.3,8,18,8,0.1926982592753016,0.1431116370324574,0.27821287899190095,0.08,0.08,0.64
SINGLE_SHIFT,0.3,8,8,8,0.17009358650056247,0.17816039079931822,0.2026720076223206,0.02,0.04,0.04
SINGLE_SHIFT,0.3,8,18,8,0.18357833408850324,0.1580039936425858,0.21115616763648287,0.02,0.1,0.46
SINGLE_SHIFT,0.3,8,8,8,0.18277998919064947,0.20363063604030407,0.24262969916360103,0.0,0.04,0.04
SINGLE_SHIFT,0.3,8,8,8,0.1715305972840203,0.21897390226290614,0.23179676098005342,0.04,0.3,0.3
SINGLE_SHIFT,0.3,8,18,8,0.16741767652763734,0.1522645607695473,0.17913984986845477,0.1,0.1,0.1
SINGLE_SHIFT,0.3,8,8,8,0.17110996984635526,0.18637513782604595,0.18908498885684882,0.22,0.5,0.36
SINGLE_SHIFT,0.3,12,18,8,0.16919043755917798,0.14502880390428807,0.20698346383919167,0.04,0.06,0.08
SINGLE_SHIFT,0.3,12,8,8,0.18915078149813352,0.2550640883445652,0.2688271866446376,0.08,0.66,0.52
SINGLE_SHIFT,0.3,12,18,8,0.2008521327629163,0.1926374361497622,0.19403604283114875,0.04,0.06,0.06
SINGLE_SHIFT,0.3,12,18,18,0.21201098439642516,0.1664860947616966,0.20352553685780872,0.18,0.0,0.26
SINGLE_SHIFT,0.3,12,18,8,0.20065248982461145,0.15461638973777359,0.24181127794443041,0.02,0.02,0.04
SINGLE_SHIFT,0.3,12,18,18,0.24203215689842417,0.19053836961417683,0.21205257716447765,0.22,0.16,0.26
SINGLE_SHIFT,0.3,12,18,8,0.17446766680938108,0.17194300352815467,0.17638749127172157,0.06,0.1,0.1
SINGLE_SHIFT,0.3,12,8,18,0.15912874591542303,0.20363831954012845,0.2916394163901495,0.08,0.04,0.22
SINGLE_SHIFT,0.3,18,18,8,0.19259412929703557,0.15008892654462294,0.23314073016266132,0.06,0.06,0.08
SINGLE_SHIFT,0.3,18,18,18,0.19471686339626987,0.15358614325511621,0.18664508142523037,0.3,0.1,0.42
SINGLE_SHIFT,0.3,18,18,8,0.19552586377976042,0.1620513482725685,0.1818521581052632,0.04,0.04,0.04
SINGLE_SHIFT,0.3,18,18,8,0.1899614218387799,0.13605285767689615,0.2674577572701581,0.0,0.0,0.26
SINGLE_SHIFT,0.3,18,18,128,0.17651891313889898,0.13164784171503635,0.26242252539169353,0.3,0.28,0.04
SINGLE_SHIFT,0.3,18,18,8,0.18067982635181593,0.16417292334573544,0.19070690843961283,0.18,0.2,0.3
SINGLE_SHIFT,0.3,18,18,8,0.2031669786033981,0.15761742436172876,0.20603942729241928,0.06,0.16,0.1
SINGLE_SHIFT,0.3,18,18,18,0.18718653117507628,0.15071239730843014,0.19119829772674188,0.22,0.08,0.28
SINGLE_SHIFT,0.3,24,18,18,0.18014843670174202,0.16874887003395952,0.18165650813565937,0.08,0.06,0.08
SINGLE_SHIFT,0.3,24,18,8,0.18489003056536965,0.13658871207016182,0.26119393594302237,0.08,0.08,0.32
SINGLE_SHIFT,0.3,24,18,128,0.1937745262156989,0.1388822307772666,0.2594137270170994,0.24,0.3,0.04
SINGLE_SHIFT,0.3,24,18,8,0.20398225230572387,0.1471882983459528,0.2599909458052478,0.0,0.02,0.22
SINGLE_SHIFT,0.3,24,8,8,0.17682036214540806,0.19632864178020226,0.21376208511189296,0.04,0.04,0.04
SINGLE_SHIFT,0.3,24,18,8,0.19337637810102157,0.17504962538212604,0.18575960325965243,0.32,0.32,0.38
SINGLE_SHIFT,0.3,24,18,128,0.19647732981717686,0.1882263512468249,0.3206713793929411,0.42,0.26,0.1
SINGLE_SHIFT,0.3,24,18,8,0.18276512118105476,0.14508825800539668,0.21167607877619013,0.22,0.22,0.44
SINGLE_SHIFT,0.3,36,8,18,0.1648176833100786,0.21542794299082282,0.3085101284523549,0.52,0.04,0.08
SINGLE_SHIFT,0.3,36,8,8,0.1642542171301203,0.20294239000468442,0.253508989715463,0.08,0.24,0.52
SINGLE_SHIFT,0.3,36,18,8,0.19253318513712575,0.16034387081040893,0.19747646236306154,0.04,0.04,0.04
SINGLE_SHIFT,0.3,36,8,18,0.1987413111185319,0.22289993436953304,0.2886442390257298,0.02,0.0,0.14
SINGLE_SHIFT,0.3,36,18,8,0.18418170957044003,0.1401933976583666,0.24098962492854664,0.02,0.02,0.04
SINGLE_SHIFT,0.3,36,8,8,0.17341153065954215,0.17937452101006407,0.19977912755145574,0.04,0.18,0.26
SINGLE_SHIFT,0.3,36,18,8,0.21348583729067722,0.16275677888596954,0.21997397188013673,0.06,0.22,0.1
SINGLE_SHIFT,0.3,36,18,18,0.21591313733297224,0.1599929230525834,0.200450614692428,0.24,0.04,0.28
SINGLE_SHIFT,0.3,48,8,18,0.1683538378912542,0.18189374896227156,0.2350348509668506,0.3,0.04,0.08
SINGLE_SHIFT,0.3,48,18,18,0.19662564084283543,0.16177121837034622,0.19654087476195117,0.3,0.16,0.42
SINGLE_SHIFT,0.3,48,18,128,0.16895936645237514,0.1395959365565606,0.2439457181926676,0.42,0.3,0.04
SINGLE_SHIFT,0.3,48,18,128,0.20997439089667017,0.1766237954488565,0.22136324403143814,0.5,0.5,0.22
SINGLE_SHIFT,0.3,48,8,8,0.15915026057103018,0.18447850332845941,0.21880351836431214,0.02,0.04,0.04
SINGLE_SHIFT,0.3,48,18,8,0.18629008543278266,0.1484255954212471,0.21049680565528545,0.04,0.04,0.18
SINGLE_SHIFT,0.3,48,18,128,0.2140162450459502,0.1746579939450022,0.24294348634138346,0.2,0.16,0.1
SINGLE_SHIFT,0.3,48,18,18,0.20020868979512624,0.1562344669069893,0.21797508276439378,0.1,0.04,0.22
SINGLE_SHIFT,0.55,2,8,8,0.17850535759708636,0.2220084458545828,0.2212994555408287,0.08,0.08,0.08
SINGLE_SHIFT,0.55,2,18,18,0.1905139734149506,0.15823922136225893,0.16751710710141576,0.78,0.72,0.78
SINGLE_SHIFT,0.55,2,8,18,0.17455075214277285,0.18464044401050048,0.18620584159323975,0.08,0.06,0.06
SINGLE_SHIFT,0.55,2,18,18,0.17241207251109858,0.14281938691212726,0.1731200660556728,0.52,0.5,0.62
SINGLE_SHIFT,0.55,2,18,18,0.20065899054842642,0.15937719756912685,0.17692839882868655,0.06,0.04,0.08
SINGLE_SHIFT,0.55,2,18,128,0.2017000237237397,0.19050119546967126,0.20330106897087385,0.56,0.54,0.52
SINGLE_SHIFT,0.55,2,18,8,0.20271420574011717,0.1773145978178777,0.1943868780288463,0.1,0.14,0.14
SINGLE_SHIFT,0.55,2,128,18,0.24612543730042297,0.2488005860767705,0.24466549643476748,0.64,0.6,0.6
SINGLE_SHIFT,0.55,4,18,8,0.20588378173827623,0.16873082642730378,0.19917062007866965,0.08,0.08,0.08
SINGLE_SHIFT,0.55,4,18,8,0.23469124702404806,0.19619377654331177,0.24129676749289108,0.72,0.72,0.78
SINGLE_SHIFT,0.55,4,18,18,0.18573318265917033,0.16966600404006696,0.17284116537206787,0.08,0.06,0.06
