shift_offset,current_segment_length,estimator,relative_scale_mae_proxy,decision_error,fast_authority_rate,conflict_rate
0.3,48,GLOBAL_HISTORY,0.1722712258414298,0.1575,0.0,0.0
0.3,48,FIXED_RECENCY_32,0.0895487394214074,0.08984375,0.0,0.0
0.3,48,FAST_ONLY_6,0.20927806847711827,0.18375,1.0,0.0
0.3,48,CHAINED_CONTINUITY,0.09854657854335544,0.0909375,0.0,0.0
0.3,48,FAST_SLOW_BLEND,0.15774668888158075,0.1453125,0.28167090862196187,0.0
0.3,48,PROVISIONAL_FAST_AUTHORITY,0.17440895715576635,0.14828125,0.125,0.4125
0.55,4,GLOBAL_HISTORY,0.5591518441007123,0.358125,0.0,0.0
0.55,4,FIXED_RECENCY_32,0.5019096091135073,0.33125,0.0,0.0
0.55,4,FAST_ONLY_6,0.2894586073146961,0.226875,1.0,0.0
0.55,4,CHAINED_CONTINUITY,0.4787060275537997,0.3128125,0.0,0.0
0.55,4,FAST_SLOW_BLEND,0.3930596828895128,0.28609375,0.39822899144229973,0.0
0.55,4,PROVISIONAL_FAST_AUTHORITY,0.3732134796378362,0.23703125,0.25625,0.45625
0.55,8,GLOBAL_HISTORY,0.534411542004435,0.3496875,0.0,0.0
0.55,8,FIXED_RECENCY_32,0.4248954664571638,0.30359375,0.0,0.0
0.55,8,FAST_ONLY_6,0.17985541426744495,0.19078125,1.0,0.0
0.55,8,CHAINED_CONTINUITY,0.3031694823768778,0.23453125,0.0,0.0
0.55,8,FAST_SLOW_BLEND,0.24742939391866048,0.2359375,0.6491742050735002,0.0
0.55,8,PROVISIONAL_FAST_AUTHORITY,0.23634367493640349,0.20109375,0.6375,0.275
0.55,12,GLOBAL_HISTORY,0.5243727905858852,0.3475,0.0,0.0
0.55,12,FIXED_RECENCY_32,0.35528433878798993,0.275625,0.0,0.0
0.55,12,FAST_ONLY_6,0.2060283724215955,0.2078125,1.0,0.0
0.55,12,CHAINED_CONTINUITY,0.19995701449202902,0.1878125,0.0,0.0
0.55,12,FAST_SLOW_BLEND,0.27308464549688827,0.261875,0.5825889379330423,0.0
0.55,12,PROVISIONAL_FAST_AUTHORITY,0.2741855475284323,0.22296875,0.50625,0.3375
0.55,20,GLOBAL_HISTORY,0.47997217712959006,0.32625,0.0,0.0
0.55,20,FIXED_RECENCY_32,0.21644716934155445,0.18171875,0.0,0.0
0.55,20,FAST_ONLY_6,0.21538704715746712,0.20125,1.0,0.0
0.55,20,CHAINED_CONTINUITY,0.1725126781596797,0.1559375,0.0,0.0
0.55,20,FAST_SLOW_BLEND,0.28043962780386444,0.23984375,0.5439402161499892,0.0
0.55,20,PROVISIONAL_FAST_AUTHORITY,0.2839049029748505,0.21234375,0.48125,0.33125
0.55,32,GLOBAL_HISTORY,0.42208931359502744,0.3,0.0,0.0
0.55,32,FIXED_RECENCY_32,0.09396944029978435,0.09234375,0.0,0.0
0.55,32,FAST_ONLY_6,0.2189780344268546,0.18703125,1.0,0.0
0.55,32,CHAINED_CONTINUITY,0.13037906146253306,0.11796875,0.0,0.0
0.55,32,FAST_SLOW_BLEND,0.277305885639211,0.219375,0.5062427288158536,0.0
0.55,32,PROVISIONAL_FAST_AUTHORITY,0.29411470836128684,0.20125,0.4125,0.3875
0.55,48,GLOBAL_HISTORY,0.3409978169811013,0.26015625,0.0,0.0
0.55,48,FIXED_RECENCY_32,0.09825729138792842,0.095625,0.0,0.0
0.55,48,FAST_ONLY_6,0.23962756098001448,0.20125,1.0,0.0
0.55,48,CHAINED_CONTINUITY,0.10471218081687897,0.0946875,0.0,0.0
0.55,48,FAST_SLOW_BLEND,0.2570524477996716,0.21625,0.43843447331459756,0.0
0.55,48,PROVISIONAL_FAST_AUTHORITY,0.2799564028570944,0.208125,0.3125,0.375
0.8,4,GLOBAL_HISTORY,0.8576100044313517,0.3990625,0.0,0.0
0.8,4,FIXED_RECENCY_32,0.7860719682228343,0.388125,0.0,0.0
0.8,4,FAST_ONLY_6,0.333130702032937,0.2403125,1.0,0.0
0.8,4,CHAINED_CONTINUITY,0.7139831032196376,0.3746875,0.0,0.0
0.8,4,FAST_SLOW_BLEND,0.46719750789836445,0.29578125,0.6081627145938034,0.0
0.8,4,PROVISIONAL_FAST_AUTHORITY,0.41658556321836004,0.24703125,0.54375,0.35
0.8,8,GLOBAL_HISTORY,0.8184705929318653,0.39578125,0.0,0.0
0.8,8,FIXED_RECENCY_32,0.653926911503163,0.36828125,0.0,0.0
0.8,8,FAST_ONLY_6,0.20233001568251416,0.1740625,1.0,0.0
0.8,8,CHAINED_CONTINUITY,0.439029658010577,0.27953125,0.0,0.0
0.8,8,FAST_SLOW_BLEND,0.2766857868008541,0.22,0.817566476679367,0.0
0.8,8,PROVISIONAL_FAST_AUTHORITY,0.22793769215939022,0.17703125,0.85625,0.1375
0.8,12,GLOBAL_HISTORY,0.7871795432046557,0.39265625,0.0,0.0
0.8,12,FIXED_RECENCY_32,0.5101503552581119,0.33640625,0.0,0.0
0.8,12,FAST_ONLY_6,0.2163648782504119,0.18140625,1.0,0.0
0.8,12,CHAINED_CONTINUITY,0.20975260676802102,0.17171875,0.0,0.0
0.8,12,FAST_SLOW_BLEND,0.27897917629820135,0.22109375,0.8333108828520416,0.0
0.8,12,PROVISIONAL_FAST_AUTHORITY,0.2426084289170321,0.18453125,0.875,0.1125
0.8,20,GLOBAL_HISTORY,0.730389470109517,0.38703125,0.0,0.0
0.8,20,FIXED_RECENCY_32,0.31958190523945007,0.24375,0.0,0.0
0.8,20,FAST_ONLY_6,0.1937719423995448,0.17671875,1.0,0.0
0.8,20,CHAINED_CONTINUITY,0.15543096660725844,0.145,0.0,0.0
0.8,20,FAST_SLOW_BLEND,0.2532560263609649,0.2140625,0.7965073146240965,0.0
0.8,20,PROVISIONAL_FAST_AUTHORITY,0.22401944072209354,0.17890625,0.8125,0.175
0.8,32,GLOBAL_HISTORY,0.6378026993417463,0.3728125,0.0,0.0
0.8,32,FIXED_RECENCY_32,0.08954056659834574,0.09265625,0.0,0.0
