world,label,delta,L,p8,p18,p128,selected_scale,oracle_scale
SINGLE_SHIFT,1,0.8,2,0.3645552413482052,0.8258698293900989,0.05171305247425636,8,8
SINGLE_SHIFT,1,0.8,2,0.2611395425066452,0.1620863843524715,0.13129641302983966,8,8
SINGLE_SHIFT,1,0.8,2,0.6294092739557209,0.11265173248390058,0.056860380058649865,128,8
SINGLE_SHIFT,1,0.8,4,0.44404626980003337,0.3169310744432284,0.15434275201528652,8,8
SINGLE_SHIFT,1,0.8,4,0.23215162174647538,0.11290947444575736,0.061637177462097126,18,8
SINGLE_SHIFT,1,0.8,4,0.1599343451029967,0.811267228622079,0.07269781899201469,8,8
SINGLE_SHIFT,1,0.8,4,0.23078857210404335,0.8525480850513999,0.05123873852129649,8,8
SINGLE_SHIFT,1,0.8,4,0.807689562461678,0.9385448061811474,0.6218705595923776,8,8
SINGLE_SHIFT,1,0.8,4,0.9879560038535106,0.9608629897025355,0.05409441055687607,8,8
SINGLE_SHIFT,1,0.8,4,0.3424787789385548,0.16344287057047738,0.04728576382713921,18,8
SINGLE_SHIFT,1,0.8,4,0.272099720686572,0.8868712208839722,0.2486118604144784,8,8
SINGLE_SHIFT,1,0.8,6,0.24563702478890767,0.2874926633173113,0.136845723047432,8,8
SINGLE_SHIFT,1,0.8,6,0.26387424880815546,0.36092717984660416,0.06979583370215928,8,8
SINGLE_SHIFT,1,0.8,6,0.2848016292199263,0.8570687821968681,0.12445141961173051,8,8
SINGLE_SHIFT,1,0.8,6,0.5770054772602082,0.13701258850207249,0.09420476870131009,128,8
SINGLE_SHIFT,1,0.8,6,0.8966808500263473,0.5202489326831908,0.04548945326939249,8,8
SINGLE_SHIFT,1,0.8,6,0.19203298705109378,0.8509607801802298,0.25456448600207254,18,8
SINGLE_SHIFT,1,0.8,6,0.6770554968556894,0.9595923770318542,0.049107346113231275,8,8
SINGLE_SHIFT,1,0.8,6,0.586880662152826,0.21207585959513173,0.05097701047625389,128,8
SINGLE_SHIFT,1,0.8,8,0.16873803644343882,0.41613060930066387,0.07503971555215738,18,18
SINGLE_SHIFT,1,0.8,8,0.18385824057179517,0.2361879321897715,0.1337634384235489,18,8
SINGLE_SHIFT,1,0.8,8,0.572936554649537,0.8531904782493724,0.045457326326814346,8,8
SINGLE_SHIFT,1,0.8,8,0.2917326029488776,0.9929694288902634,0.1539738127781543,8,8
SINGLE_SHIFT,1,0.8,8,0.19548006531519244,0.958748630085124,0.06914144202863302,8,8
SINGLE_SHIFT,1,0.8,8,0.16157598350680397,0.49861193863235087,0.05079112650694955,8,8
SINGLE_SHIFT,1,0.8,8,0.17042763715868378,0.5846331870007818,0.05139283087527128,8,8
SINGLE_SHIFT,1,0.8,8,0.16001232568038173,0.9932994251820424,0.046501740653439816,8,8
SINGLE_SHIFT,1,0.8,12,0.22876438568645993,0.21246046620537778,0.15079231745565047,8,8
SINGLE_SHIFT,1,0.8,12,0.3480445370736819,0.21763032677186211,0.11120634520369473,18,8
SINGLE_SHIFT,1,0.8,12,0.16425141640431537,0.11847910040999429,0.15579425720975723,18,8
SINGLE_SHIFT,1,0.8,12,0.3983902760574653,0.420781919611997,0.3156058330143671,18,8
SINGLE_SHIFT,1,0.8,12,0.48107199823783864,0.12461098920363085,0.07792885683106092,18,8
SINGLE_SHIFT,1,0.8,12,0.2311152618168227,0.5689318917447447,0.05702783815316836,18,8
SINGLE_SHIFT,1,0.8,12,0.1606926497160941,0.9225239853063318,0.05056137189356398,8,8
SINGLE_SHIFT,1,0.8,12,0.23404191731829918,0.8502707332329713,0.27928942433252013,8,8
SINGLE_SHIFT,1,0.8,18,0.17385748126017794,0.31603432605646997,0.59718199982929,18,8
SINGLE_SHIFT,1,0.8,18,0.17341492576489348,0.17668253506844153,0.08563037694002007,18,8
SINGLE_SHIFT,1,0.8,18,0.22973216704637622,0.12549008708692086,0.6474401230431418,18,128
SINGLE_SHIFT,1,0.8,18,0.43044784945815073,0.22400776809096523,0.08944276415612408,18,8
SINGLE_SHIFT,1,0.8,18,0.23221024584474684,0.170607196510221,0.19030849244564768,18,8
SINGLE_SHIFT,1,0.8,18,0.17648330513770008,0.11472041985876721,0.0727941426275384,18,18
SINGLE_SHIFT,1,0.8,18,0.23910345730114158,0.11339248710919926,0.5456336940923799,18,18
SINGLE_SHIFT,1,0.8,18,0.16726753572043632,0.3868457410200797,0.6108575255912613,18,18
SINGLE_SHIFT,1,0.8,24,0.22054215193960702,0.11431885840744051,0.6390641780004768,18,8
SINGLE_SHIFT,1,0.8,24,0.16287182356427563,0.12757759812832123,0.9974480294151082,18,8
SINGLE_SHIFT,1,0.8,24,0.1805368104321424,0.11571999648472522,0.450734746409234,18,8
SINGLE_SHIFT,1,0.8,24,0.29425270746765775,0.14981315334346273,0.9963828978928568,18,8
SINGLE_SHIFT,1,0.8,24,0.16751088711171647,0.12419282820792589,0.9180216453709983,18,128
SINGLE_SHIFT,1,0.8,24,0.25479461068986137,0.11423361367526078,0.47748527604792085,18,8
SINGLE_SHIFT,1,0.8,24,0.19951726060864994,0.20837359547933715,0.9575595251376319,18,128
SINGLE_SHIFT,1,0.8,24,0.2151769413365555,0.14486171018955085,0.43419634306908006,18,8
SINGLE_SHIFT,1,0.8,36,0.22135638928922236,0.6423819727921569,0.9961413110150504,18,128
SINGLE_SHIFT,1,0.8,36,0.8089477981676394,0.4505907690148133,0.7776839975893904,18,18
SINGLE_SHIFT,1,0.8,36,0.19802181256673312,0.1632498754301033,0.9999529986489222,18,18
SINGLE_SHIFT,1,0.8,36,0.2352380785311174,0.11761584143455606,0.9798803169543976,18,18
SINGLE_SHIFT,1,0.8,36,0.18640447055831535,0.11267443195871983,0.8579745390120116,18,128
SINGLE_SHIFT,1,0.8,36,0.25855140425082873,0.11285372981925679,0.9961582699140792,18,8
SINGLE_SHIFT,1,0.8,36,0.29890271781668315,0.3290654824768337,0.9997208707770135,18,18
SINGLE_SHIFT,1,0.8,36,0.16852428255933954,0.13581513935839937,0.09928569389462669,18,8
SINGLE_SHIFT,1,0.8,48,0.1605340779120105,0.14574877750083265,0.9998958629968062,18,18
SINGLE_SHIFT,1,0.8,48,0.17757871284040702,0.132544683999744,0.99993550997139,18,8
SINGLE_SHIFT,1,0.8,48,0.16499672367146254,0.1876694943965841,0.9999999099026616,18,8
SINGLE_SHIFT,1,0.8,48,0.26635689439533417,0.11541731816377382,0.9999816463713309,18,8
SINGLE_SHIFT,1,0.8,48,0.3501773605254457,0.12684102838120734,0.9993519319367851,18,8
SINGLE_SHIFT,1,0.8,48,0.16001391564922088,0.18169650848820776,0.9999933511718536,18,8
SINGLE_SHIFT,1,0.8,48,0.18478636020298442,0.5674403409391485,0.9999996530753132,18,8
SINGLE_SHIFT,1,0.8,48,0.2540920399507539,0.544385504211564,0.9987382162613175,18,18
LOCAL_PULSE_REVERT,0,0.3,18,0.20627975206678226,0.3465208964516447,0.0484041677894618,18,128
LOCAL_PULSE_REVERT,0,0.3,18,0.2089368084071113,0.43249094889133155,0.05020396484508436,8,8
LOCAL_PULSE_REVERT,0,0.3,18,0.21926479560504897,0.11336196044038034,0.052762459963316174,8,8
LOCAL_PULSE_REVERT,0,0.3,18,0.23499457734749504,0.12697855653320164,0.13392879728306223,18,128
LOCAL_PULSE_REVERT,0,0.3,18,0.4635874838522304,0.22144553088321742,0.4300428959158239,128,18
LOCAL_PULSE_REVERT,0,0.3,18,0.16041405534691686,0.20366715700861868,0.43054104963515644,8,18
LOCAL_PULSE_REVERT,0,0.3,18,0.1626901842920027,0.36482940056857727,0.06245001561188128,18,18
LOCAL_PULSE_REVERT,0,0.3,18,0.16064194272721413,0.19101460003532394,0.045793708267130494,128,8
LOCAL_PULSE_REVERT,0,0.3,18,0.19550148778836546,0.12711515230675205,0.045447596759394984,18,128
LOCAL_PULSE_REVERT,0,0.3,18,0.22710418595737683,0.2953543092033996,0.045440285944127676,18,18
LOCAL_PULSE_REVERT,0,0.3,18,0.24003453931366697,0.13148108617005,0.04725840147066231,128,8
LOCAL_PULSE_REVERT,0,0.3,18,0.19195154205501253,0.3039279883547002,0.10725772349333003,18,18
LOCAL_PULSE_REVERT,0,0.3,18,0.17929634159584817,0.11275783190369702,0.06000766976834126,128,8
LOCAL_PULSE_REVERT,0,0.3,18,0.2606702244582786,0.12617641395262896,0.15890217122791434,18,128
LOCAL_PULSE_REVERT,0,0.3,18,0.16789937223451168,0.1387332311218737,0.07212681699006282,128,128
LOCAL_PULSE_REVERT,0,0.3,18,0.16312545034068252,0.11297634311470563,0.09486253154801208,18,128
LOCAL_PULSE_REVERT,0,0.3,18,0.5054473798066031,0.2109381847809988,0.06929616686063583,128,128
LOCAL_PULSE_REVERT,0,0.3,18,0.16171469979955988,0.1666554626012435,0.1436399892033511,18,8
LOCAL_PULSE_REVERT,0,0.3,18,0.4965249349980861,0.15995920615364406,0.21735111912622163,18,18
LOCAL_PULSE_REVERT,0,0.3,18,0.367276122990064,0.12463864482468896,0.08260287795484005,128,8
