seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_quality_used,final_TF,final_I,final_A,final_H,final_maturity
18239,simple_fixed_q084_a008,0.7887323943661971,0.11066666666666666,0.4225352112676056,0.18385214007782102,0.6905546666666625,0.84,0.24,0.34,0.4,0.62,0.34
18240,tdc_full_developmental_perception,0.8863636363636364,0.056,0.3409090909090909,0.17344961240310078,0.6814257777777739,0.9084061141664942,0.95,0.95,0.9446446664861298,0.25195641486656817,0.8981720629048904
18240,tdc_no_perceptual_development,0.5903614457831325,0.22666666666666666,0.4939759036144578,0.32104752667313285,0.5494053333333286,0.58,0.95,0.95,0.8900711586762547,0.40077433054021366,0.8473242070340102
18240,simple_fixed_q058,0.6022727272727273,0.216,0.6022727272727273,0.3422562141491396,0.5575297777777719,0.58,0.24,0.34,0.4,0.62,0.34
18240,simple_fixed_q084_a008,0.8314606741573034,0.10533333333333333,0.34831460674157305,0.17618586640851888,0.7191093333333297,0.84,0.24,0.34,0.4,0.62,0.34
18241,tdc_full_developmental_perception,0.8666666666666667,0.04933333333333333,0.29333333333333333,0.17764471057884232,0.7250444444444412,0.9093130801740399,0.95,0.95,0.9383114513677651,0.23356376770484852,0.901186920915729
18241,tdc_no_perceptual_development,0.5789473684210527,0.19866666666666666,0.5657894736842105,0.3558341369334619,0.5523226666666622,0.58,0.95,0.95,0.8659209372940683,0.4466960528441275,0.8298062211124851
18241,simple_fixed_q058,0.5510204081632653,0.208,0.5204081632653061,0.3469387755102041,0.5333679999999955,0.58,0.24,0.34,0.4,0.62,0.34
18241,simple_fixed_q084_a008,0.7613636363636364,0.09466666666666666,0.38636363636363635,0.17292490118577075,0.6967537777777739,0.84,0.24,0.34,0.4,0.62,0.34
18242,tdc_full_developmental_perception,0.7951807228915663,0.05733333333333333,0.3493975903614458,0.17265469061876249,0.7218328888888855,0.9082014429607664,0.95,0.95,0.9375644727193797,0.24924842636314104,0.8970790115890597
18242,tdc_no_perceptual_development,0.6164383561643836,0.204,0.4794520547945205,0.3291384317521781,0.5618808888888843,0.58,0.95,0.95,0.8873928121743377,0.38653649147775737,0.8502140801741451
18242,simple_fixed_q058,0.6024096385542169,0.228,0.5060240963855421,0.3522504892367906,0.5319182222222181,0.58,0.24,0.34,0.4,0.62,0.34
18242,simple_fixed_q084_a008,0.8125,0.09466666666666666,0.4375,0.18768619662363456,0.6796479999999961,0.84,0.24,0.34,0.4,0.62,0.34
18243,tdc_full_developmental_perception,0.8604651162790697,0.06933333333333333,0.29069767441860467,0.1760828625235405,0.6883937777777744,0.9100057690660909,0.95,0.95,0.9453069376962897,0.2287526894554675,0.9041385620602055
18243,tdc_no_perceptual_development,0.5529411764705883,0.244,0.5294117647058824,0.352,0.5562275555555514,0.58,0.95,0.95,0.8706759574789238,0.4228660231548429,0.8369524835810201
18243,simple_fixed_q058,0.6,0.232,0.5111111111111111,0.33591481122942884,0.5747706666666613,0.58,0.24,0.34,0.4,0.62,0.34
18243,simple_fixed_q084_a008,0.8024691358024691,0.07733333333333334,0.345679012345679,0.17395626242544732,0.6990897777777735,0.84,0.24,0.34,0.4,0.62,0.34
18244,tdc_full_developmental_perception,0.7752808988764045,0.06133333333333333,0.33707865168539325,0.18451242829827916,0.6677182222222184,0.9070465481584271,0.95,0.95,0.9336916929602631,0.26527343998467706,0.8921045632438964
18244,tdc_no_perceptual_development,0.5747126436781609,0.224,0.6091954022988506,0.3568118628359592,0.5412782222222168,0.58,0.95,0.95,0.8593078423100747,0.4729895177144039,0.8215795811489177
18244,simple_fixed_q058,0.6236559139784946,0.23466666666666666,0.5053763440860215,0.33822091886608013,0.5481191111111057,0.58,0.24,0.34,0.4,0.62,0.34
18244,simple_fixed_q084_a008,0.7317073170731707,0.1,0.35365853658536583,0.1899335232668566,0.7337271111111074,0.84,0.24,0.34,0.4,0.62,0.34
