profile_id,seed,A_TF,I,C_T,R_C,H_self,weakest_link,mean_maturity,geometric_maturity,joint_interaction,target_reliability,ethical_sensitivity,ethical_sense_reliability_realized,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,deep_path_activation_rate
3440,11395,0.7491797425496889,0.590379640487785,0.3670933847710599,0.3480200101428378,0.16530718541565542,0.3480200101428378,0.5778731185071433,0.542906409989658,0.36793836747223907,0.7522572681364789,0.700584709195999,0.709480122324159,0.68,0.672645739910314,0.3552999999999993,0.654
3441,11395,0.6275023022610802,0.6048776873720638,0.9422445720204664,0.32884390645845907,0.5437134443515153,0.32884390645845907,0.5919510047521108,0.5571021066910338,0.3439109552651366,0.7447209804157434,0.8012834367083321,0.7597911227154047,0.708,0.7532467532467533,0.44169999999999715,0.766
3442,11395,0.7657779826613091,0.2915419925386282,0.8594734744026833,0.6619945055578376,0.5413253107030932,0.2915419925386282,0.6074925288914731,0.5663424643644571,0.31283159915506953,0.7333309152307315,0.8458875668211292,0.7655860349127181,0.75,0.7606837606837606,0.485899999999996,0.802
3443,11395,0.5568334553031229,0.4828624838509871,0.7312555769216935,0.9320709456385854,0.2382385300739418,0.4828624838509871,0.6929567863280894,0.6744926005605097,0.3531282525411655,0.7697225341681813,0.7638337640846211,0.7602339181286549,0.722,0.6893203883495146,0.43179999999999763,0.684
3444,11395,0.8818339106745723,0.5412975346995099,0.5719214493365168,0.930087487956452,0.21405749835658167,0.5412975346995099,0.7422165768620939,0.7244605833457392,0.5278365776261532,0.8520942676052174,0.8047160922171153,0.8506666666666667,0.786,0.7677725118483413,0.5524999999999954,0.75
3445,11395,0.37663376554644845,0.20613986943058416,0.40408955006905756,0.2623812072197118,0.4668691949255091,0.20613986943058416,0.3564750394680586,0.3376486940963706,0.1012647304706412,0.6033079517350161,0.6756317171336229,0.6591639871382636,0.586,0.5809128630705395,0.182,0.0
3446,11395,0.8823628539751345,0.9102542028074199,0.5903673552508596,0.38505636668300375,0.7802611250686706,0.21973887493132938,0.5975559307295495,0.5256209779372409,0.4703855513240517,0.7921737075848051,0.8553054943554865,0.7788944723618091,0.768,0.7839195979899497,0.5561999999999958,0.796
3447,11395,0.446088977955725,0.6089437864646534,0.21388684960457513,0.6622883646760234,0.49460874478073835,0.21388684960457513,0.4873198467840477,0.4547487622161607,0.2361845207293114,0.6810522759052197,0.7056489146875742,0.6790123456790124,0.62,0.6738197424892703,0.3003999999999995,0.312
3448,11395,0.3699982131707299,0.9354198041517057,0.6439733688034596,0.6705464660363334,0.64067628539776,0.35932371460224,0.5958523133528937,0.557182888793581,0.3479261292149997,0.7464218942531444,0.763093397142374,0.7324324324324324,0.706,0.6716417910447762,0.4049999999999985,0.74
3449,11395,0.4656027856418747,0.2992222019686491,0.627301680735159,0.3375585563158101,0.6788859660648265,0.2992222019686491,0.4101598517193333,0.39382098000911464,0.15387827130395165,0.6355166503493004,0.7584964864136792,0.6345029239766082,0.6,0.6232558139534884,0.26170000000000043,0.286
