seed,model,phase,R_ethical,third_factor_volition,integration,ideal_alignment,H_self,R_gain_in_phase
12209,selfactualization_loop,3,0.5191376898660531,0.5562307284811998,0.95,0.7797056836909801,0.5338534606556273,0.016249364069555683
12209,selfactualization_loop,4,0.5,0.6223016917325207,0.95,0.8568902163331678,0.5898588340092524,-0.01913768986605313
12209,selfactualization_loop,5,0.5035057534191559,0.6636837236028709,0.95,0.9072222440601134,0.6525232081950048,0.0035057534191559325
12209,selfactualization_loop,6,0.5,0.683301095924006,0.95,0.9289671937041002,0.8888565118044105,-0.0035057534191559325
12210,perception_only,1,0.5033813453582437,0.22,0.3,0.38,0.66,-0.046618654641756296
12210,perception_only,2,0.5118806380830699,0.22,0.3,0.38,0.66,0.00849929272482619
12210,perception_only,3,0.5076021295125414,0.22,0.3,0.38,0.66,-0.004278508570528583
12210,perception_only,4,0.502,0.22,0.3,0.38,0.66,-0.005602129512541354
12210,perception_only,5,0.5,0.22,0.3,0.38,0.66,-0.0020000000000000018
12210,perception_only,6,0.5,0.22,0.3,0.38,0.66,0.0
12210,autonomy_only,1,0.5035614669934326,0.44618692761764783,0.3,0.38,0.66,-0.04643853300656742
12210,autonomy_only,2,0.5127096215109415,0.6371135912819408,0.3,0.38,0.66,0.009148154517508833
12210,autonomy_only,3,0.611395255714831,0.8509253211983281,0.3,0.38,0.66,0.09868563420388954
12210,autonomy_only,4,0.8503396812149853,0.95,0.3,0.38,0.66,0.23894442550015427
12210,autonomy_only,5,0.9339999999999999,0.95,0.3,0.38,0.66,0.08366031878501468
12210,autonomy_only,6,0.94,0.95,0.3,0.38,0.66,0.006000000000000005
12210,selfactualization_loop,1,0.5005636894727358,0.3223492115828223,0.6817410408714363,0.5171409420615145,0.6407950451540775,-0.04943631052726427
12210,selfactualization_loop,2,0.5351222290339599,0.47495617761752795,0.95,0.689557019569517,0.4998883137155484,0.03455853956122412
12210,selfactualization_loop,3,0.5258396897529216,0.600792461855329,0.95,0.8246651607612876,0.46822021773266886,-0.009282539281038282
12210,selfactualization_loop,4,0.5042958741774973,0.6615027119222424,0.95,0.8879399817650111,0.5154693374300067,-0.021543815575424285
12210,selfactualization_loop,5,0.5,0.6894972534265977,0.95,0.923527630712709,0.6700444087287525,-0.0042958741774973275
12210,selfactualization_loop,6,0.5008186382978482,0.6944027716198686,0.95,0.9319706938918763,0.8991382754759493,0.0008186382978482287
12211,perception_only,1,0.5420012230612598,0.22,0.3,0.38,0.66,-0.007998776938740293
12211,perception_only,2,0.5,0.22,0.3,0.38,0.66,-0.04200122306125975
12211,perception_only,3,0.5234272871732415,0.22,0.3,0.38,0.66,0.023427287173241496
12211,perception_only,4,0.5112429950692009,0.22,0.3,0.38,0.66,-0.012184292104040595
12211,perception_only,5,0.5078220957702776,0.22,0.3,0.38,0.66,-0.003420899298923308
12211,perception_only,6,0.5,0.22,0.3,0.38,0.66,-0.007822095770277593
12211,autonomy_only,1,0.5,0.222164,0.3,0.38,0.66,-0.050000000000000044
12211,autonomy_only,2,0.502665968,0.222164,0.3,0.38,0.66,0.002665967999999963
12211,autonomy_only,3,0.5014432799999999,0.222164,0.3,0.38,0.66,-0.0012226880000000273
12211,autonomy_only,4,0.5,0.222164,0.3,0.38,0.66,-0.0014432799999999357
12211,autonomy_only,5,0.5062205919999999,0.222164,0.3,0.38,0.66,0.006220591999999914
12211,autonomy_only,6,0.501777312,0.222164,0.3,0.38,0.66,-0.004443279999999938
12211,selfactualization_loop,1,0.5023227851859445,0.28383151738770723,0.5477415600059762,0.4801626881207271,0.7533375685675877,-0.04767721481405551
12211,selfactualization_loop,2,0.517923687349487,0.3938229719649682,0.9097635906887235,0.6273301539153913,0.7309091202715371,0.015600902163542485
12211,selfactualization_loop,3,0.5394482974516885,0.5212305516119192,0.95,0.7682705833886811,0.6631958145005273,0.021524610102201525
12211,selfactualization_loop,4,0.5021534051589035,0.6035834734344421,0.95,0.8467661438820022,0.6977461231735649,-0.03729489229278504
12211,selfactualization_loop,5,0.5011231197720678,0.6397427000611601,0.95,0.8985489571443921,0.8756905083389832,-0.0010302853868356943
12211,selfactualization_loop,6,0.5006237494512308,0.661404532169314,0.95,0.9219027277216892,0.8993434216302835,-0.0004993703208370226
12212,perception_only,1,0.5118806380830699,0.22,0.3,0.38,0.66,-0.038119361916930106
12212,perception_only,2,0.504952127872,0.22,0.3,0.38,0.66,-0.006928510211069994
12212,perception_only,3,0.503992,0.22,0.3,0.38,0.66,-0.0009601278719999495
12212,perception_only,4,0.500992,0.22,0.3,0.38,0.66,-0.0030000000000000027
12212,perception_only,5,0.5,0.22,0.3,0.38,0.66,-0.0009919999999999929
12212,perception_only,6,0.503992,0.22,0.3,0.38,0.66,0.0039919999999999956
12212,autonomy_only,1,0.5,0.43977171129323767,0.3,0.38,0.66,-0.050000000000000044
12212,autonomy_only,2,0.5019097950068727,0.6245465194097645,0.3,0.38,0.66,0.0019097950068727165
12212,autonomy_only,3,0.5247533239053808,0.845466247251218,0.3,0.38,0.66,0.022843528898508048
12212,autonomy_only,4,0.7024640536365239,0.95,0.3,0.38,0.66,0.1777107297311431
12212,autonomy_only,5,0.9328000000000001,0.95,0.3,0.38,0.66,0.2303359463634762
12212,autonomy_only,6,0.94,0.95,0.3,0.38,0.66,0.007199999999999873
12212,selfactualization_loop,1,0.5004709361271862,0.2901816898262356,0.5703247441213647,0.46959594459313886,0.780519807350552,-0.04952906387281386
12212,selfactualization_loop,2,0.535945422623159,0.41407516653913484,0.95,0.6335437026901954,0.726511281215973,0.035474486495972846
12212,selfactualization_loop,3,0.5524168644091628,0.5431480885702811,0.95,0.7819313539018974,0.6897263122019865,0.016471441786003793
12212,selfactualization_loop,4,0.502486801888363,0.6111648618421964,0.95,0.8542938538775717,0.6969780641161886,-0.04993006252079979
12212,selfactualization_loop,5,0.5,0.6544016220006083,0.95,0.902640002031459,0.8067804064397346,-0.0024868018883630327
12212,selfactualization_loop,6,0.5,0.6746294580280474,0.95,0.9218223491750234,0.9,0.0
12213,perception_only,1,0.503992,0.22,0.3,0.38,0.66,-0.04600800000000005
12213,perception_only,2,0.5057386239363402,0.22,0.3,0.38,0.66,0.0017466239363401748
12213,perception_only,3,0.5038504232104677,0.22,0.3,0.38,0.66,-0.0018882007258724798
12213,perception_only,4,0.5118571925456877,0.22,0.3,0.38,0.66,0.008006769335220043
12213,perception_only,5,0.5127926208541401,0.22,0.3,0.38,0.66,0.0009354283084523907
12213,perception_only,6,0.5068137350686147,0.22,0.3,0.38,0.66,-0.005978885785525412
12213,autonomy_only,1,0.5170485855275773,0.42813894479529224,0.3,0.38,0.66,-0.03295141447242278
12213,autonomy_only,2,0.5075830912402235,0.6332710700371886,0.3,0.38,0.66,-0.00946549428735377
12213,autonomy_only,3,0.5037137058133986,0.8392132266748131,0.3,0.38,0.66,-0.0038693854268249117
12213,autonomy_only,4,0.6157101711698764,0.95,0.3,0.38,0.66,0.11199646535647778
12213,autonomy_only,5,0.9209101711698796,0.95,0.3,0.38,0.66,0.30520000000000325
12213,autonomy_only,6,0.94,0.95,0.3,0.38,0.66,0.019089828830120337
12213,selfactualization_loop,1,0.5005649070746475,0.2948567562436698,0.5871525259021895,0.47426272297287936,0.7283019476343072,-0.04943509292535253
12213,selfactualization_loop,2,0.5189012146801664,0.41274995130935843,0.95,0.6055470727817946,0.6965716431884904,0.018336307605518853
12213,selfactualization_loop,3,0.501620956465598,0.5603234114709803,0.95,0.7412121661836786,0.6277694321243933,-0.017280258214568356
12213,selfactualization_loop,4,0.5460928548803917,0.6687035072373653,0.95,0.8659746204699882,0.5440473826506459,0.04447189841479371
12213,selfactualization_loop,5,0.5007323813603926,0.7098032267111901,0.95,0.9079736176718198,0.6136716392621153,-0.04536047351999917
12213,selfactualization_loop,6,0.5,0.7310714555260268,0.95,0.9318866320909762,0.8234292924493607,-0.0007323813603925533
12214,perception_only,1,0.506944271360512,0.22,0.3,0.38,0.66,-0.04305572863948803
12214,perception_only,2,0.5274351010355299,0.22,0.3,0.38,0.66,0.02049082967501792
12214,perception_only,3,0.500992,0.22,0.3,0.38,0.66,-0.026443101035529937
12214,perception_only,4,0.503992,0.22,0.3,0.38,0.66,0.0030000000000000027
12214,perception_only,5,0.504964127872,0.22,0.3,0.38,0.66,0.0009721278719999615
12214,perception_only,6,0.5058871862399189,0.22,0.3,0.38,0.66,0.0009230583679189497
12214,autonomy_only,1,0.5017581293084802,0.4395323271200471,0.3,0.38,0.66,-0.04824187069151986
12214,autonomy_only,2,0.5184126520528042,0.6196268536289565,0.3,0.38,0.66,0.016654522744323996
12214,autonomy_only,3,0.5164885776612382,0.791118150458784,0.3,0.38,0.66,-0.0019240743915659442
