seed,model,final_ethical_reliability,final_third_factor_volition,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,successful_reorganization_rate,early_R_gain,late_R_gain
12218,selfactualization_loop,0.5,0.6928431658596276,0.95,0.9289560112559182,0.9,0.5,0.5067961165048543,0.06379166666666625,0.3565217391304348,0.43920044419766796,-0.032082303339387885,-0.0017766299490682425
12219,perception_only,0.5,0.22,0.3,0.38,0.66,0.43333333333333335,0.43631778058007564,-0.06333333333333334,0.7129859387923904,0.0,-0.041342028462685976,-0.01282549583584669
12219,autonomy_only,0.9339999999999999,0.95,0.3,0.38,0.66,0.5386111111111112,0.5547945205479452,0.12800555555556106,0.3232413178984862,0.0,-0.04129345748340496,0.1469899801964406
12219,selfactualization_loop,0.5,0.7139943877686599,0.95,0.9324873010365481,0.7994188108543181,0.5077777777777778,0.5130656469088591,0.07025833333333298,0.3289588801399825,0.43004646360351056,-0.008234276762631998,-0.012083575421978021
12220,perception_only,0.50889263808307,0.22,0.3,0.38,0.66,0.4272222222222222,0.44096385542168676,-0.08833333333333333,0.6976942783945346,0.0,-0.03832964209550016,-0.0008155965082610184
12220,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5430555555555555,0.5471813725490197,0.11890000000000273,0.3240174672489083,0.0,-0.03153157366052195,0.0814372191643582
12220,selfactualization_loop,0.5,0.6675594652493612,0.95,0.9281930839502307,0.9,0.5161111111111111,0.5158150851581509,0.06018888888888842,0.3561887800534283,0.4534746760895171,-0.012790111863142717,-0.0015709483416217473
12221,perception_only,0.5147976706295246,0.22,0.3,0.38,0.66,0.44,0.4542645241038319,-0.050555555555555555,0.7018469656992085,0.0,-0.04600800000000005,0.01479767062952464
12221,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5083333333333333,0.5053831538948702,0.06128611111111068,0.35,0.0,-0.050000000000000044,0.32013056122157013
12221,selfactualization_loop,0.5,0.7086429718826569,0.95,0.9285060051659386,0.9,0.4975,0.4939759036144578,0.016999999999999512,0.3632404181184669,0.4217046580773043,-0.042461270863540346,-0.02113301794274114
12222,perception_only,0.503992,0.22,0.3,0.38,0.66,0.43944444444444447,0.4577294685990338,-0.059444444444444446,0.6962899050905953,0.0,-0.03438690581239945,0.00028812735474459394
12222,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5186111111111111,0.5275735294117647,0.07667777777777807,0.33506044905008636,0.0,-0.0411936823701885,0.25790393456896876
12222,selfactualization_loop,0.5,0.6993785217659171,0.95,0.9253673378640036,0.8035632023385653,0.49444444444444446,0.50293542074364,0.0583361111111107,0.36962247585601404,0.4456989247311828,-0.020961836383026844,-0.013993122733946484
12223,perception_only,0.5067897830686147,0.22,0.3,0.38,0.66,0.4475,0.4444444444444444,-0.0636111111111111,0.6824440619621343,0.0,-0.050000000000000044,0.0008137510686146987
12223,autonomy_only,0.9348,0.95,0.3,0.38,0.66,0.5275,0.5113924050632911,0.08544444444444568,0.330335241210139,0.0,-0.045049634476945655,0.304155948272545
12223,selfactualization_loop,0.5,0.6736503673632546,0.95,0.9273073899669877,0.885625251906677,0.49944444444444447,0.5028319697923223,0.04731388888888853,0.36268526591107236,0.41896821261073475,-0.04217739653466235,-0.003324381443884139
12224,perception_only,0.50953289904973,0.22,0.3,0.38,0.66,0.4263888888888889,0.425414364640884,-0.09361111111111112,0.6987951807228916,0.0,-0.04800000000000004,0.009532899049729981
12224,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5163888888888889,0.502132845825716,0.04882499999999956,0.32453151618398635,0.0,-0.027867577845533398,0.17371302714755965
12224,selfactualization_loop,0.5,0.7050738718722543,0.95,0.9241230364091663,0.8819545344248614,0.49916666666666665,0.4993827160493827,0.035111111111110614,0.3507067137809187,0.4257932446264074,-0.03723674263328958,-0.0022493328083255104
12225,perception_only,0.5022610123162105,0.22,0.3,0.38,0.66,0.43722222222222223,0.43519098309329995,-0.06388888888888888,0.7018469656992085,0.0,-0.04800000000000004,-0.024152307749011115
12225,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5463888888888889,0.5626156693399136,0.13899166666667015,0.3135089209855565,0.0,-0.048899657713538214,0.07605570974624931
12225,selfactualization_loop,0.5,0.7302968318666763,0.95,0.9324589468284896,0.8313761143445256,0.5052777777777778,0.5095502156500308,0.04953055555555513,0.3582089552238806,0.44372294372294374,-0.014883570298101612,-0.00405039959128628
12226,perception_only,0.500992,0.22,0.3,0.38,0.66,0.43083333333333335,0.43985194324491056,-0.07361111111111111,0.7023295944779983,0.0,-0.03999110794474092,-0.008729762520219952
12226,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5169444444444444,0.5214987714987716,0.07059999999999955,0.33532423208191126,0.0,-0.030755287880775972,0.37278119292636147
12226,selfactualization_loop,0.5,0.7139529246781013,0.95,0.933101275427947,0.9,0.5133333333333333,0.5140361821584529,0.06719722222222174,0.32848588537211293,0.4221289984268485,-0.04127055190508855,-0.0011149155564492697
12227,perception_only,0.5,0.22,0.3,0.38,0.66,0.4305555555555556,0.4354219948849105,-0.06,0.7067226890756303,0.0,-0.04600800000000005,-0.01029915170760276
12227,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5341666666666667,0.5230071289695398,0.11241944444444595,0.31260229132569556,0.0,-0.024955589312933513,0.3279639594517496
12227,selfactualization_loop,0.5,0.6640206149718981,0.95,0.9278187645335828,0.9,0.5194444444444445,0.5125313283208021,0.07392222222222197,0.3327526132404181,0.42951541850220265,-0.036172854673015786,-0.003972170997678992
12228,perception_only,0.503992,0.22,0.3,0.38,0.66,0.43277777777777776,0.4206730769230769,-0.10277777777777777,0.6973795435333897,0.0,-0.04306768063948807,0.0019919999999999938
12228,autonomy_only,0.9369999999999999,0.95,0.3,0.38,0.66,0.5238888888888888,0.5100125156445557,0.07557222222222205,0.3380656610470275,0.0,-0.04254014633383463,0.2332612145239008
12228,selfactualization_loop,0.5,0.7376850494659585,0.95,0.9343198399603957,0.854468630657241,0.5,0.5112079701120797,0.05050555555555513,0.33074265975820377,0.4391675560298826,-0.02313281088739838,-0.025251468894804785
12229,perception_only,0.5,0.22,0.3,0.38,0.66,0.44083333333333335,0.4367741935483871,-0.04416666666666667,0.690846286701209,0.0,-0.04333850653884652,-0.0039919999999999956
12229,autonomy_only,0.9369999999999999,0.95,0.3,0.38,0.66,0.53,0.534576067348166,0.08614166666666803,0.35207612456747406,0.0,0.008492080912395727,0.3114688348609792
12229,selfactualization_loop,0.5,0.6643147962993289,0.95,0.9212688088006917,0.9,0.48777777777777775,0.4993757802746567,0.028872222222221765,0.358974358974359,0.3922518159806295,-0.050000000000000044,-0.0010303563904777713
12230,perception_only,0.5,0.22,0.3,0.38,0.66,0.4475,0.45914634146341465,-0.04527777777777778,0.6878260869565217,0.0,-0.04109540991693017,-0.0009681755525119407
12230,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5177777777777778,0.5070250458155162,0.05580277777777731,0.3585903083700441,0.0,-0.035486729451953414,0.27347424823078337
12230,selfactualization_loop,0.5,0.6397672377466079,0.95,0.9239341679102105,0.9,0.5072222222222222,0.5051987767584097,0.04415277777777731,0.3394255874673629,0.43329532497149376,-0.029890856807468946,-0.0008170786795993479
12231,perception_only,0.5068850177520097,0.22,0.3,0.38,0.66,0.42055555555555557,0.40062305295950157,-0.11388888888888889,0.7298951048951049,0.0,-0.042107362553099326,-0.010712955887338893
12231,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.525,0.527603513174404,0.09338333333333389,0.3400174367916303,0.0,-0.04031998664523939,0.36602586098678846
12231,selfactualization_loop,0.5,0.6492598697731151,0.95,0.9238083021375333,0.9,0.5033333333333333,0.5038809831824063,0.0643388888888885,0.3393665158371041,0.410010649627263,-0.04253325849747136,-0.004668109197426662
12232,perception_only,0.5028926380830699,0.22,0.3,0.38,0.66,0.45222222222222225,0.4429530201342282,-0.055,0.6779513888888888,0.0,-0.04600800000000005,0.0028926380830699427
12232,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5358333333333334,0.5644361833952912,0.13182777777778076,0.3327321911632101,0.0,-0.032726374771542055,0.12652883777512347
12232,selfactualization_loop,0.5,0.6873242126267406,0.95,0.9336290633643881,0.9,0.505,0.4987908101571947,0.03066111111111071,0.3524229074889868,0.44,-0.04380397364200572,0.0
12233,perception_only,0.5029404462750698,0.22,0.3,0.38,0.66,0.4166666666666667,0.4147095179233622,-0.10944444444444444,0.7266610597140454,0.0,-0.04402396800000008,0.0029404462750698412
12233,autonomy_only,0.9228,0.95,0.3,0.38,0.66,0.5169444444444444,0.5131498470948013,0.06109722222222194,0.33169129720853857,0.0,-0.02889950098117311,0.27289375213093003
