seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,probe_rate,low_risk_opportunity_cost
10135,voi_probe,0.28824444444444197,0.7709205020920502,0.2290794979079498,0.2677777777777778,0.10222222222222223,0.0
10135,always_probe_high_risk,0.292788888888882,0.7824267782426778,0.2175732217573222,0.2627777777777778,0.5311111111111111,0.0
10135,oracle_key_audit_only,0.3718222222222252,0.8179916317991632,0.18200836820083682,0.2683333333333333,0.0,0.0
10136,hard_key_continuous,0.32097777777777803,0.7880658436213992,0.21193415637860083,0.25222222222222224,0.0,0.0
10136,threshold_probe_v245,0.373208333333336,0.8220164609053497,0.1779835390946502,0.25166666666666665,0.18388888888888888,0.0
10136,voi_probe,0.35856111111111255,0.8117283950617284,0.1882716049382716,0.24833333333333332,0.09444444444444444,0.0
10136,always_probe_high_risk,0.34829999999999994,0.8148148148148148,0.18518518518518517,0.24555555555555555,0.54,0.0
10136,oracle_key_audit_only,0.43653333333333844,0.8549382716049383,0.14506172839506173,0.26055555555555554,0.0,0.0
10137,hard_key_continuous,0.3023555555555546,0.7766884531590414,0.2233115468409586,0.25666666666666665,0.0,0.0
10137,threshold_probe_v245,0.31783611111110954,0.789760348583878,0.210239651416122,0.25222222222222224,0.16722222222222222,0.0
10137,voi_probe,0.3227055555555554,0.7908496732026143,0.20915032679738563,0.2538888888888889,0.07888888888888888,0.0
10137,always_probe_high_risk,0.3147277777777732,0.7952069716775599,0.2047930283224401,0.25277777777777777,0.51,0.0
10137,oracle_key_audit_only,0.3930222222222267,0.8322440087145969,0.16775599128540306,0.26055555555555554,0.0,0.0
10138,hard_key_continuous,0.308511111111111,0.7806176783812566,0.21938232161874335,0.2611111111111111,0.0,0.0
10138,threshold_probe_v245,0.36103333333333554,0.8157614483493077,0.18423855165069222,0.26055555555555554,0.17555555555555555,0.0
10138,voi_probe,0.36365833333333586,0.8157614483493077,0.18423855165069222,0.26055555555555554,0.10055555555555555,0.0
10138,always_probe_high_risk,0.3506972222222241,0.8168264110756124,0.18317358892438765,0.2611111111111111,0.5216666666666666,0.0
10138,oracle_key_audit_only,0.40273333333333755,0.8370607028753994,0.16293929712460065,0.26722222222222225,0.0,0.0
10139,hard_key_continuous,0.29159999999999875,0.7706131078224101,0.22938689217758984,0.25666666666666665,0.0,0.0
10139,threshold_probe_v245,0.3231972222222224,0.7928118393234672,0.20718816067653276,0.24944444444444444,0.1638888888888889,0.0
10139,voi_probe,0.30970555555555507,0.7832980972515856,0.2167019027484144,0.25,0.09222222222222222,0.0
10139,always_probe_high_risk,0.3069833333333302,0.7906976744186046,0.20930232558139536,0.245,0.5255555555555556,0.0
10139,oracle_key_audit_only,0.40715555555556104,0.8393234672304439,0.160676532769556,0.2594444444444444,0.0,0.0
10140,hard_key_continuous,0.29493333333333194,0.7724358974358975,0.22756410256410256,0.2588888888888889,0.0,0.0
10140,threshold_probe_v245,0.3265499999999996,0.7948717948717948,0.20512820512820512,0.25833333333333336,0.16333333333333333,0.0
10140,voi_probe,0.34202777777777893,0.8023504273504274,0.19764957264957264,0.2577777777777778,0.07666666666666666,0.0
10140,always_probe_high_risk,0.31406666666666294,0.7948717948717948,0.20512820512820512,0.25055555555555553,0.52,0.0
10140,oracle_key_audit_only,0.39093333333333696,0.8301282051282052,0.16987179487179488,0.2611111111111111,0.0,0.0
10141,hard_key_continuous,0.30108888888888824,0.7763845350052246,0.22361546499477533,0.2677777777777778,0.0,0.0
10141,threshold_probe_v245,0.3428666666666673,0.8045977011494253,0.19540229885057472,0.2561111111111111,0.17777777777777778,0.0
10141,voi_probe,0.3387694444444456,0.800417972831766,0.19958202716823406,0.26611111111111113,0.09166666666666666,0.0
10141,always_probe_high_risk,0.31981388888888546,0.7983281086729362,0.20167189132706373,0.2538888888888889,0.5316666666666666,0.0
10141,oracle_key_audit_only,0.40242222222222607,0.8359456635318704,0.16405433646812956,0.2638888888888889,0.0,0.0
10142,hard_key_continuous,0.29433333333333217,0.7718918918918919,0.2281081081081081,0.2511111111111111,0.0,0.0
10142,threshold_probe_v245,0.34670000000000206,0.8075675675675675,0.19243243243243244,0.2461111111111111,0.18,0.0
10142,voi_probe,0.34449722222222395,0.8043243243243243,0.19567567567567568,0.24555555555555555,0.09055555555555556,0.0
10142,always_probe_high_risk,0.3314583333333331,0.8054054054054054,0.1945945945945946,0.23833333333333334,0.5138888888888888,0.0
10142,oracle_key_audit_only,0.3956666666666707,0.8335135135135135,0.16648648648648648,0.24722222222222223,0.0,0.0
10143,hard_key_continuous,0.33480000000000054,0.7963752665245203,0.20362473347547974,0.2727777777777778,0.0,0.0
10143,threshold_probe_v245,0.3696611111111134,0.8208955223880597,0.1791044776119403,0.27,0.17222222222222222,0.0
10143,voi_probe,0.38107777777778135,0.826226012793177,0.17377398720682302,0.2683333333333333,0.1,0.0
10143,always_probe_high_risk,0.3450055555555551,0.8134328358208955,0.1865671641791045,0.26166666666666666,0.5211111111111111,0.0
10143,oracle_key_audit_only,0.4343555555555614,0.8560767590618337,0.1439232409381663,0.27055555555555555,0.0,0.0
10144,hard_key_continuous,0.30706666666666654,0.779874213836478,0.22012578616352202,0.26555555555555554,0.0,0.0
10144,threshold_probe_v245,0.33663333333333423,0.80083857442348,0.19916142557651992,0.25666666666666665,0.1711111111111111,0.0
