seed,model,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,review_trigger_rate,irreversible_core_violation_rate,reversible_miss_rate,net_vigilance_value,long_term_trajectory_value,final_threshold_irreversible,final_threshold_reversible
15036,severity_weighted_hierarchical,0.8313953488372093,0.48514851485148514,0.3928753180661578,0.18075757575757576,0.29772727272727273,0.2713178294573643,0.5770862800565771,0.6830695178837962,0.6840439393939396,0.42,0.6
15037,fixed_threshold,0.6715176715176715,0.593167701863354,0.45749513303049966,0.12666666666666668,0.2334848484848485,0.3991683991683992,0.48757763975155277,0.6374929003437764,0.6826706060606061,0.58,0.58
15037,global_recall_constrained,0.8172484599589322,0.7902097902097902,0.33507306889352817,0.28954545454545455,0.4354545454545454,0.30184804928131415,0.2937062937062937,0.7057446557994611,0.725994545454549,0.6210000000000002,0.6210000000000002
15037,hierarchical_recall_constrained,0.8320158102766798,0.6025236593059937,0.37752703338034793,0.2006060606060606,0.32227272727272727,0.30039525691699603,0.47791798107255523,0.6955368448854997,0.7070033333333358,0.28,0.6703999999999967
15037,severity_weighted_hierarchical,0.8425531914893617,0.4611801242236025,0.3609375,0.1859090909090909,0.2909090909090909,0.2723404255319149,0.5791925465838509,0.6773469484724343,0.7067454545454565,0.42,0.6
15038,fixed_threshold,0.6792079207920793,0.5796460176991151,0.47823261858349575,0.12166666666666667,0.23318181818181818,0.39801980198019804,0.47345132743362833,0.642213898198804,0.6729475757575735,0.58,0.58
15038,global_recall_constrained,0.8224489795918367,0.7858156028368795,0.33263816475495306,0.2909090909090909,0.4359090909090909,0.27346938775510204,0.32056737588652484,0.7104537015133603,0.7317154545454586,0.3,0.3
15038,hierarchical_recall_constrained,0.8358778625954199,0.6082474226804123,0.40312648034107057,0.19090909090909092,0.3198484848484848,0.2767175572519084,0.4683357879234168,0.7066863690508555,0.7098857575757586,0.28,0.74
15038,severity_weighted_hierarchical,0.8343949044585988,0.48040638606676345,0.3853113358169239,0.175,0.28469696969696967,0.2951167728237792,0.5805515239477503,0.6795645768108357,0.6891960606060595,0.42,0.6
15039,fixed_threshold,0.6309963099630996,0.5756240822320118,0.4816272965879265,0.11969696969696969,0.2309090909090909,0.44649446494464945,0.48751835535976507,0.616198364785183,0.6321006060606021,0.58,0.58
15039,global_recall_constrained,0.8403193612774451,0.7742402315484804,0.355787123185709,0.26227272727272727,0.4071212121212121,0.2634730538922156,0.33285094066570187,0.7240579710817806,0.738209393939398,0.321,0.321
15039,hierarchical_recall_constrained,0.8693877551020408,0.6049562682215743,0.4163366336633663,0.17863636363636365,0.30606060606060603,0.23877551020408164,0.48104956268221577,0.7283961566419033,0.7336242424242438,0.28,0.6711999999999982
15039,severity_weighted_hierarchical,0.8557504873294347,0.44716692189892804,0.37738771295818274,0.18272727272727274,0.29348484848484846,0.25146198830409355,0.6202143950995406,0.6860403238570443,0.6948003030303045,0.42,0.6
15040,fixed_threshold,0.6543478260869565,0.6085753803596127,0.4855832241153342,0.11893939393939394,0.2312121212121212,0.4282608695652174,0.47717842323651455,0.6347467657461087,0.6684296969696946,0.58,0.58
15040,global_recall_constrained,0.8188976377952756,0.7918552036199095,0.35085756897837433,0.2637878787878788,0.40636363636363637,0.27165354330708663,0.31221719457013575,0.7165441612886961,0.7408260606060633,0.5160000000000001,0.5160000000000001
15040,hierarchical_recall_constrained,0.8158415841584158,0.6259314456035767,0.4013506994693681,0.18803030303030302,0.3140909090909091,0.27722772277227725,0.4396423248882265,0.7018448882353538,0.7234512121212143,0.28,0.74
15040,severity_weighted_hierarchical,0.866,0.49402985074626865,0.38469284994964753,0.18515151515151515,0.3009090909090909,0.238,0.5597014925373134,0.7013380473080901,0.7142115151515167,0.42,0.6
15041,fixed_threshold,0.7083333333333334,0.6129518072289156,0.4943745863666446,0.11575757575757575,0.22893939393939394,0.38125,0.4713855421686747,0.6654986833622922,0.6934615151515134,0.58,0.58
