seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12905,ethicalsense_plus_idealgap,0.5428,0.4916,0.576,0.6168,0.4847245891026744,0.94,0.8923953627661784,0.9151558264895603,0.3044460043383954,0.2156,0.7750811285248664,0.14828700000000045
12905,hybrid_reward_and_ethics,0.524,0.508,0.5512,0.5632,0.95,0.7346005503341054,0.8659683836427609,0.8913715452784846,0.312418969814344,0.2496,0.7431737175760217,0.05885800000000096
12906,static_baseline,0.476,0.518,0.4496,0.4472,0.24,0.56,0.32,0.4,0.64,0.3228,0.41988,-0.1315200000000011
12906,success_fed_thirdfactor,0.9716,1.0,0.7556,0.4368,0.95,0.9325000000000011,0.32,0.4,0.64,0.5632,0.39271999999999996,0.1325959999999918
12906,ethicalsense_plus_idealgap,0.5424,0.484,0.582,0.6112,0.48312984491391636,0.9388,0.8922431958433449,0.9150188762590098,0.30377036578228234,0.2176,0.7732378033660791,0.14179699999999965
12906,hybrid_reward_and_ethics,0.518,0.4896,0.5368,0.572,0.95,0.7346208800080493,0.8659949848701366,0.8913954863831225,0.3124030090779177,0.2344,0.7473474172081203,0.05058100000000129
12907,static_baseline,0.468,0.5032,0.4476,0.4544,0.24,0.56,0.32,0.4,0.64,0.3048,0.42384000000000005,-0.13244000000000156
12907,success_fed_thirdfactor,0.9704,1.0,0.726,0.4384,0.95,0.9320000000000008,0.32,0.4,0.64,0.5616,0.39336,0.10823200000000142
12907,ethicalsense_plus_idealgap,0.5384,0.4884,0.5868,0.618,0.4856408913645168,0.94,0.8932924718743149,0.9159632246868821,0.30418646818280726,0.2044,0.7769813303191624,0.17695200000000028
12907,hybrid_reward_and_ethics,0.512,0.5116,0.5468,0.5468,0.95,0.734855727668534,0.8665139254539413,0.8918625329085467,0.3120916447276347,0.2632,0.7371746716087797,0.029139000000000782
12908,static_baseline,0.4664,0.5084,0.4492,0.4568,0.24,0.56,0.32,0.4,0.64,0.3076,0.42428,-0.12516000000000085
12908,success_fed_thirdfactor,0.9672,1.0,0.7432,0.4512,0.95,0.9130000000000227,0.32,0.4,0.64,0.5488,0.39847999999999995,0.13986899999999572
12908,ethicalsense_plus_idealgap,0.55,0.492,0.5792,0.584,0.48048857027802266,0.9394916703571902,0.8922227142919812,0.9150004428627838,0.3024661137054255,0.2372,0.7633047365182785,0.12246699999999783
12908,hybrid_reward_and_ethics,0.5092,0.484,0.544,0.5516,0.95,0.7345111858585828,0.865775398152926,0.8911978583376333,0.31253476110824413,0.2484,0.7397143300487569,0.02750600000000113
12909,static_baseline,0.4772,0.5,0.466,0.4612,0.24,0.56,0.32,0.4,0.64,0.294,0.42695999999999995,-0.12379999999999988
12909,success_fed_thirdfactor,0.9652,1.0,0.7416,0.4516,0.95,0.9345000000000289,0.32,0.4,0.64,0.5484,0.39864,0.1457009999999948
12909,ethicalsense_plus_idealgap,0.5108,0.4936,0.5536,0.6,0.47968345705597987,0.9377395147799686,0.8930098533123874,0.9157088679811477,0.30143384587808103,0.2212,0.7701941107760522,0.12440699999999902
12909,hybrid_reward_and_ethics,0.5216,0.4912,0.5484,0.5536,0.95,0.7347074381672721,0.8662106175530817,0.8915895557977744,0.31227362946815157,0.2464,0.7407384680398372,0.05015700000000231
12910,static_baseline,0.4676,0.508,0.4536,0.4632,0.24,0.56,0.32,0.4,0.64,0.3004,0.42692,-0.15188000000000165
12910,success_fed_thirdfactor,0.9656,1.0,0.7464,0.4388,0.95,0.9135000000000096,0.32,0.4,0.64,0.5612,0.39352,0.14369899999999128
12910,ethicalsense_plus_idealgap,0.5396,0.488,0.5664,0.6304,0.48373045075393173,0.94,0.8923702162494335,0.9151331946244899,0.30396905237741884,0.2032,0.7804619840493964,0.14272399999999974
